Date,Open
2012-02-12,0.0
2012-02-21,415.0
2012-03-06,392.0
2012-04-08,375.0
2012-04-11,351.0
2012-06-06,317.0
2012-06-17,311.0
2012-07-25,296.0
2012-08-16,282.0
2012-08-22,268.0
2012-08-27,255.0
2012-09-12,243.0
2012-09-13,223.0
2012-09-18,211.0
2012-09-20,191.0
2012-09-24,173.0
2012-09-30,164.0
2012-10-07,148.0
2012-10-08,134.0
2012-10-09,130.0
2012-10-11,122.0
2012-10-14,110.0
2012-10-15,99.0
2012-10-18,90.0
2012-10-30,83.0
2012-10-31,88.0
2012-11-01,88.0
2012-11-04,88.0
2012-11-05,87.0
2012-11-06,87.0
2012-11-07,87.0
2012-11-08,87.0
2012-11-11,87.0
2012-11-12,87.0
2012-11-18,85.0
2012-11-20,86.0
2012-11-22,89.0
2012-11-25,88.0
2012-11-26,88.0
2012-11-28,87.0
2012-12-03,87.0
2012-12-04,88.0
2012-12-05,89.0
2012-12-06,88.0
2012-12-09,89.0
2012-12-11,90.0
2012-12-13,89.0
2012-12-16,87.0
2012-12-17,87.0
2012-12-18,87.0
2012-12-23,86.0
2012-12-26,85.0
2012-12-27,84.0
2012-12-31,84.0
2013-01-01,84.0
2013-01-02,86.0
2013-01-07,87.0
2013-01-09,85.0
2013-01-10,86.0
2013-01-20,86.0
2013-01-23,84.0
2013-01-24,87.0
2013-02-04,87.0
2013-02-27,87.0
2013-03-25,87.0
2013-03-28,86.0
2013-03-31,83.0
2013-04-01,79.0
2013-04-02,78.0
2013-04-03,77.0
2013-04-04,75.0
2013-04-07,73.0
2013-04-08,67.0
2013-04-09,66.0
2013-04-11,66.0
2013-04-15,63.0
2013-04-17,69.0
2013-04-18,65.0
2013-04-21,68.0
2013-04-29,68.0
2013-04-30,69.0
2013-05-02,70.0
2013-05-05,71.0
2013-05-09,69.0
2013-05-12,69.0
2013-05-19,69.0
2013-05-21,68.0
2013-05-30,67.0
2013-06-11,65.0
2013-06-13,65.0
2013-06-25,65.0
2013-06-27,65.0
2013-07-01,65.0
2013-07-07,60.0
2013-07-09,59.0
2013-07-10,58.0
2013-07-30,59.0
2013-08-12,58.0
2013-09-17,59.0
2013-09-19,56.0
2013-09-22,55.0
2013-10-01,54.0
2013-10-02,53.0
2013-10-07,56.0
2013-10-08,61.0
2013-10-09,62.0
2013-10-10,62.0
2014-04-02,65.0
2014-04-03,71.0
2014-04-06,78.0
2014-04-07,71.0
2014-04-09,73.0
2014-04-27,75.0
2014-05-26,76.0
2014-05-28,78.0
2014-06-03,79.0
2014-06-17,80.0
2014-06-26,81.0
2014-06-29,83.0
2014-07-02,84.0
2014-07-22,86.0
2014-07-30,87.0
2014-07-31,90.0
2014-08-06,94.0
2014-08-07,95.0
2014-08-13,97.0
2014-08-14,97.0
2014-08-18,106.0
2014-08-19,112.0
2014-08-24,114.0
2014-08-25,118.0
2014-08-26,129.0
2014-08-27,141.0
2014-08-28,138.0
2014-08-31,139.0
2014-09-01,135.0
2014-09-03,137.0
2014-09-04,136.0
2014-09-07,135.0
2014-09-09,129.0
2014-09-10,131.0
2014-09-11,126.0
2014-09-14,117.0
2014-09-15,115.0
2014-09-16,124.0
2014-09-17,129.0
2014-10-09,133.0
2014-10-12,133.0
2014-10-13,131.0
2014-10-14,125.0
2014-10-15,123.0
2014-10-16,125.0
2014-10-26,119.0
2014-10-27,120.0
2014-10-28,121.0
2014-10-30,121.0
2014-11-02,120.0
2014-11-03,121.0
2014-11-04,123.0
2014-11-05,117.0
2014-11-06,119.0
2014-11-09,123.0
2014-11-10,122.0
2014-11-11,119.0
2014-11-12,117.0
2014-11-13,119.0
2014-11-16,117.0
2014-11-17,115.0
2014-11-18,113.0
2014-11-30,116.0
2014-12-01,111.0
2014-12-02,113.0
2014-12-03,104.0
2014-12-07,104.0
2014-12-08,100.0
2014-12-09,100.0
2014-12-10,100.0
2014-12-11,106.0
2014-12-15,106.0
2014-12-16,114.0
2014-12-17,116.0
2014-12-24,118.0
2014-12-28,107.0
2014-12-29,106.0
2014-12-31,105.0
2015-01-01,103.0
2015-01-04,104.0
2015-01-05,110.0
2015-01-06,114.0
2015-01-07,116.0
2015-01-08,112.0
2015-01-11,114.0
2015-01-13,114.0
2015-01-14,114.0
2015-01-18,124.0
2015-01-19,127.0
2015-01-20,129.0
2015-01-26,129.0
2015-01-27,135.0
2015-01-28,133.0
2015-01-29,137.0
2015-02-01,139.0
2015-02-02,152.0
2015-02-03,151.0
2015-02-04,146.0
2015-02-05,141.0
2015-02-08,141.0
2015-02-09,143.0
2015-02-10,147.0
2015-02-11,150.0
2015-02-12,151.0
2015-02-15,166.0
2015-02-16,168.0
2015-02-18,162.0
2015-02-22,156.0
2015-02-23,151.0
2015-02-25,146.0
2015-03-01,144.0
2015-03-02,158.0
2015-03-03,173.0
2015-03-04,176.0
2015-03-09,173.0
2015-03-10,170.0
2015-03-11,170.0
2015-03-12,169.0
2015-03-15,166.0
2015-03-16,182.0
2015-03-17,185.0
2015-03-18,171.0
2015-03-19,178.0
2015-03-22,195.0
2015-03-24,176.0
