Date,Open
2013-12-10,146.0
2013-12-22,105.0
2014-01-22,102.0
2014-01-23,104.0
2014-01-26,106.0
2014-02-11,105.0
2014-02-24,107.0
2014-02-25,117.0
2014-02-26,127.0
2014-03-03,133.0
2014-03-04,135.0
2014-03-06,137.0
2014-03-09,150.0
2014-03-18,150.0
2014-04-06,143.0
2014-04-07,141.0
2014-04-09,139.0
2014-04-10,135.0
2014-04-13,131.0
2014-04-15,129.0
2014-04-16,129.0
2014-04-17,130.0
2014-04-20,130.0
2014-04-21,130.0
2014-04-22,130.0
2014-04-23,123.0
2014-04-27,121.0
2014-04-28,119.0
2014-04-29,118.0
2014-05-04,121.0
2014-05-11,123.0
2014-05-13,125.0
2014-05-15,129.0
2014-05-19,131.0
2014-05-20,138.0
2014-05-21,142.0
2014-05-22,144.0
2014-05-28,149.0
2014-06-04,147.0
2014-06-18,150.0
2014-06-19,158.0
2014-07-01,160.0
2014-07-02,160.0
2014-07-03,155.0
2014-07-07,155.0
2014-07-08,167.0
2014-07-13,176.0
2014-07-16,176.0
2014-07-17,179.0
2014-07-21,182.0
2014-07-23,185.0
2014-08-03,188.0
2014-08-05,194.0
2014-08-14,191.0
2014-08-18,194.0
2014-08-19,187.0
2014-08-21,186.0
2014-08-24,189.0
2014-09-04,188.0
2014-09-10,180.0
2014-09-16,177.0
2014-11-20,161.0
2014-12-03,158.0
2014-12-04,158.0
2014-12-15,160.0
2014-12-16,157.0
2015-03-12,144.0
2015-03-15,150.0
2015-03-19,156.0
2015-03-23,163.0
