Date,Open
2007-04-11,201.0
2007-04-17,210.0
2007-04-18,200.0
2007-04-22,195.0
2007-04-25,195.0
2007-04-30,190.0
2007-05-03,199.0
2007-05-06,201.0
2007-05-07,210.0
2007-05-08,220.0
2007-05-09,232.0
2007-05-10,240.0
2007-05-13,230.0
2007-05-14,225.0
2007-05-16,225.0
2007-05-30,236.0
2007-06-03,236.0
2007-06-25,247.0
2007-07-01,247.0
2007-07-05,250.0
2007-07-15,251.0
2007-07-16,251.0
2007-07-17,257.0
2007-07-22,257.0
2007-07-25,245.0
2007-07-30,245.0
2007-07-31,257.0
2007-08-01,257.0
2007-08-07,269.0
2007-08-08,269.0
2007-08-09,271.0
2007-08-13,271.0
2007-08-15,287.0
2007-08-23,302.0
2007-08-26,320.0
2007-09-02,326.0
2007-09-05,325.0
2007-09-17,325.0
2007-09-20,325.0
2007-09-26,331.0
2007-09-28,337.0
2007-10-07,337.0
2007-10-16,343.0
2007-10-30,349.0
2007-11-07,355.0
2007-11-13,355.0
2007-11-15,355.0
2007-11-25,355.0
2007-11-27,362.0
2008-01-06,369.0
2008-02-21,376.0
2008-04-03,394.0
2008-04-06,401.0
2008-04-28,417.0
2008-04-29,425.0
2008-04-30,466.0
2008-05-04,493.0
2008-05-06,502.0
2008-05-07,513.0
2008-05-08,523.0
2008-05-11,575.0
2008-05-13,586.0
2008-05-18,597.0
2008-05-21,610.0
2008-05-22,622.0
2008-05-27,684.0
2008-06-05,675.0
2008-06-23,675.0
2008-06-26,680.0
2008-06-29,697.0
2008-07-07,710.0
2008-07-09,710.0
2008-07-17,699.0
2008-07-28,686.0
2008-08-03,673.0
2008-08-11,623.0
2008-08-12,610.0
2008-08-13,600.0
2008-08-14,590.0
2008-08-18,577.0
2008-08-21,570.0
2008-08-24,560.0
2008-08-25,549.0
2008-08-26,540.0
2008-08-31,540.0
2008-09-03,540.0
2008-09-04,550.0
2008-09-07,550.0
2008-09-09,550.0
2008-09-15,550.0
2008-09-16,540.0
2008-09-17,530.0
2008-09-18,540.0
2008-09-21,525.0
2008-11-09,525.0
2008-11-10,515.0
2008-11-11,505.0
2008-11-16,495.0
2008-11-17,486.0
2008-11-18,468.0
2008-11-20,459.0
2008-11-26,450.0
2008-12-18,459.0
2008-12-21,450.0
2008-12-28,459.0
2008-12-31,477.0
2009-01-01,490.0
2009-01-04,499.0
2009-01-05,508.0
2009-01-06,533.0
2009-01-07,480.0
2009-01-12,470.0
2009-01-15,470.0
2009-01-28,470.0
2009-02-08,475.0
2009-02-10,466.0
2009-02-16,489.0
2009-02-17,465.0
2009-02-19,456.0
2009-02-22,445.0
2009-02-24,401.0
2009-02-26,386.0
2009-03-01,372.0
2009-03-05,361.0
2009-03-09,368.0
2009-03-16,335.0
2009-03-19,335.0
2009-03-23,323.0
2009-03-24,329.0
2009-03-25,330.0
2009-03-29,340.0
2009-04-05,374.0
2009-04-06,353.0
2009-04-07,334.0
2009-04-08,316.0
2009-04-09,310.0
2009-04-13,310.0
2009-04-23,304.0
2009-05-04,300.0
2009-05-07,300.0
2009-05-19,300.0
2009-05-21,306.0
2009-05-27,300.0
2009-05-28,290.0
2009-06-02,290.0
2009-06-09,285.0
2009-06-10,280.0
2009-06-16,270.0
2009-06-30,270.0
2009-07-01,265.0
2009-07-23,245.0
2009-07-27,249.0
2009-07-30,263.0
2009-08-02,268.0
2009-08-04,265.0
2009-08-09,270.0
2009-08-11,270.0
2009-08-12,275.0
2009-08-16,295.0
2009-08-17,324.0
2009-08-18,336.0
2009-08-23,342.0
2009-08-24,342.0
2009-08-26,342.0
2009-08-27,348.0
2009-09-01,354.0
2009-09-02,347.0
2009-09-06,336.0
2009-09-07,322.0
2009-09-08,308.0
2009-09-09,300.0
2009-09-13,300.0
2009-09-15,300.0
2009-09-17,300.0
2009-09-20,300.0
2009-10-14,300.0
2009-10-21,294.0
2009-10-27,289.0
2009-11-01,290.0
2009-11-09,290.0
2009-11-23,290.0
2009-11-24,290.0
2009-11-25,292.0
2009-11-26,302.0
2009-12-22,300.0
2009-12-23,300.0
2010-03-09,300.0
2010-03-25,268.0
2010-05-18,268.0
2010-06-09,263.0
2010-09-06,258.0
2010-10-03,258.0
2010-10-07,253.0
2010-12-05,253.0
2011-01-11,248.0
2011-01-16,243.0
2011-02-03,240.0
2011-03-17,240.0
2011-03-30,236.0
2011-04-04,232.0
2011-04-07,224.0
2011-08-22,216.0
2011-08-29,212.0
2011-10-23,208.0
2011-10-24,208.0
2011-11-13,204.0
2012-07-01,200.0
2012-07-12,184.0
2012-07-26,181.0
2012-07-30,175.0
2012-07-31,158.0
2012-08-01,143.0
2012-08-05,129.0
2012-08-06,117.0
2012-08-07,117.0
2012-08-08,115.0
2012-08-12,110.0
2012-08-13,112.0
2012-08-14,116.0
2012-08-19,115.0
2012-08-26,115.0
2012-08-27,113.0
2012-08-28,113.0
2012-08-30,113.0
2012-09-05,115.0
2012-09-06,115.0
2012-09-09,112.0
2012-09-13,114.0
2012-09-17,114.0
2012-09-23,112.0
2012-09-24,112.0
2012-09-25,112.0
2012-09-27,112.0
2012-09-30,111.0
2012-10-01,109.0
2012-10-02,107.0
2012-10-09,105.0
2012-10-10,103.0
2012-10-11,105.0
2012-10-17,107.0
2012-11-06,109.0
2012-11-07,107.0
2012-11-08,105.0
2012-11-21,108.0
2012-11-22,106.0
2012-11-26,108.0
2012-12-10,106.0
2013-01-27,104.0
2013-01-31,104.0
2013-02-10,106.0
2013-02-19,105.0
2013-03-05,105.0
2013-03-07,105.0
2013-03-18,105.0
2013-03-20,101.0
2013-03-24,98.0
2013-03-27,99.0
2013-04-29,98.0
2013-05-05,98.0
2013-05-06,100.0
2013-05-07,102.0
2013-05-12,104.0
2013-05-13,100.0
2013-05-14,100.0
2013-05-19,98.0
2013-06-04,97.0
2013-06-18,97.0
2013-09-30,98.0
2013-10-29,95.0
2013-12-08,95.0
2013-12-11,96.0
2013-12-12,99.0
2014-01-20,108.0
2014-01-21,106.0
2014-02-02,104.0
2014-02-03,114.0
2014-02-04,125.0
2014-02-05,133.0
2014-02-06,146.0
2014-02-09,160.0
2014-02-10,176.0
2014-02-12,179.0
2014-02-16,170.0
2014-02-18,167.0
2014-02-23,161.0
2014-04-15,158.0
2014-04-28,152.0
2014-04-30,145.0
2014-05-06,147.0
2014-05-07,145.0
2014-05-11,143.0
2014-05-20,145.0
2014-06-11,143.0
2014-06-12,139.0
2014-06-17,137.0
2014-06-18,135.0
2014-06-19,133.0
2014-06-26,131.0
2014-06-29,130.0
2014-06-30,132.0
2014-07-01,130.0
2014-07-06,138.0
2014-07-07,136.0
2014-07-08,136.0
2014-07-14,138.0
2014-07-15,140.0
2014-07-20,144.0
2014-07-22,148.0
2014-07-23,162.0
2014-07-24,168.0
2014-07-27,174.0
2014-07-28,183.0
2014-07-30,189.0
2014-07-31,201.0
2014-08-03,221.0
2014-08-04,218.0
2014-08-05,207.0
2014-08-06,207.0
2014-08-07,197.0
2014-08-14,195.0
2014-08-18,198.0
2014-08-19,195.0
2014-08-20,200.0
2014-09-11,196.0
2014-10-13,195.0
2014-10-15,195.0
2014-10-28,180.0
2014-10-30,163.0
2014-11-02,160.0
2014-11-03,157.0
2014-11-04,154.0
2014-12-18,143.0
2015-01-19,141.0
2015-01-28,139.0
2015-02-01,137.0
2015-02-02,137.0
2015-02-03,145.0
2015-02-04,159.0
2015-03-03,159.0
2015-03-09,144.0
2015-03-10,158.0
2015-03-11,173.0
2015-03-12,159.0
2015-03-16,167.0
2015-03-18,169.0
2015-03-19,168.0
2015-03-23,162.0
2015-03-25,157.0
