Date,Open
2007-02-14,0.0
2007-02-15,205.0
2007-02-18,195.0
2007-02-21,186.0
2007-02-25,180.0
2007-02-28,175.0
2007-03-01,168.0
2007-03-04,174.0
2007-03-05,166.0
2007-03-06,157.0
2007-03-08,152.0
2007-05-06,150.0
2007-05-22,140.0
2007-06-12,140.0
2007-07-29,140.0
2007-09-13,140.0
2007-10-07,140.0
2007-10-10,146.0
2007-10-14,150.0
2007-11-14,153.0
2007-11-19,156.0
2007-11-25,159.0
2007-12-03,165.0
2007-12-11,168.0
2008-02-12,171.0
2008-02-18,174.0
2008-02-26,177.0
2008-03-20,180.0
2008-03-25,183.0
2008-04-02,180.0
2008-04-03,183.0
2008-04-06,186.0
2008-07-20,189.0
2008-07-27,195.0
2008-08-04,205.0
2008-08-06,213.0
2008-08-21,221.0
2008-08-31,225.0
2008-11-18,229.0
2008-11-25,233.0
2008-12-04,233.0
2008-12-22,233.0
2008-12-24,237.0
2008-12-31,237.0
2009-01-15,241.0
2009-01-18,245.0
2009-01-19,249.0
2009-01-21,253.0
2009-02-01,258.0
2009-03-03,263.0
2009-03-08,268.0
2009-03-11,273.0
2009-03-15,278.0
2009-03-18,283.0
2009-03-22,288.0
2009-03-24,293.0
2009-07-29,298.0
2009-08-27,260.0
2009-09-22,265.0
2009-10-08,280.0
2009-10-12,285.0
2009-10-15,290.0
2009-10-27,295.0
2009-10-29,300.0
2009-11-03,306.0
2009-11-04,318.0
2009-11-09,324.0
2009-11-10,336.0
2009-11-11,342.0
2009-11-18,342.0
2009-11-22,354.0
2009-11-23,368.0
2009-11-24,369.0
2009-11-25,386.0
2009-11-26,400.0
2009-11-30,424.0
2009-12-01,432.0
2009-12-07,424.0
2009-12-27,432.0
2009-12-31,440.0
2010-01-03,448.0
2010-01-04,456.0
2010-01-05,465.0
2010-01-12,470.0
2010-01-26,479.0
2010-02-10,488.0
2010-03-30,488.0
2010-07-12,390.0
2010-09-13,376.0
2010-09-14,378.0
2010-09-21,396.0
2010-09-30,403.0
2010-10-03,403.0
2010-10-26,411.0
2010-11-14,427.0
2010-11-24,435.0
2010-11-29,443.0
2010-12-01,451.0
2010-12-19,465.0
2011-01-06,474.0
2011-01-10,483.0
2011-01-11,474.0
2011-01-17,474.0
2011-03-14,480.0
2011-03-15,471.0
2011-04-07,461.0
2011-05-08,461.0
2011-06-23,452.0
2013-11-28,435.0
2013-12-26,427.0
2014-01-06,443.0
