Date,Open
2007-04-15,315.0
2007-04-16,309.0
2007-04-17,300.0
2007-04-18,303.0
2007-04-19,300.0
2007-04-22,300.0
2007-04-23,301.0
2007-04-25,300.0
2007-04-26,305.0
2007-04-29,308.0
2007-04-30,308.0
2007-05-03,310.0
2007-05-06,305.0
2007-05-07,300.0
2007-05-08,300.0
2007-05-09,307.0
2007-05-10,301.0
2007-05-13,306.0
2007-05-14,303.0
2007-05-15,305.0
2007-05-16,308.0
2007-05-17,338.0
2007-05-20,371.0
2007-05-21,408.0
2007-05-22,390.0
2007-05-23,351.0
2007-05-24,360.0
2007-05-27,357.0
2007-05-28,355.0
2007-05-29,350.0
2007-05-30,355.0
2007-05-31,352.0
2007-06-03,360.0
2007-06-04,363.0
2007-06-05,385.0
2007-06-06,382.0
2007-06-07,385.0
2007-06-10,385.0
2007-06-11,380.0
2007-06-12,389.0
2007-06-13,400.0
2007-06-17,425.0
2007-06-18,410.0
2007-06-19,400.0
2007-06-20,385.0
2007-06-21,410.0
2007-06-24,400.0
2007-06-25,410.0
2007-06-26,412.0
2007-06-27,435.0
2007-07-01,460.0
2007-07-02,487.0
2007-07-03,490.0
2007-07-04,462.0
2007-07-05,466.0
2007-07-09,477.0
2007-07-10,486.0
2007-07-11,485.0
2007-07-12,480.0
2007-07-15,494.0
2007-07-16,530.0
2007-07-17,550.0
2007-07-18,570.0
2007-07-19,515.0
2007-07-22,566.0
2007-07-23,585.0
2007-07-25,555.0
2007-07-26,528.0
2007-07-29,500.0
2007-07-30,495.0
2007-07-31,485.0
2007-08-01,481.0
2007-08-02,485.0
2007-08-05,502.0
2007-08-06,520.0
2007-08-07,515.0
2007-08-09,510.0
2007-08-13,476.0
2007-08-14,481.0
2007-08-15,480.0
2007-08-16,475.0
2007-08-19,475.0
2007-08-20,460.0
2007-08-21,451.0
2007-08-22,455.0
2007-08-23,475.0
2007-08-24,484.0
2007-08-26,485.0
2007-08-27,486.0
2007-08-30,481.0
2007-09-02,529.0
2007-09-03,581.0
2007-09-05,593.0
2007-09-06,610.0
2007-09-09,600.0
2007-09-10,613.0
2007-09-11,610.0
2007-09-12,635.0
2007-09-13,610.0
2007-09-16,600.0
2007-09-17,610.0
2007-09-18,615.0
2007-09-19,613.0
2007-09-20,610.0
2007-09-23,642.0
2007-09-24,635.0
2007-09-26,655.0
2007-09-27,700.0
2007-09-30,755.0
2007-10-01,775.0
2007-10-02,750.0
2007-10-03,755.0
2007-10-04,740.0
2007-10-07,814.0
2007-10-08,810.0
2007-10-09,730.0
2007-10-10,685.0
2007-10-11,650.0
2007-10-14,715.0
2007-10-15,705.0
2007-10-31,665.0
2007-11-01,767.0
2007-11-04,775.0
2007-11-05,703.0
2007-11-06,690.0
2007-11-07,700.0
2007-11-08,666.0
2007-11-12,650.0
2007-11-13,715.0
2007-11-14,677.0
2007-11-15,690.0
2007-11-18,700.0
2007-11-19,725.0
2007-11-20,717.0
2007-11-22,720.0
2007-11-25,722.0
2007-11-26,794.0
2007-11-27,825.0
2007-11-28,795.0
2007-11-29,802.0
2007-12-02,820.0
2007-12-03,902.0
2007-12-04,905.0
2007-12-05,995.0
2007-12-06,1094.0
2007-12-09,1203.0
2007-12-10,1200.0
2007-12-11,1170.0
2007-12-12,1160.0
2007-12-13,1276.0
2007-12-16,1402.0
2007-12-17,1542.0
2007-12-18,1500.0
2007-12-19,1350.0
2007-12-20,1300.0
2007-12-23,1407.0
2007-12-24,1395.0
2007-12-25,1320.0
2007-12-26,1215.0
2007-12-27,1144.0
2008-01-07,1200.0
2008-01-08,1080.0
2008-01-09,972.0
2008-01-10,325.0
2008-01-13,1000.0
2008-01-14,951.0
2008-01-16,905.0
2008-01-17,836.0
2008-01-20,753.0
2008-01-21,791.0
2008-01-22,854.0
2008-01-23,935.0
2008-01-24,890.0
2008-01-27,930.0
2008-01-28,873.0
2008-01-29,843.0
2008-01-31,827.0
2008-02-03,749.0
2008-02-04,675.0
2008-02-05,625.0
2008-02-06,578.0
2008-02-07,635.0
2008-02-10,698.0
2008-02-11,728.0
2008-02-12,714.0
2008-02-13,700.0
2008-02-14,690.0
2008-02-17,621.0
2008-02-18,609.0
2008-02-20,615.0
2008-02-21,603.0
2008-02-24,630.0
2008-02-25,605.0
2008-02-26,610.0
2008-02-27,612.0
2008-02-28,600.0
2008-03-02,585.0
2008-03-03,605.0
2008-03-04,610.0
2008-03-05,602.0
2008-03-09,605.0
2008-03-10,600.0
2008-03-11,600.0
2008-03-12,575.0
2008-03-13,565.0
2008-03-16,554.0
2008-03-17,530.0
2008-03-18,530.0
2008-03-19,490.0
2008-03-20,520.0
2008-03-23,510.0
2008-03-24,550.0
2008-03-25,535.0
2008-03-26,530.0
2008-03-27,540.0
2008-03-30,540.0
2008-03-31,530.0
2008-04-01,520.0
2008-04-02,521.0
2008-04-03,525.0
2008-04-06,540.0
2008-04-16,565.0
2008-04-17,555.0
2008-04-20,555.0
2008-04-21,590.0
2008-04-22,589.0
2008-04-24,579.0
2008-04-27,586.0
2008-04-28,561.0
2008-04-29,561.0
2008-04-30,583.0
2008-05-04,600.0
2008-05-05,591.0
2008-05-06,600.0
2008-05-07,646.0
2008-05-08,680.0
2008-05-11,663.0
2008-05-12,680.0
2008-05-13,690.0
2008-05-14,699.0
2008-05-15,691.0
