Date,Open
2006-02-02,110.0
2006-02-06,105.0
2006-02-23,100.0
2006-03-13,100.0
2006-03-16,95.0
2006-03-20,91.0
2006-03-21,87.0
2006-03-26,91.0
2006-03-28,87.0
2006-04-02,87.0
2006-04-05,87.0
2006-04-17,83.0
2006-04-26,83.0
2006-04-30,83.0
2006-05-01,86.0
2006-05-02,86.0
2006-05-07,86.0
2006-05-22,85.0
2006-05-31,86.0
2006-06-05,84.0
2006-06-20,80.0
2006-06-21,80.0
2006-06-22,80.0
2006-06-25,80.0
2006-07-03,80.0
2006-08-03,76.0
2006-08-13,76.0
2006-08-15,77.0
2006-08-24,77.0
2006-08-27,80.0
2006-08-30,80.0
2006-09-12,80.0
2006-09-14,80.0
2006-09-19,78.0
2006-09-20,78.0
2006-12-04,76.0
2006-12-06,76.0
2006-12-10,74.0
2007-01-04,74.0
2007-01-10,74.0
2007-02-06,75.0
2007-02-08,75.0
2007-02-11,75.0
2007-02-14,75.0
2007-02-15,75.0
2007-02-18,75.0
2007-02-20,76.0
2007-03-04,76.0
2007-03-05,76.0
2007-03-13,79.0
2007-03-15,79.0
2007-03-29,79.0
2007-04-05,79.0
2007-04-11,79.0
2007-04-30,76.0
2007-05-06,79.0
2007-05-09,79.0
2007-05-10,79.0
2007-05-13,79.0
2007-05-24,79.0
2007-06-03,79.0
2007-06-04,79.0
2007-06-06,80.0
2007-06-10,80.0
2007-06-13,84.0
2007-06-18,88.0
2007-06-24,92.0
2007-06-25,96.0
2007-07-01,98.0
2007-07-04,95.0
2007-07-11,95.0
2007-07-17,95.0
2007-07-18,95.0
2007-07-19,95.0
2007-07-22,95.0
2007-07-23,95.0
2007-07-26,95.0
2007-08-08,95.0
2007-08-14,99.0
2007-08-15,95.0
2007-08-23,96.0
2007-08-24,93.0
2007-10-16,92.0
2007-11-06,91.0
2007-12-02,90.0
2007-12-13,90.0
2007-12-18,90.0
2007-12-20,91.0
2007-12-26,92.0
2008-01-09,94.0
2008-01-10,100.0
2008-01-21,96.0
2008-01-27,96.0
2008-02-12,96.0
2008-02-21,96.0
2008-03-13,95.0
2008-03-16,94.0
2008-04-02,94.0
2008-04-15,94.0
2008-04-29,95.0
2008-05-05,96.0
2008-05-08,96.0
2008-05-14,96.0
2008-05-15,98.0
2008-06-04,100.0
2008-06-05,99.0
2008-06-16,100.0
2008-06-17,104.0
2008-06-29,106.0
2008-07-09,106.0
2008-07-28,106.0
2008-07-29,106.0
2008-07-31,106.0
2008-08-19,106.0
2008-08-24,107.0
2008-08-25,115.0
2008-08-26,119.0
2008-08-27,123.0
2008-08-28,133.0
2008-08-31,137.0
2008-09-01,147.0
2008-09-02,161.0
2008-09-03,177.0
2008-09-04,180.0
2008-09-07,180.0
2008-09-08,180.0
2008-09-09,189.0
2008-09-10,192.0
2008-09-11,189.0
2008-09-16,192.0
2008-11-06,195.0
2008-12-11,198.0
2008-12-18,200.0
2008-12-21,204.0
2008-12-23,208.0
2009-01-01,216.0
2009-05-11,236.0
2009-09-08,235.0
2009-10-25,239.0
2009-12-01,235.0
2010-06-15,231.0
2010-07-19,227.0
2010-08-08,219.0
2011-03-17,215.0
2011-03-20,180.0
2011-05-02,183.0
2011-08-02,175.0
2011-09-15,169.0
2012-01-22,166.0
2012-02-12,163.0
2012-02-27,160.0
2012-03-28,154.0
2012-07-12,148.0
2012-07-30,141.0
2012-07-31,127.0
2013-06-06,115.0
2013-06-09,104.0
2013-06-10,94.0
2013-06-11,85.0
2013-06-12,77.0
2013-06-13,70.0
2013-06-16,63.0
2013-06-17,57.0
2013-06-18,52.0
2013-06-19,47.0
2013-06-20,43.0
2013-07-02,42.0
2013-07-03,46.0
2013-07-04,51.0
2013-07-07,55.0
2013-07-08,59.0
2013-07-09,58.0
2013-07-10,60.0
2013-07-11,64.0
2013-07-14,66.0
2013-07-15,67.0
2013-07-17,66.0
2013-07-18,64.0
2013-07-21,64.0
2013-07-28,63.0
2013-07-29,63.0
2013-07-30,62.0
2013-08-01,61.0
2013-08-15,59.0
2013-08-20,58.0
2013-08-25,59.0
2013-12-05,57.0
2013-12-09,58.0
2013-12-10,63.0
2013-12-11,65.0
2013-12-12,71.0
2013-12-15,73.0
2013-12-16,77.0
2013-12-18,78.0
2013-12-19,80.0
2013-12-24,81.0
