Date,Open
2012-12-17,673.0
2012-12-18,256.0
2012-12-19,414.0
2012-12-20,450.0
2012-12-23,490.0
2012-12-24,534.0
2012-12-26,609.0
2012-12-27,645.0
2012-12-31,709.0
2013-01-01,779.0
2013-01-02,856.0
2013-01-03,941.0
2013-01-06,1035.0
2013-01-07,1138.0
2013-01-08,1251.0
2013-01-09,1295.0
2013-01-10,1166.0
2013-01-13,1050.0
2013-01-15,1000.0
2013-01-16,950.0
2013-01-17,931.0
2013-01-20,926.0
2013-01-21,903.0
2013-01-22,917.0
2013-01-23,950.0
2013-01-24,970.0
2013-01-27,950.0
2013-01-28,930.0
2013-01-30,924.0
2013-01-31,930.0
2013-02-03,930.0
2013-02-04,919.0
2013-02-05,920.0
2013-02-06,921.0
2013-02-07,907.0
2013-02-10,920.0
2013-02-12,900.0
2013-02-13,880.0
2013-02-14,897.0
2013-02-19,808.0
2013-02-20,800.0
2013-02-21,791.0
2013-02-24,780.0
2013-02-25,762.0
2013-02-26,725.0
2013-02-27,700.0
2013-02-28,687.0
2013-03-03,686.0
2013-03-04,680.0
2013-03-05,683.0
2013-03-06,670.0
2013-03-07,660.0
2013-03-11,632.0
2013-03-13,645.0
2013-03-14,660.0
2013-03-17,680.0
2013-03-18,680.0
2013-03-19,680.0
2013-03-20,686.0
2013-03-21,673.0
2013-03-24,666.0
2013-03-25,652.0
2013-03-27,665.0
2013-03-28,665.0
2013-03-31,652.0
2013-04-01,650.0
2013-04-02,640.0
2013-04-03,641.0
2013-04-04,640.0
2013-04-07,638.0
2013-04-08,639.0
2013-04-09,641.0
2013-04-11,685.0
2013-04-15,727.0
2013-04-16,758.0
2013-04-17,753.0
2013-04-18,738.0
2013-04-21,710.0
2013-04-22,705.0
2013-04-23,702.0
2013-04-25,700.0
2013-04-28,705.0
2013-04-29,699.0
2013-04-30,695.0
2013-05-02,626.0
2013-05-05,564.0
2013-05-06,508.0
2013-05-07,521.0
2013-05-08,530.0
2013-05-09,532.0
2013-05-22,145.0
2013-05-23,159.0
2013-05-26,174.0
2013-05-27,191.0
2013-05-28,185.0
2013-05-30,170.0
2013-06-02,177.0
2013-06-03,176.0
2013-06-04,173.0
2013-06-05,170.0
2013-06-06,168.0
2013-06-09,166.0
2013-06-10,164.0
2013-06-11,168.0
2013-06-12,165.0
2013-06-13,162.0
2013-06-16,162.0
2013-06-18,162.0
2013-06-19,163.0
2013-06-20,162.0
2013-06-23,162.0
2013-06-24,156.0
2013-06-25,150.0
2013-06-26,149.0
2013-06-27,153.0
2013-06-30,157.0
2013-07-01,161.0
2013-07-02,158.0
2013-07-03,155.0
2013-07-04,159.0
2013-07-07,159.0
2013-07-08,157.0
2013-07-09,154.0
