Date,Open
2013-10-07,285.0
2013-10-08,280.0
2013-10-09,252.0
2013-10-22,231.0
2013-10-23,219.0
2013-10-24,199.0
2013-10-27,186.0
2013-10-28,185.0
2013-10-29,192.0
2013-10-30,189.0
2013-10-31,194.0
2013-11-07,197.0
2013-11-10,200.0
2013-11-12,203.0
2013-11-13,199.0
2013-11-14,201.0
2013-11-24,197.0
2013-11-25,200.0
2013-11-26,204.0
2013-11-27,212.0
2013-11-28,216.0
2013-12-02,237.0
2013-12-03,241.0
2013-12-08,265.0
2014-01-29,216.0
2014-02-02,220.0
2014-02-04,220.0
2014-02-06,224.0
2014-02-09,225.0
2014-02-12,233.0
2014-02-16,240.0
2014-02-17,244.0
2014-02-18,262.0
2014-02-25,277.0
2014-02-26,282.0
2014-03-04,292.0
2014-03-05,287.0
2014-03-06,300.0
2014-03-09,316.0
2014-03-10,330.0
2014-03-11,340.0
2014-03-12,359.0
2014-03-17,357.0
2014-03-24,350.0
2014-04-01,344.0
2014-04-02,332.0
2014-04-03,326.0
2014-04-07,304.0
2014-04-27,295.0
2014-05-06,290.0
2014-05-07,285.0
2014-05-11,280.0
2014-05-13,275.0
2014-05-21,271.0
2014-05-22,290.0
2014-05-25,280.0
2014-05-26,295.0
2014-06-01,300.0
2014-06-17,296.0
2014-06-18,280.0
2014-06-26,278.0
2014-06-29,268.0
2014-07-06,275.0
2014-07-07,280.0
2014-07-10,285.0
2014-07-13,300.0
2014-07-16,306.0
2014-07-17,324.0
2014-07-20,336.0
2014-07-21,342.0
2014-07-24,348.0
2014-07-30,354.0
2014-07-31,389.0
2014-08-06,403.0
2014-08-07,411.0
2014-08-12,405.0
2014-08-28,405.0
2014-11-03,390.0
2014-11-23,390.0
2014-11-24,351.0
2014-12-08,338.0
2014-12-09,332.0
2014-12-11,326.0
2014-12-14,296.0
2014-12-17,291.0
2014-12-24,281.0
2015-01-01,276.0
2015-01-18,271.0
2015-01-19,276.0
2015-01-20,275.0
2015-01-22,265.0
2015-01-25,265.0
2015-01-28,260.0
2015-01-29,272.0
2015-02-01,296.0
2015-02-02,300.0
2015-02-03,301.0
2015-02-04,310.0
2015-02-05,337.0
2015-02-08,330.0
2015-02-09,328.0
2015-02-10,325.0
2015-02-11,326.0
2015-02-12,336.0
2015-02-15,362.0
2015-02-16,371.0
2015-02-18,408.0
2015-02-22,418.0
2015-02-24,394.0
2015-02-25,387.0
2015-03-12,387.0
2015-03-17,373.0
2015-03-19,367.0
2015-03-22,370.0
2015-03-25,363.0
