Date,Open
2006-03-01,118.0
2006-03-09,118.0
2006-03-12,118.0
2006-03-15,118.0
2006-03-28,120.0
2006-04-17,110.0
2006-05-03,110.0
2006-07-10,110.0
2006-07-16,111.0
2006-07-17,110.0
2006-07-19,110.0
2006-07-25,110.0
2006-07-31,110.0
2006-08-14,105.0
2006-08-15,105.0
2006-08-17,105.0
2006-08-28,106.0
2006-08-31,106.0
2006-09-19,106.0
2006-09-21,106.0
2006-11-13,106.0
2006-11-16,111.0
2006-11-28,116.0
2006-12-06,116.0
2006-12-28,115.0
2007-02-07,115.0
2007-02-25,120.0
2007-03-13,120.0
2007-05-20,120.0
2007-06-21,120.0
2007-07-10,126.0
2007-07-30,132.0
2007-08-14,132.0
2007-11-07,132.0
2008-02-06,134.0
2008-02-17,136.0
2008-02-27,138.0
2008-03-17,138.0
2008-07-07,306.0
2008-08-24,306.0
2008-08-28,312.0
2008-08-31,315.0
2008-09-04,321.0
2008-09-24,327.0
2008-11-10,333.0
2008-11-17,333.0
2008-11-20,327.0
2008-11-23,333.0
2008-11-25,339.0
2008-12-17,345.0
2009-01-12,358.0
2009-01-20,365.0
2009-01-21,372.0
2009-01-22,408.0
2009-02-12,440.0
2009-03-24,465.0
2009-03-29,465.0
2009-04-12,465.0
2009-04-13,474.0
2009-04-21,474.0
2009-04-27,465.0
2009-04-28,511.0
2009-04-29,521.0
2009-05-03,525.0
2009-05-07,526.0
2009-05-10,550.0
2009-05-11,561.0
2009-05-19,551.0
2009-05-20,551.0
2009-05-26,551.0
2009-05-27,562.0
2009-05-31,560.0
2009-06-01,540.0
2009-12-28,511.0
2009-12-31,290.0
2010-01-06,290.0
2010-02-03,295.0
2010-02-16,295.0
2010-03-22,290.0
2010-03-23,280.0
2010-05-16,265.0
2010-06-08,235.0
2010-07-13,234.0
2010-07-25,234.0
2010-08-05,234.0
2010-08-31,234.0
2010-09-23,234.0
2010-09-26,230.0
2010-09-27,218.0
2010-09-28,208.0
2010-09-29,200.0
2010-09-30,196.0
2010-10-03,190.0
2010-10-04,185.0
2010-10-27,186.0
2010-10-31,189.0
2010-11-04,189.0
2010-11-21,187.0
2010-11-25,186.0
2010-12-01,185.0
2010-12-06,182.0
2010-12-20,180.0
2010-12-22,178.0
2010-12-23,178.0
2011-01-24,175.0
2011-02-01,156.0
2011-03-31,151.0
2011-04-06,148.0
2011-05-15,148.0
2011-07-04,150.0
2011-08-16,150.0
2011-08-30,150.0
2011-09-20,145.0
2011-12-26,143.0
2011-12-28,141.0
2011-12-29,139.0
2012-01-31,126.0
2012-02-01,120.0
2012-02-02,120.0
2012-02-05,116.0
2012-02-08,118.0
2012-02-09,99.0
2012-02-12,99.0
2012-02-13,97.0
2012-02-14,99.0
2012-02-15,99.0
2012-02-21,98.0
2012-02-27,100.0
2012-03-04,100.0
2012-03-05,101.0
2012-03-06,100.0
2012-03-27,100.0
2012-05-24,100.0
2012-05-27,106.0
2012-05-29,108.0
2012-05-30,110.0
2012-05-31,112.0
2012-06-12,108.0
2012-06-19,103.0
2012-06-20,103.0
2012-07-24,101.0
2012-08-22,101.0
2012-09-02,100.0
2012-09-23,100.0
2013-02-14,98.0
2013-05-16,90.0
2013-05-19,82.0
2013-05-20,84.0
2013-05-23,87.0
2013-06-09,87.0
2013-06-10,88.0
2013-06-12,89.0
2013-06-19,91.0
2013-06-25,92.0
2013-06-26,93.0
2013-07-25,94.0
2013-07-29,93.0
2013-08-14,94.0
2013-08-20,96.0
2013-08-25,97.0
2013-09-02,98.0
2013-09-15,102.0
2013-09-16,108.0
2013-09-17,107.0
2013-09-22,103.0
2013-09-24,105.0
2013-09-25,103.0
2013-10-03,101.0
2013-10-31,100.0
2013-11-06,102.0
2013-12-11,102.0
2014-01-20,102.0
2014-02-05,93.0
2014-02-06,98.0
2014-02-09,104.0
