Date,Open
2008-01-07,0.0
2008-01-08,400.0
2008-01-09,360.0
2008-01-10,60.0
2008-01-16,292.0
2008-01-17,314.0
2008-01-20,327.0
2008-01-21,325.0
2008-01-22,320.0
2008-01-27,320.0
2008-01-28,320.0
2008-01-29,315.0
2008-02-03,309.0
2008-02-04,310.0
2008-02-07,310.0
2008-02-13,316.0
2008-02-14,322.0
2008-02-18,320.0
2008-02-20,320.0
2008-02-24,320.0
2008-02-25,320.0
2008-02-27,320.0
2008-03-02,320.0
2008-03-05,320.0
2008-03-13,288.0
2008-03-17,293.0
2008-03-19,298.0
2008-03-20,306.0
2008-03-23,330.0
2008-03-25,330.0
2008-03-30,324.0
2008-04-01,340.0
2008-04-03,322.0
2008-04-06,320.0
2008-04-15,320.0
2008-04-22,314.0
2008-04-24,302.0
2008-04-27,300.0
2008-04-28,320.0
2008-04-30,320.0
2008-05-05,308.0
2008-05-07,315.0
2008-05-08,315.0
2008-05-11,320.0
2008-05-15,332.0
2008-05-18,344.0
2008-05-21,378.0
2008-08-13,415.0
2008-08-14,300.0
2008-12-15,300.0
2008-12-28,300.0
2008-12-29,285.0
2009-01-01,282.0
2009-01-05,310.0
2009-01-08,341.0
2009-01-19,375.0
2009-01-20,389.0
2009-01-21,381.0
2009-01-22,365.0
2009-02-02,358.0
2009-02-05,360.0
2009-02-08,353.0
2009-02-10,334.0
2009-02-11,329.0
2009-02-12,341.0
2009-02-16,317.0
2009-02-17,323.0
2009-02-22,315.0
2009-02-26,325.0
2009-03-02,337.0
2009-03-03,340.0
2009-03-04,340.0
2009-03-05,346.0
2009-03-08,334.0
2009-03-11,310.0
2009-03-15,304.0
2009-03-18,300.0
2009-03-19,300.0
2009-03-22,300.0
2009-03-25,300.0
2009-03-30,301.0
2009-03-31,300.0
2009-04-02,300.0
2009-04-05,300.0
2009-04-06,300.0
2009-04-07,295.0
2009-04-08,290.0
2009-04-12,318.0
2009-04-13,321.0
2009-04-19,290.0
2009-04-20,295.0
