Date,Open
2006-05-14,217.0
2006-05-23,210.0
2006-06-01,205.0
2006-06-12,210.0
2006-06-13,210.0
2006-06-14,215.0
2006-06-20,215.0
2006-06-26,215.0
2006-07-03,215.0
2006-07-18,210.0
2006-07-19,215.0
2006-09-20,210.0
2006-09-26,210.0
2006-10-10,220.0
2006-10-12,220.0
2006-10-16,220.0
2006-12-07,230.0
2006-12-20,230.0
2006-12-25,245.0
2007-03-13,257.0
2007-04-01,250.0
2007-04-04,250.0
2007-05-06,266.0
2007-05-08,270.0
2007-05-13,280.0
2007-05-14,280.0
2007-06-03,280.0
2007-06-07,280.0
2007-06-11,280.0
2007-06-19,280.0
2007-07-22,280.0
2007-07-26,280.0
2007-08-05,280.0
2007-08-24,280.0
2007-08-27,281.0
2007-09-12,280.0
2007-09-13,285.0
2007-09-20,268.0
2007-10-04,268.0
2007-10-31,268.0
2007-11-04,265.0
2007-12-11,265.0
2007-12-13,270.0
2008-01-07,275.0
2008-01-09,800.0
2008-01-14,1406.0
2008-02-05,816.0
2008-04-01,776.0
2008-04-03,770.0
2008-04-20,770.0
2008-04-30,770.0
2008-05-11,755.0
2008-05-12,755.0
2008-05-26,750.0
2008-06-08,750.0
2008-06-09,765.0
2008-06-11,780.0
2008-11-03,780.0
2008-11-05,445.0
2008-11-10,445.0
2008-11-11,453.0
2008-11-13,453.0
2008-11-16,462.0
2008-11-18,471.0
2008-11-20,471.0
2008-12-01,462.0
2008-12-04,471.0
2008-12-07,480.0
2008-12-17,471.0
2008-12-21,471.0
2008-12-22,480.0
2008-12-23,528.0
2008-12-24,520.0
2008-12-28,510.0
2008-12-29,512.0
2009-03-30,481.0
2009-04-12,370.0
2009-04-19,370.0
2009-05-10,370.0
2009-05-14,363.0
2009-05-17,388.0
2009-05-26,400.0
2009-05-27,392.0
2009-05-28,390.0
2009-06-08,384.0
2009-06-09,382.0
2009-06-10,380.0
2009-08-16,360.0
2009-08-27,353.0
2009-08-30,353.0
2009-08-31,354.0
2009-09-01,350.0
2009-09-02,350.0
2009-09-06,350.0
2009-09-13,360.0
2009-09-15,360.0
2009-09-17,357.0
2009-09-22,370.0
2009-10-11,370.0
2009-10-12,370.0
2009-10-25,370.0
2009-11-16,370.0
2009-12-22,360.0
2009-12-23,367.0
2010-01-03,374.0
2010-01-04,380.0
2010-01-12,375.0
2010-02-15,368.0
2010-03-23,361.0
2010-04-13,297.0
2010-05-16,295.0
2010-06-06,295.0
2010-06-07,290.0
2010-06-08,285.0
2010-06-09,270.0
2010-06-10,250.0
2010-06-13,241.0
2010-06-15,225.0
2010-06-16,221.0
2010-06-23,217.0
2010-06-24,217.0
2010-07-01,220.0
2010-07-07,216.0
2010-07-13,220.0
2010-07-14,224.0
2010-07-21,220.0
2010-11-04,216.0
2010-11-09,216.0
2010-11-23,220.0
2010-11-29,216.0
2010-12-22,212.0
2011-03-14,220.0
2011-03-30,211.0
2011-04-11,210.0
2011-04-21,214.0
2011-05-03,210.0
2011-05-12,218.0
2011-05-30,212.0
2011-06-01,232.0
2011-06-02,243.0
2011-06-06,243.0
2011-07-03,246.0
2011-10-02,250.0
2011-10-25,245.0
2011-11-08,241.0
2011-11-09,239.0
2011-11-23,235.0
2012-01-25,231.0
2012-04-18,227.0
2012-11-21,219.0
2013-04-08,198.0
2013-04-09,192.0
2013-11-28,189.0
2013-12-08,186.0
2014-01-26,183.0
2014-01-27,177.0
2014-02-11,175.0
2014-02-12,172.0
2014-02-13,166.0
2014-02-17,163.0
2014-02-24,157.0
2014-03-04,154.0
2014-03-09,151.0
2014-03-11,148.0
2014-03-13,146.0
2014-03-23,144.0
2014-03-24,138.0
2014-03-25,135.0
2014-04-01,128.0
2014-04-02,130.0
2014-04-03,132.0
2014-04-07,132.0
2014-04-10,134.0
2014-04-13,138.0
2014-04-20,140.0
2014-04-29,142.0
2014-04-30,156.0
2014-05-04,171.0
2014-05-05,188.0
2014-05-06,192.0
2014-05-07,186.0
2014-05-11,184.0
2014-05-12,193.0
2014-05-13,206.0
