Date,Open
2007-03-28,130.0
2007-03-29,124.0
2007-04-03,126.0
2007-04-04,130.0
2007-04-08,138.0
2007-04-09,142.0
2007-04-10,139.0
2007-04-11,131.0
2007-04-12,131.0
2007-04-15,131.0
2007-04-16,130.0
2007-04-17,130.0
2007-04-22,131.0
2007-04-23,133.0
2007-04-25,130.0
2007-04-26,130.0
2007-04-29,130.0
2007-04-30,130.0
2007-05-03,128.0
2007-05-06,129.0
2007-05-07,130.0
2007-05-08,130.0
2007-05-09,128.0
2007-05-10,125.0
2007-05-13,125.0
2007-05-14,120.0
2007-05-15,120.0
2007-05-16,123.0
2007-05-17,128.0
2007-05-20,127.0
2007-05-21,137.0
2007-05-22,144.0
2007-05-23,142.0
2007-05-24,139.0
2007-05-27,139.0
2007-05-28,136.0
2007-05-29,136.0
2007-05-30,133.0
2007-05-31,133.0
2007-06-03,134.0
2007-06-04,136.0
2007-06-05,143.0
2007-06-06,157.0
2007-06-07,172.0
2007-06-10,159.0
2007-06-11,160.0
2007-06-12,156.0
2007-06-13,155.0
2007-06-17,156.0
2007-06-18,153.0
2007-06-19,155.0
2007-06-20,155.0
2007-06-21,153.0
2007-06-24,168.0
2007-06-25,184.0
2007-06-26,186.0
2007-06-27,184.0
2007-07-01,184.0
2007-07-02,196.0
2007-07-03,215.0
2007-07-04,236.0
2007-07-05,222.0
2007-07-09,212.0
2007-07-10,195.0
2007-07-11,177.0
2007-07-18,185.0
2007-07-19,200.0
2007-07-22,220.0
2007-07-23,242.0
2007-07-24,248.0
2007-07-25,248.0
2007-07-26,232.0
2007-07-29,220.0
2007-07-30,217.0
2007-07-31,209.0
2007-08-01,207.0
2007-08-02,216.0
2007-08-05,215.0
2007-08-06,212.0
2007-08-07,214.0
2007-08-08,218.0
2007-08-09,219.0
2007-08-13,216.0
2007-08-14,210.0
2007-08-15,202.0
2007-08-16,204.0
2007-08-19,203.0
2007-08-21,204.0
2007-08-22,184.0
2007-08-23,170.0
2007-08-24,177.0
2007-08-26,183.0
2007-08-27,193.0
2007-08-30,201.0
2007-09-02,202.0
2007-09-03,202.0
2007-09-05,204.0
2007-09-06,205.0
2007-09-09,209.0
2007-09-10,215.0
2007-09-11,225.0
2007-09-12,247.0
2007-09-13,226.0
2007-09-16,219.0
2007-09-17,235.0
2007-09-18,226.0
2007-09-19,225.0
2007-09-20,226.0
2007-09-23,235.0
2007-09-24,236.0
2007-09-26,236.0
2007-09-27,235.0
2007-09-30,235.0
2007-10-01,236.0
2007-10-02,235.0
2007-10-03,227.0
2007-10-04,224.0
2007-10-07,221.0
2007-10-08,224.0
2007-10-09,225.0
2007-10-10,225.0
2007-10-11,225.0
2007-10-14,233.0
2007-10-15,235.0
2007-10-16,245.0
2007-10-17,245.0
2007-10-28,245.0
2007-10-29,240.0
2007-10-30,240.0
2007-10-31,240.0
2007-11-01,236.0
2007-11-04,236.0
2007-11-05,238.0
2007-11-06,238.0
2007-11-07,241.0
2007-11-08,241.0
2007-11-12,241.0
2007-11-13,240.0
2007-11-14,235.0
2007-11-15,239.0
2007-11-18,240.0
2007-11-19,237.0
2007-11-20,240.0
2007-11-22,241.0
2007-11-25,242.0
2007-11-26,240.0
2007-11-27,250.0
2007-11-28,251.0
2007-11-29,253.0
2007-12-02,266.0
2007-12-03,290.0
2007-12-04,320.0
2007-12-05,352.0
2007-12-06,386.0
2007-12-09,424.0
2007-12-10,466.0
2007-12-11,452.0
2007-12-12,425.0
2007-12-13,398.0
2007-12-16,437.0
2007-12-17,465.0
2007-12-18,511.0
2007-12-19,562.0
2007-12-20,586.0
2007-12-23,580.0
2007-12-24,525.0
2007-12-25,577.0
2007-12-26,579.0
2007-12-27,529.0
2008-01-07,515.0
2008-01-08,464.0
2008-01-09,433.0
2008-01-10,1000.0
2008-01-13,405.0
2008-01-14,425.0
2008-01-16,425.0
2008-01-17,383.0
2008-01-20,359.0
2008-01-21,361.0
2008-01-22,378.0
2008-01-23,392.0
2008-01-24,406.0
2008-01-27,411.0
2008-01-28,370.0
