Date,Open
2013-07-14,750.0
2013-07-15,504.0
2013-07-17,554.0
2013-07-18,609.0
2013-07-21,669.0
2013-07-22,735.0
2013-07-23,748.0
2013-07-24,737.0
2013-07-25,710.0
2013-07-28,697.0
2013-07-29,700.0
2013-07-30,713.0
2013-07-31,733.0
2013-08-01,732.0
2013-08-04,726.0
2013-08-05,710.0
2013-08-06,702.0
2013-08-07,700.0
2013-08-08,690.0
2013-08-11,670.0
2013-08-12,663.0
2013-08-13,657.0
2013-08-14,658.0
2013-08-15,628.0
2013-08-18,614.0
2013-08-19,638.0
2013-08-20,640.0
2013-08-25,647.0
2013-08-26,644.0
2013-08-27,631.0
2013-08-29,640.0
2013-09-01,638.0
2013-09-02,635.0
2013-09-03,635.0
2013-09-04,630.0
2013-09-05,625.0
2013-09-08,625.0
2013-09-09,621.0
2013-09-10,633.0
2013-09-11,620.0
2013-09-12,625.0
2013-09-15,622.0
2013-09-16,618.0
2013-09-17,615.0
2013-09-19,611.0
2013-09-22,610.0
2013-09-23,594.0
2013-09-24,596.0
2013-09-25,603.0
2013-09-26,598.0
2013-09-29,594.0
2013-09-30,593.0
2013-10-01,584.0
2013-10-02,584.0
2013-10-03,595.0
2013-10-06,595.0
2013-10-07,607.0
2013-10-08,622.0
2013-10-09,615.0
2013-10-10,615.0
2013-10-17,620.0
2013-10-20,635.0
2013-10-21,660.0
2013-10-22,666.0
2013-10-23,645.0
2013-10-24,640.0
2013-10-27,638.0
2013-10-28,627.0
2013-10-29,620.0
2013-10-30,630.0
2013-10-31,641.0
2013-11-06,630.0
2013-11-07,627.0
2013-11-10,635.0
2013-11-11,630.0
2013-11-12,654.0
2013-11-13,655.0
2013-11-14,645.0
2013-11-21,647.0
2013-11-24,695.0
2013-11-25,698.0
2013-11-26,668.0
2013-11-27,671.0
2013-11-28,658.0
2013-12-01,651.0
2013-12-02,650.0
2013-12-03,670.0
2013-12-04,692.0
2013-12-05,715.0
2013-12-08,724.0
2013-12-09,710.0
2013-12-10,709.0
2013-12-11,700.0
2013-12-12,711.0
2013-12-15,724.0
2013-12-16,742.0
2013-12-18,816.0
2013-12-19,897.0
2013-12-22,879.0
2013-12-23,836.0
2013-12-24,783.0
2013-12-26,803.0
2013-12-29,815.0
2013-12-31,815.0
2014-01-01,806.0
2014-01-02,786.0
2014-01-05,804.0
2014-01-06,795.0
2014-01-07,792.0
2014-01-08,799.0
2014-01-09,796.0
2014-01-12,799.0
2014-01-13,817.0
2014-01-14,817.0
2014-01-16,814.0
2014-01-19,820.0
2014-01-20,818.0
2014-01-21,800.0
2014-01-22,796.0
2014-01-23,790.0
2014-01-26,787.0
2014-01-27,791.0
2014-01-28,792.0
2014-01-29,792.0
2014-02-02,781.0
2014-02-03,780.0
2014-02-04,775.0
2014-02-05,779.0
2014-02-06,780.0
2014-02-09,774.0
2014-02-10,795.0
2014-02-11,801.0
2014-02-12,791.0
2014-02-13,800.0
2014-02-16,808.0
2014-02-17,780.0
2014-02-18,785.0
2014-02-20,795.0
2014-02-23,804.0
2014-02-24,810.0
2014-02-25,786.0
2014-02-26,800.0
2014-03-03,780.0
2014-03-04,770.0
2014-03-05,770.0
2014-03-06,779.0
2014-03-09,775.0
2014-03-10,751.0
2014-03-11,750.0
2014-03-12,738.0
2014-03-13,733.0
2014-03-17,750.0
2014-03-18,730.0
2014-03-19,700.0
2014-03-20,717.0
2014-03-23,715.0
2014-03-24,716.0
2014-03-25,721.0
2014-03-26,720.0
2014-03-27,730.0
2014-03-31,715.0
2014-04-01,734.0
2014-04-02,745.0
2014-04-03,757.0
2014-04-06,740.0
2014-04-07,727.0
2014-04-09,725.0
2014-04-10,721.0
2014-04-13,715.0
2014-04-15,735.0
2014-04-16,736.0
2014-04-17,724.0
2014-04-20,725.0
2014-04-21,723.0
2014-04-22,723.0
2014-04-23,725.0
2014-04-27,730.0
2014-04-28,723.0
2014-04-29,718.0
2014-04-30,707.0
2014-05-04,713.0
2014-05-05,708.0
2014-05-06,750.0
2014-05-07,768.0
2014-05-08,755.0
2014-05-11,752.0
2014-05-12,745.0
2014-05-13,740.0
2014-05-15,761.0
2014-05-18,759.0
2014-05-19,761.0
2014-05-20,741.0
2014-05-21,735.0
2014-05-22,754.0
2014-05-25,755.0
2014-05-26,752.0
2014-05-27,745.0
