Date,Open
2007-04-19,375.0
2007-08-01,357.0
2007-08-13,356.0
2007-11-19,350.0
2008-03-25,350.0
2008-05-12,345.0
2008-06-05,351.0
2008-06-26,355.0
2008-07-01,355.0
2008-10-22,350.0
2008-10-23,357.0
2008-11-20,364.0
2008-12-11,357.0
2008-12-18,360.0
2009-02-02,360.0
2009-03-12,360.0
2009-10-06,367.0
2009-10-07,388.0
2009-10-15,395.0
2009-10-25,395.0
2009-11-08,395.0
2010-01-26,390.0
2010-02-09,390.0
2010-02-11,383.0
2010-02-18,370.0
2010-03-28,370.0
2010-06-29,363.0
2010-06-30,360.0
2010-07-06,360.0
2010-08-04,360.0
2010-11-11,360.0
2011-02-22,360.0
2011-03-07,360.0
2011-04-27,360.0
2011-05-18,360.0
2011-06-29,360.0
2011-08-01,346.0
2011-09-25,340.0
2011-11-13,340.0
2011-11-20,334.0
2011-11-28,322.0
2011-11-29,290.0
2012-01-18,280.0
2012-01-25,252.0
2012-01-29,250.0
2012-01-31,245.0
2012-02-01,241.0
2012-02-06,244.0
2012-02-13,238.0
2012-02-15,234.0
2012-02-28,230.0
2012-02-29,230.0
2012-03-01,227.0
2012-03-04,223.0
2012-03-06,215.0
2012-03-11,211.0
2012-03-18,211.0
2012-03-19,207.0
2012-03-21,203.0
2012-03-28,196.0
2012-04-09,190.0
2012-04-30,190.0
2012-05-07,209.0
2012-05-29,221.0
2012-06-12,222.0
2012-06-13,200.0
2012-07-30,204.0
2012-08-14,208.0
2012-08-15,212.0
2012-09-09,209.0
2012-09-11,219.0
2012-09-12,229.0
2012-09-13,240.0
2012-09-16,252.0
2012-09-17,264.0
2012-09-18,282.0
2012-09-19,286.0
2012-09-20,294.0
2012-09-23,323.0
2012-09-24,339.0
2012-11-25,321.0
2012-12-03,315.0
2012-12-05,290.0
2012-12-11,299.0
2012-12-16,294.0
2012-12-20,290.0
2012-12-23,291.0
2012-12-24,291.0
2012-12-26,301.0
2012-12-31,307.0
2013-02-05,307.0
2013-03-05,256.0
2013-03-20,246.0
2013-04-03,250.0
2013-04-04,247.0
2013-04-29,246.0
2013-05-02,249.0
2013-05-09,245.0
2013-05-20,245.0
2013-06-03,245.0
2013-06-10,249.0
2013-06-27,253.0
2013-07-09,253.0
2013-07-22,250.0
2013-07-30,233.0
2013-08-06,241.0
