Date,Open
2007-03-29,798.0
2007-04-02,600.0
2007-04-22,600.0
2007-04-25,600.0
2007-05-06,605.0
2007-05-24,635.0
2007-06-03,635.0
2007-06-04,666.0
2007-06-05,699.0
2007-06-12,680.0
2007-06-18,680.0
2007-06-21,686.0
2007-06-25,686.0
2007-07-01,686.0
2007-07-15,720.0
2007-07-29,720.0
2007-08-09,756.0
2007-10-10,793.0
2007-11-13,780.0
2007-11-18,795.0
2007-12-18,810.0
2007-12-26,826.0
2008-01-09,826.0
2008-02-12,15.0
2008-03-11,826.0
2008-04-06,845.0
2008-04-27,878.0
2008-04-29,895.0
2008-04-30,912.0
2008-06-12,930.0
2008-07-20,900.0
2008-07-28,900.0
2008-07-29,900.0
2008-11-02,900.0
2008-11-10,900.0
2008-12-29,900.0
2009-01-20,918.0
2009-01-21,992.0
2009-01-22,1040.0
2009-01-25,1040.0
2009-01-28,1071.0
2009-02-01,1060.0
2009-02-08,1060.0
2009-02-09,1060.0
2009-02-10,1050.0
2009-02-15,1029.0
2009-02-16,1009.0
2009-02-17,971.0
2009-02-19,952.0
2009-02-22,857.0
2009-02-24,862.0
2009-02-26,870.0
2009-03-04,946.0
2009-03-05,950.0
2009-03-16,970.0
2009-03-17,470.0
2009-03-25,488.0
2009-03-29,473.0
2009-03-31,482.0
2009-04-01,526.0
2009-04-02,578.0
2009-04-05,635.0
2009-04-06,695.0
2009-04-07,725.0
2009-04-08,700.0
2009-04-09,686.0
2009-04-16,660.0
2009-04-22,601.0
2009-04-30,612.0
2009-05-03,600.0
2009-05-04,612.0
2009-05-11,600.0
2009-05-13,566.0
2009-05-14,534.0
2009-05-17,514.0
2009-05-18,510.0
2009-05-19,550.0
2009-05-20,572.0
2009-05-21,605.0
2009-05-24,636.0
2009-05-25,648.0
2009-05-26,660.0
2009-05-31,660.0
2009-06-04,670.0
2009-06-18,637.0
2009-06-28,637.0
2009-07-05,610.0
2009-07-16,598.0
2009-07-19,609.0
2009-07-20,609.0
2009-07-28,597.0
2009-08-02,590.0
2009-08-11,550.0
2009-08-23,582.0
2009-08-25,592.0
2009-08-27,595.0
2009-09-07,606.0
2009-09-10,583.0
2009-11-23,539.0
2010-01-11,539.0
2010-01-13,539.0
2010-04-06,529.0
2010-04-11,530.0
2010-04-13,529.0
2010-04-21,519.0
2010-04-25,525.0
2010-05-11,525.0
2010-05-12,535.0
2010-06-06,535.0
2010-06-13,515.0
2010-07-05,505.0
2010-07-11,486.0
2010-07-18,486.0
2010-07-25,477.0
2010-07-27,459.0
2010-08-29,441.0
2010-09-14,433.0
2010-09-29,425.0
2010-10-20,417.0
2010-11-04,409.0
2010-11-09,393.0
2010-11-10,386.0
2010-11-11,416.0
2010-11-14,410.0
2010-11-15,380.0
2010-11-16,373.0
2010-11-18,376.0
2010-11-21,383.0
2010-11-22,390.0
2010-11-23,385.0
2010-11-28,378.0
2010-11-29,378.0
2010-12-06,385.0
2010-12-07,378.0
2011-01-10,385.0
2011-01-11,373.0
2011-01-13,360.0
