Date,Open
2009-12-27,214.0
2009-12-28,580.0
2009-12-29,522.0
2010-01-05,512.0
2010-01-11,495.0
2010-01-17,477.0
2010-01-21,450.0
2010-01-26,441.0
2010-01-27,425.0
2010-01-28,417.0
2010-02-01,397.0
2010-02-02,358.0
2010-02-03,323.0
2010-02-04,320.0
2010-02-07,330.0
2010-02-08,336.0
2010-02-09,315.0
2010-02-10,324.0
2010-02-11,318.0
2010-02-16,316.0
2010-02-17,320.0
2010-02-18,315.0
2010-03-01,315.0
2010-03-02,315.0
2010-03-03,321.0
2010-03-04,326.0
2010-03-07,320.0
2010-03-09,342.0
2010-03-10,324.0
2010-03-14,318.0
2010-03-16,314.0
2010-03-18,315.0
2010-03-30,300.0
2010-03-31,289.0
2010-04-01,280.0
2010-04-04,280.0
2010-04-07,275.0
2010-04-08,280.0
2010-04-11,285.0
2010-04-12,280.0
2010-04-13,290.0
2010-04-15,290.0
2010-04-18,294.0
2010-04-19,289.0
2010-04-20,280.0
2010-04-21,270.0
2010-04-26,265.0
2010-04-27,245.0
2010-05-10,222.0
2010-05-11,229.0
2010-05-12,225.0
2010-05-23,241.0
2010-05-25,245.0
2010-05-30,258.0
2010-05-31,268.0
2010-06-01,273.0
2010-06-03,283.0
2010-06-06,293.0
2010-06-07,295.0
2010-06-08,300.0
2010-06-09,303.0
2010-06-13,300.0
2010-06-16,294.0
2010-06-17,283.0
2010-06-23,270.0
2010-06-24,265.0
2010-06-28,265.0
2010-06-30,265.0
2010-07-04,260.0
2010-07-05,256.0
2010-07-06,252.0
2010-07-07,250.0
2010-07-08,250.0
2010-07-12,250.0
2010-07-13,245.0
2010-07-14,241.0
2010-07-15,241.0
2010-07-18,241.0
2010-07-19,245.0
2010-07-20,238.0
2010-07-21,252.0
2010-07-22,254.0
2010-07-25,254.0
2010-07-26,241.0
2010-07-27,231.0
2010-07-28,235.0
2010-07-29,229.0
2010-08-01,230.0
2010-10-06,233.0
2010-10-07,190.0
2010-10-11,193.0
2010-10-12,196.0
2010-10-26,193.0
2010-10-27,190.0
2010-10-28,187.0
2010-10-31,184.0
2010-11-01,181.0
2010-11-03,178.0
2010-11-09,174.0
2010-11-14,174.0
2010-11-15,175.0
2010-11-18,175.0
2010-11-21,178.0
2010-11-23,181.0
2010-11-28,184.0
2010-11-29,187.0
2010-11-30,187.0
2010-12-01,190.0
2010-12-09,185.0
2010-12-14,180.0
2010-12-16,177.0
2010-12-19,172.0
2010-12-20,175.0
2010-12-23,175.0
2010-12-26,166.0
2010-12-27,169.0
2010-12-28,170.0
2010-12-29,167.0
2011-01-04,164.0
2011-01-06,161.0
2011-01-19,161.0
2011-02-01,164.0
2011-02-07,165.0
2011-02-09,163.0
2011-02-15,165.0
2011-02-21,168.0
2011-02-24,170.0
2011-03-03,167.0
2011-03-09,167.0
2011-03-10,164.0
2011-03-13,161.0
2011-03-14,160.0
2011-03-16,160.0
2011-03-20,155.0
2011-03-21,149.0
2011-03-22,149.0
2011-03-24,151.0
2011-03-27,150.0
2011-03-28,153.0
2011-03-29,159.0
2011-03-31,153.0
2011-04-05,155.0
2011-04-07,158.0
2011-04-10,161.0
2011-04-11,149.0
2011-04-18,151.0
2011-04-20,151.0
2011-04-26,148.0
2011-04-28,153.0
2011-05-08,150.0
2011-05-09,145.0
2011-05-10,149.0
2011-05-11,152.0
2011-05-15,150.0
2011-05-24,147.0
2011-05-31,143.0
2011-06-01,143.0
2011-06-02,145.0
2011-06-05,149.0
2011-06-06,150.0
2011-06-09,150.0
2011-06-13,150.0
2011-06-20,147.0
2011-06-23,149.0
2011-07-03,145.0
2011-07-06,151.0
2011-07-11,151.0
2011-07-14,148.0
2011-07-18,150.0
2011-07-27,153.0
2011-07-31,147.0
2011-08-16,145.0
2011-08-17,143.0
2011-09-08,136.0
2011-09-18,136.0
2011-09-20,138.0
2011-10-10,139.0
2011-10-12,139.0
2011-10-17,137.0
2011-10-19,135.0
2011-11-06,134.0
2011-11-23,130.0
