Date,Open
2014-03-17,885.0
2014-03-18,352.0
2014-03-20,366.0
2014-03-23,366.0
2014-03-24,402.0
2014-03-25,426.0
2014-03-26,468.0
2014-03-27,477.0
2014-04-02,495.0
2014-04-06,534.0
2014-04-07,587.0
2014-04-09,587.0
2014-04-10,598.0
2014-04-13,598.0
2014-04-15,598.0
2014-04-16,633.0
2014-04-17,696.0
2014-04-20,765.0
2014-04-21,841.0
2014-04-22,891.0
2014-04-23,870.0
2014-04-27,880.0
2014-04-28,848.0
2014-04-29,840.0
2014-04-30,845.0
2014-05-04,840.0
2014-05-05,870.0
2014-05-06,880.0
2014-05-07,915.0
2014-05-08,966.0
2014-05-11,960.0
2014-05-12,923.0
2014-05-13,890.0
2014-05-15,940.0
2014-05-18,922.0
2014-05-19,870.0
2014-05-20,879.0
2014-05-21,918.0
2014-05-22,885.0
2014-05-25,885.0
2014-05-26,902.0
2014-05-27,875.0
2014-05-28,861.0
2014-06-01,878.0
2014-06-02,890.0
2014-06-03,890.0
2014-06-04,907.0
2014-06-05,855.0
2014-06-08,835.0
2014-06-09,821.0
2014-06-10,835.0
2014-06-11,855.0
2014-06-12,924.0
2014-06-15,925.0
2014-06-19,907.0
2014-06-24,889.0
2014-06-29,884.0
2014-06-30,901.0
2014-07-01,884.0
2014-07-02,867.0
2014-07-03,850.0
2014-07-06,845.0
2014-07-07,898.0
2014-07-09,933.0
2014-07-20,915.0
2014-07-21,1000.0
2014-07-22,1036.0
2014-07-23,999.0
2014-07-24,985.0
2014-07-30,935.0
2014-07-31,900.0
2014-08-03,852.0
2014-08-04,835.0
2014-08-05,820.0
2014-08-06,830.0
2014-08-07,835.0
2014-08-12,819.0
2014-08-13,835.0
2014-08-14,823.0
2014-08-18,825.0
2014-08-19,784.0
2014-08-20,799.0
2014-08-21,790.0
2014-08-24,800.0
2014-08-25,816.0
2014-08-27,795.0
2014-08-28,781.0
2014-08-31,796.0
2014-09-01,811.0
2014-09-03,790.0
2014-09-04,775.0
2014-09-07,760.0
2014-09-09,718.0
2014-09-11,732.0
2014-09-14,730.0
2014-09-15,725.0
2014-09-16,740.0
2014-09-17,755.0
2014-09-21,765.0
2014-09-23,740.0
2014-09-24,720.0
2014-09-28,706.0
2014-09-29,704.0
2014-09-30,761.0
2014-10-09,761.0
2014-10-12,760.0
2014-10-13,760.0
2014-10-14,745.0
2014-10-15,748.0
2014-10-16,736.0
2014-10-19,750.0
2014-10-20,740.0
2014-10-21,750.0
2014-10-22,750.0
2014-10-26,741.0
2014-10-28,749.0
2014-10-30,746.0
2014-11-02,775.0
2014-11-03,800.0
2014-11-09,785.0
2014-11-11,775.0
2014-11-12,769.0
2014-11-13,765.0
2014-11-16,735.0
2014-11-17,725.0
2014-11-18,725.0
2014-11-19,725.0
2014-11-20,730.0
2014-11-23,730.0
2014-11-25,730.0
2014-11-30,710.0
2014-12-04,696.0
2014-12-07,686.0
2014-12-10,673.0
2014-12-11,660.0
2014-12-15,647.0
2014-12-17,659.0
2014-12-18,667.0
2014-12-21,680.0
2014-12-22,668.0
2014-12-23,651.0
2014-12-24,648.0
2014-12-28,640.0
2014-12-29,650.0
2014-12-31,664.0
2015-01-01,717.0
2015-01-04,745.0
2015-01-05,819.0
2015-01-06,834.0
2015-01-07,917.0
2015-01-08,996.0
2015-01-11,999.0
2015-01-12,901.0
2015-01-13,865.0
2015-01-14,832.0
2015-01-18,816.0
2015-01-19,864.0
2015-01-20,885.0
2015-01-22,915.0
2015-01-26,910.0
2015-01-27,858.0
2015-01-28,841.0
2015-01-29,846.0
2015-02-01,847.0
2015-02-02,863.0
2015-02-03,949.0
2015-02-04,967.0
2015-02-05,1025.0
2015-02-12,1024.0
2015-02-15,946.0
2015-02-16,900.0
2015-02-18,918.0
2015-02-22,958.0
2015-02-23,945.0
2015-02-24,930.0
2015-02-25,1000.0
2015-03-01,1040.0
2015-03-02,1005.0
2015-03-03,1090.0
2015-03-04,1120.0
2015-03-09,1127.0
2015-03-10,1085.0
2015-03-11,1106.0
2015-03-12,1090.0
2015-03-15,1085.0
2015-03-16,1100.0
2015-03-17,1095.0
2015-03-18,1040.0
2015-03-19,1021.0
2015-03-25,1020.0
2015-03-26,1001.0
