Date,Open
2003-05-26,0.0
2003-05-28,103.0
2003-05-29,98.0
2003-06-02,105.0
2003-06-03,95.0
2003-06-04,90.0
2003-06-06,93.0
2003-06-09,90.0
2003-06-16,90.0
2003-06-17,84.0
2003-06-18,80.0
2003-06-19,80.0
2003-06-20,79.0
2003-06-23,75.0
2003-06-24,73.0
2003-06-25,72.0
2003-06-26,70.0
2003-06-30,71.0
2003-07-01,74.0
2003-07-02,74.0
2003-07-03,75.0
2003-07-04,75.0
2003-07-08,74.0
2003-07-09,76.0
2003-07-10,76.0
2003-07-11,76.0
2003-07-14,74.0
2003-07-15,76.0
2003-07-17,91.0
2003-07-18,87.0
2003-07-21,83.0
2003-07-23,78.0
2003-07-25,78.0
2003-07-28,76.0
2003-07-29,77.0
2003-07-30,80.0
2003-07-31,76.0
2003-08-01,77.0
2003-08-05,77.0
2003-08-06,77.0
2003-08-07,75.0
2003-08-08,75.0
2003-08-15,75.0
2003-08-18,76.0
2003-08-21,75.0
2003-08-22,76.0
2003-08-25,78.0
2003-08-26,76.0
2003-08-27,77.0
2003-09-02,77.0
2003-09-03,76.0
2003-09-04,75.0
2003-09-05,76.0
2003-09-10,75.0
2003-09-11,75.0
2003-09-18,76.0
2003-09-23,75.0
2003-09-24,75.0
2003-09-25,77.0
2003-09-29,77.0
2003-10-13,77.0
2003-10-15,77.0
2003-10-16,77.0
2003-10-21,75.0
2003-10-22,75.0
2003-10-23,74.0
2003-10-30,74.0
2003-10-31,74.0
2003-11-03,74.0
2003-11-05,74.0
2003-11-12,74.0
2003-11-20,74.0
2003-11-21,73.0
2003-11-24,72.0
2003-11-25,73.0
2003-11-28,73.0
2003-12-02,73.0
2003-12-04,73.0
2003-12-08,73.0
2003-12-09,70.0
2003-12-10,69.0
2003-12-16,70.0
2003-12-17,70.0
2003-12-18,70.0
2003-12-22,70.0
2003-12-23,70.0
2003-12-25,71.0
2003-12-26,71.0
2003-12-29,72.0
2004-01-01,71.0
2004-01-02,72.0
2004-01-08,74.0
2004-01-12,73.0
2004-01-13,73.0
2004-01-14,74.0
2004-01-16,75.0
2004-01-20,76.0
2004-01-21,80.0
2004-01-22,80.0
2004-01-23,85.0
2004-01-27,89.0
2004-02-02,93.0
2004-02-17,93.0
2004-02-24,89.0
2004-03-03,85.0
2004-03-05,81.0
2004-03-08,77.0
2004-03-09,74.0
2004-03-10,72.0
2004-03-12,72.0
2004-03-15,72.0
2004-03-16,72.0
2004-03-19,73.0
2004-03-22,74.0
2004-03-31,80.0
2004-04-05,80.0
2004-04-06,85.0
2004-04-07,90.0
2004-04-08,100.0
2004-04-09,105.0
2004-04-21,98.0
2004-04-22,94.0
2004-04-29,90.0
2004-04-30,90.0
2004-05-07,90.0
2004-05-10,84.0
2004-05-13,84.0
2004-05-14,84.0
2004-05-21,84.0
2004-05-26,80.0
2004-05-31,78.0
2004-06-03,75.0
2004-06-04,72.0
2004-06-07,72.0
2004-06-08,72.0
2004-06-09,72.0
2004-06-10,72.0
2004-06-14,72.0
2004-06-15,72.0
2004-06-22,72.0
2004-06-24,74.0
2004-06-28,75.0
2004-06-29,75.0
2004-06-30,76.0
2004-07-01,76.0
2004-07-02,79.0
2004-07-05,84.0
2004-07-06,88.0
2004-07-08,88.0
2004-07-09,86.0
2004-07-12,94.0
2004-07-13,98.0
2004-07-14,98.0
2004-07-15,98.0
2004-07-19,95.0
2004-07-21,98.0
2004-07-22,96.0
2004-07-27,96.0
2004-07-28,92.0
2004-07-30,92.0
2004-08-03,92.0
2004-08-05,94.0
2004-08-06,93.0
2004-08-09,92.0
2004-08-10,92.0
2004-08-12,92.0
2004-08-18,92.0
2004-08-19,92.0
2004-08-20,92.0
2004-08-27,90.0
2004-09-08,90.0
2004-09-10,86.0
2004-09-14,86.0
2004-09-16,86.0
2004-09-21,86.0
2004-09-22,86.0
2004-09-23,86.0
2004-09-24,86.0
2004-09-28,86.0
2004-10-01,86.0
2004-10-06,85.0
2004-10-07,84.0
2004-10-08,83.0
2004-10-11,83.0
2004-10-14,83.0
2004-11-11,83.0
2004-11-19,80.0
2004-11-22,78.0
2004-11-23,78.0
2004-11-24,78.0
2004-11-25,76.0
2004-11-26,76.0
2004-11-29,74.0
2004-11-30,74.0
2004-12-01,75.0
2004-12-02,76.0
2004-12-03,78.0
2004-12-06,78.0
2004-12-07,78.0
2004-12-08,78.0
2004-12-14,78.0
2004-12-15,76.0
2004-12-17,76.0
2004-12-20,77.0
2004-12-21,79.0
2004-12-24,79.0
2004-12-27,79.0
2004-12-28,79.0
2005-01-05,76.0
2005-01-18,75.0
2005-01-19,75.0
2005-01-24,77.0
2005-01-25,78.0
2005-01-27,75.0
2005-02-01,75.0
2005-02-03,76.0
2005-02-04,75.0
2005-02-08,76.0
2005-02-09,76.0
2005-02-10,75.0
2005-02-11,75.0
2005-02-14,76.0
2005-02-16,76.0
2005-02-23,79.0
2005-03-01,80.0
2005-03-02,81.0
2005-03-04,81.0
2005-03-10,85.0
2005-03-11,85.0
2005-03-15,85.0
2005-03-18,85.0
2005-03-21,86.0
2005-03-23,85.0
2005-03-24,85.0
2005-03-30,86.0
2005-03-31,86.0
2005-04-01,85.0
2005-04-04,85.0
2005-04-05,87.0
2005-04-06,86.0
2005-04-08,88.0
2005-04-12,88.0
2005-04-18,89.0
2005-04-19,88.0
2005-04-20,90.0
2005-04-21,91.0
2005-04-24,90.0
2005-04-26,92.0
2005-04-27,98.0
2005-04-28,102.0
2005-05-01,104.0
2005-05-02,102.0
2005-05-03,102.0
2005-05-04,103.0
2005-05-05,108.0
2005-05-10,108.0
2005-05-11,112.0
2005-05-12,111.0
2005-05-15,108.0
2005-05-16,108.0
2005-05-17,108.0
2005-05-18,108.0
2005-05-19,106.0
2005-05-22,106.0
2005-05-24,106.0
2005-05-25,105.0
2005-05-26,105.0
2005-05-29,105.0
2005-05-30,106.0
2005-05-31,106.0
2005-06-01,110.0
2005-06-02,113.0
2005-06-05,112.0
2005-06-06,110.0
2005-06-07,110.0
2005-06-08,111.0
2005-06-09,111.0
2005-06-14,112.0
2005-06-15,111.0
2005-06-16,111.0
2005-06-21,109.0
2005-06-22,102.0
2005-06-26,103.0
2005-06-27,102.0
2005-06-28,102.0
2005-06-30,102.0
2005-07-03,105.0
2005-07-04,105.0
2005-07-06,104.0
2005-07-10,104.0
2005-07-14,103.0
2005-07-19,103.0
2005-07-26,100.0
2005-08-04,95.0
2005-08-08,91.0
2005-08-09,90.0
2005-08-10,90.0
2005-08-11,90.0
2005-08-14,91.0
2005-08-15,91.0
2005-08-22,92.0
2005-08-25,90.0
2005-08-28,90.0
2005-08-31,90.0
2005-09-01,90.0
2005-09-04,91.0
2005-09-06,91.0
2005-09-13,91.0
2005-09-14,91.0
2005-09-15,91.0
2005-09-18,91.0
2005-09-19,91.0
2005-09-21,91.0
2005-09-22,91.0
2005-09-25,91.0
2005-09-26,92.0
2005-09-27,91.0
2005-09-29,91.0
2005-10-05,92.0
2005-10-06,92.0
2005-10-19,92.0
2005-10-24,92.0
2005-10-25,93.0
2005-10-26,93.0
2005-10-27,93.0
2005-11-07,91.0
2005-11-08,91.0
2005-11-13,91.0
2005-11-15,91.0
2005-11-22,91.0
2005-11-24,91.0
2005-11-29,91.0
2005-12-07,95.0
2005-12-14,95.0
2005-12-15,92.0
2005-12-18,95.0
2005-12-19,99.0
2005-12-20,103.0
2005-12-21,104.0
2005-12-22,109.0
2005-12-25,114.0
