Date,Open
2007-05-13,102.0
2007-05-14,103.0
2007-06-04,105.0
2007-07-03,105.0
2007-07-29,110.0
2007-09-23,110.0
2007-10-15,112.0
2007-10-31,114.0
2008-03-30,116.0
2008-04-24,116.0
2008-06-23,114.0
2008-07-10,116.0
2008-07-13,126.0
2008-08-03,134.0
2008-08-31,138.0
2008-11-19,148.0
2008-11-20,155.0
2008-11-23,162.0
2008-11-24,165.0
2008-11-26,171.0
2008-12-04,174.0
2009-01-13,150.0
2009-05-12,150.0
2009-06-09,165.0
2009-06-10,171.0
2009-06-28,180.0
2009-08-02,183.0
2009-09-02,189.0
2009-09-10,198.0
2009-09-15,207.0
2009-09-16,217.0
2009-10-21,217.0
2009-11-17,221.0
2010-01-13,236.0
2010-03-22,230.0
2010-05-10,230.0
2010-05-11,230.0
2010-05-12,230.0
2010-05-16,234.0
2010-05-18,242.0
2010-05-20,267.0
2010-05-23,272.0
2010-05-24,282.0
2010-05-25,297.0
2010-05-26,302.0
2010-05-31,308.0
2010-06-01,320.0
2010-06-02,326.0
2010-06-03,335.0
2010-06-06,347.0
2010-06-07,353.0
2010-06-10,353.0
2010-06-14,353.0
2010-06-15,346.0
2010-06-16,348.0
2010-06-17,368.0
2010-06-20,368.0
2010-06-21,382.0
2010-06-23,382.0
2010-06-24,375.0
2010-07-05,361.0
2010-07-06,360.0
2010-07-07,346.0
2010-07-12,340.0
2010-07-15,334.0
2010-07-18,325.0
2010-07-20,325.0
2010-07-21,325.0
2010-07-22,324.0
2010-07-25,318.0
2010-07-26,315.0
2010-07-27,310.0
2010-08-02,310.0
2010-08-19,310.0
2010-08-29,310.0
2010-09-02,310.0
2010-09-05,304.0
2010-09-07,300.0
2010-09-13,300.0
2010-09-14,300.0
2010-09-15,300.0
2010-09-16,305.0
2010-09-19,306.0
2010-09-20,294.0
2010-09-21,290.0
2010-09-23,291.0
2010-10-03,291.0
2010-11-10,227.0
2010-11-16,227.0
2010-11-23,227.0
2010-11-25,227.0
2010-12-12,227.0
2010-12-23,231.0
2010-12-26,246.0
2011-03-21,250.0
2011-04-06,225.0
2011-05-12,225.0
2011-05-15,225.0
2011-05-16,229.0
2011-05-18,230.0
2011-05-23,230.0
2011-06-27,227.0
2011-06-30,231.0
2011-07-03,239.0
2011-07-14,242.0
2011-08-07,235.0
2011-08-10,235.0
2011-08-11,231.0
2011-08-15,227.0
2011-08-16,219.0
2011-08-17,215.0
2011-08-22,211.0
2011-09-04,211.0
2011-09-27,207.0
2011-10-13,203.0
2011-10-24,199.0
2011-12-01,196.0
2012-02-01,196.0
2012-03-04,181.0
2012-04-03,184.0
2012-04-12,181.0
2012-04-16,178.0
2012-04-19,178.0
2012-04-29,181.0
2012-05-09,181.0
2012-05-24,184.0
2012-06-06,178.0
2012-06-14,175.0
2012-06-17,169.0
2012-06-19,169.0
2012-07-02,167.0
2012-07-17,164.0
2012-07-22,161.0
2012-07-26,160.0
2012-07-30,160.0
2012-08-12,157.0
2012-08-26,154.0
2012-08-27,151.0
2012-08-28,152.0
2012-08-29,166.0
2012-08-30,169.0
2012-09-02,172.0
2012-09-03,181.0
2012-09-04,190.0
2012-10-10,193.0
2012-10-11,190.0
2012-10-15,181.0
2012-10-18,178.0
2012-11-06,176.0
2012-11-11,175.0
2012-11-26,175.0
2012-11-28,178.0
2012-12-13,176.0
2012-12-16,207.0
2012-12-18,200.0
2012-12-19,200.0
2012-12-20,201.0
2013-01-06,200.0
2013-01-10,208.0
2013-01-13,204.0
2013-01-15,212.0
2013-01-16,220.0
2013-01-17,224.0
2013-01-21,228.0
2013-01-22,235.0
2013-01-23,225.0
2013-01-24,225.0
2013-01-27,225.0
2013-01-28,226.0
2013-02-04,230.0
2013-02-05,226.0
2013-02-06,216.0
2013-02-07,214.0
2013-02-10,220.0
2013-02-12,230.0
2013-02-13,233.0
2013-02-14,232.0
2013-02-17,230.0
2013-02-19,234.0
2013-02-20,245.0
2013-02-21,237.0
2013-02-24,233.0
2013-02-25,225.0
2013-03-07,225.0
2013-03-11,226.0
2013-03-13,225.0
2013-03-14,225.0
2013-03-18,229.0
2013-03-19,226.0
2013-03-21,222.0
2013-03-31,226.0
2013-04-03,217.0
2013-04-11,220.0
2013-04-17,221.0
2013-04-18,221.0
2013-04-21,218.0
2013-04-22,222.0
2013-04-28,218.0
2013-05-07,214.0
2013-05-08,218.0
2013-05-09,222.0
2013-05-12,244.0
2013-05-13,268.0
2013-05-16,266.0
2013-05-19,270.0
2013-05-20,270.0
2013-05-22,271.0
2013-05-23,271.0
2013-05-27,281.0
2013-06-10,286.0
2013-06-18,285.0
2013-06-30,280.0
2013-07-01,275.0
2013-07-02,270.0
2013-07-03,265.0
2013-07-07,270.0
2013-07-08,276.0
2013-07-11,271.0
2013-07-15,275.0
2013-07-24,280.0
2013-07-31,285.0
2013-08-04,286.0
2013-08-05,295.0
2013-08-06,300.0
2013-08-08,306.0
2013-08-11,336.0
2013-08-13,369.0
2013-08-14,400.0
2013-08-15,438.0
2013-08-18,438.0
2013-08-19,430.0
2013-08-25,422.0
2013-08-26,409.0
2013-08-27,409.0
2013-08-29,417.0
2013-09-01,417.0
2013-09-02,425.0
2013-09-03,410.0
2013-09-04,429.0
2013-09-05,418.0
2013-09-08,430.0
2013-09-09,446.0
2013-09-10,475.0
2013-09-11,480.0
2013-09-12,467.0
2013-09-15,482.0
2013-09-17,473.0
2013-09-19,480.0
2013-09-23,470.0
2013-09-24,452.0
2013-09-25,443.0
2013-09-29,445.0
2013-09-30,440.0
2013-10-01,435.0
2013-10-02,436.0
2013-10-03,444.0
2013-10-06,452.0
2013-10-07,470.0
2013-10-09,475.0
2013-10-10,484.0
2013-10-20,475.0
2013-10-21,483.0
2013-10-22,483.0
2013-10-23,477.0
2013-10-24,485.0
2013-10-28,477.0
2013-10-29,465.0
2013-10-31,456.0
2013-11-06,465.0
2013-11-12,481.0
2013-11-13,499.0
2013-11-14,548.0
2013-11-21,558.0
2013-11-24,580.0
2013-11-25,600.0
2013-11-26,636.0
2013-11-28,650.0
2013-12-01,625.0
2013-12-02,654.0
2013-12-03,673.0
2013-12-05,699.0
2013-12-08,752.0
2013-12-09,770.0
2013-12-10,717.0
2013-12-11,717.0
2013-12-12,713.0
2013-12-15,715.0
2013-12-16,786.0
2013-12-18,850.0
2013-12-19,880.0
2013-12-22,865.0
2014-01-12,875.0
2014-01-13,716.0
2014-01-14,725.0
2014-01-20,739.0
2014-01-22,739.0
2014-01-23,754.0
