Date,Open
2000-09-05,84.0
2000-09-11,80.0
2000-11-03,80.0
2000-12-20,80.0
2001-01-08,80.0
2001-01-19,88.0
2001-02-12,95.0
2001-03-15,95.0
2001-04-12,86.0
2001-05-02,90.0
2001-05-11,90.0
2001-05-29,90.0
2001-06-15,90.0
2001-07-06,85.0
2001-08-15,90.0
2001-09-07,90.0
2001-12-18,81.0
2002-01-23,81.0
2002-05-15,77.0
2002-08-01,77.0
2002-10-09,82.0
2003-05-12,80.0
2003-05-30,80.0
2003-07-02,80.0
2003-12-12,80.0
2004-07-13,80.0
2004-07-14,80.0
2004-07-27,80.0
2004-07-28,84.0
2004-07-29,88.0
2004-07-30,92.0
2004-08-02,96.0
2004-08-12,100.0
2004-08-20,100.0
2004-10-01,100.0
2004-10-12,100.0
2005-04-06,100.0
2005-06-30,100.0
2005-09-26,100.0
2006-01-01,100.0
2006-04-04,95.0
2006-09-07,95.0
2006-09-12,95.0
2006-09-21,95.0
2008-03-13,95.0
2008-09-01,94.0
