Date,Open
2007-04-11,200.0
2007-05-31,200.0
2007-06-03,218.0
2007-06-04,236.0
2007-06-11,250.0
2007-06-13,250.0
2007-06-25,262.0
2007-07-10,275.0
2007-07-29,275.0
2007-08-02,300.0
2007-08-05,315.0
2007-08-13,330.0
2007-08-14,346.0
2007-10-01,345.0
2007-11-25,340.0
2007-11-27,350.0
2007-12-10,350.0
2007-12-27,357.0
2008-01-08,364.0
2008-03-13,500.0
2008-03-26,510.0
2008-05-05,500.0
2008-06-15,472.0
2008-07-01,437.0
2008-07-17,437.0
2008-07-20,437.0
2008-07-23,445.0
2008-08-19,462.0
2008-09-22,462.0
2008-12-15,462.0
2009-04-05,471.0
2009-08-03,390.0
2009-08-04,397.0
2009-08-26,400.0
2009-08-27,400.0
2009-10-12,416.0
2009-10-14,416.0
2009-12-29,416.0
2009-12-31,416.0
2010-01-06,416.0
2010-01-21,408.0
2010-02-01,407.0
2010-02-03,407.0
2010-03-28,400.0
2010-03-29,424.0
2010-03-30,421.0
2010-03-31,455.0
2010-04-11,472.0
2010-04-12,437.0
2010-04-13,400.0
2010-04-15,400.0
2010-04-19,400.0
2010-04-22,398.0
2010-04-25,400.0
2010-04-26,400.0
2010-04-27,392.0
2010-04-29,391.0
2010-05-13,392.0
2010-06-13,385.0
2010-06-15,371.0
2010-07-22,375.0
2010-08-18,238.0
2010-08-19,242.0
2010-09-20,242.0
2010-10-26,242.0
2011-01-03,242.0
2011-02-09,189.0
2011-02-10,195.0
2011-04-04,198.0
2011-04-19,201.0
2011-04-20,221.0
2011-04-21,229.0
2011-05-10,221.0
2011-05-15,225.0
2011-05-18,229.0
2011-05-19,233.0
2011-05-22,237.0
2011-05-23,237.0
2011-05-24,235.0
2011-05-25,235.0
2011-05-26,239.0
2011-05-30,245.0
2011-05-31,243.0
2011-06-01,246.0
2011-06-02,248.0
2011-06-06,248.0
2011-06-07,248.0
2011-06-08,244.0
2011-06-12,227.0
2011-06-14,233.0
2011-06-16,235.0
2011-06-20,243.0
2011-06-21,248.0
2011-06-23,255.0
2011-06-26,250.0
2011-06-29,255.0
2011-06-30,255.0
2011-07-03,254.0
2011-07-05,249.0
2011-07-07,250.0
2011-07-11,250.0
2011-07-12,257.0
2011-07-13,257.0
2011-07-14,258.0
2011-07-18,258.0
2011-07-19,258.0
2011-07-21,244.0
2011-07-31,240.0
2011-08-03,244.0
2011-08-07,243.0
2011-08-08,243.0
2011-08-10,242.0
2011-09-01,242.0
2011-09-18,234.0
2011-09-26,229.0
2011-09-29,221.0
2011-10-12,209.0
2011-10-13,205.0
2011-10-16,200.0
2011-10-18,195.0
2011-10-23,192.0
2011-10-25,192.0
2011-11-13,180.0
2011-11-21,168.0
2011-11-22,174.0
2011-11-23,186.0
2011-11-24,189.0
2011-11-27,195.0
2011-11-29,192.0
2011-12-04,199.0
2011-12-05,201.0
2011-12-06,201.0
2011-12-07,201.0
2011-12-11,197.0
2011-12-13,192.0
2011-12-14,195.0
2011-12-15,201.0
2012-02-23,205.0
2012-02-26,201.0
2012-02-27,205.0
2012-02-29,207.0
2012-03-04,209.0
2012-03-05,210.0
2012-03-06,210.0
2012-03-13,212.0
2012-03-14,212.0
2012-03-18,206.0
2012-03-19,199.0
2012-03-20,201.0
2012-03-21,205.0
2012-03-26,215.0
2012-03-27,215.0
2012-03-28,220.0
2012-04-04,220.0
2012-04-05,221.0
2012-04-19,224.0
2012-05-14,230.0
2012-05-22,233.0
2012-05-24,229.0
2012-05-27,235.0
2012-05-29,235.0
2012-06-03,234.0
2012-06-04,234.0
2012-06-06,230.0
2012-06-07,230.0
2012-06-11,230.0
2012-06-12,222.0
2012-06-13,214.0
2012-06-14,210.0
2012-06-17,195.0
2012-06-18,187.0
2012-06-19,193.0
2012-06-20,199.0
2012-06-21,206.0
2012-06-25,206.0
2012-06-26,189.0
2012-06-27,174.0
2012-06-28,177.0
2012-07-03,174.0
2012-07-04,171.0
2012-07-09,174.0
2012-07-11,176.0
2012-07-19,176.0
2012-07-25,175.0
2012-07-26,187.0
2012-07-29,187.0
2012-07-30,187.0
2012-08-01,190.0
2012-08-07,187.0
2012-08-08,185.0
2012-08-26,185.0
2012-08-27,188.0
2012-08-29,185.0
2012-09-04,188.0
2012-09-05,191.0
2012-09-09,198.0
2012-09-10,194.0
2012-09-11,194.0
2012-09-12,196.0
2012-09-13,196.0
2012-09-24,193.0
2012-09-27,193.0
2012-09-30,196.0
2012-10-01,195.0
2012-10-02,198.0
2012-10-03,200.0
2012-10-04,194.0
2012-10-08,197.0
2012-10-18,197.0
2012-10-31,196.0
2012-11-22,193.0
2012-12-06,180.0
2013-01-27,177.0
2013-02-14,178.0
2013-02-24,178.0
2013-02-25,178.0
2013-03-06,175.0
2013-03-17,173.0
2013-03-20,170.0
2013-03-31,173.0
2013-04-08,170.0
2013-04-11,170.0
2013-04-16,167.0
2013-04-18,167.0
2013-04-25,170.0
2013-05-02,167.0
2013-05-12,165.0
2013-05-20,165.0
2013-05-22,163.0
2013-05-23,160.0
2013-05-27,157.0
2013-05-28,158.0
2013-06-02,161.0
2013-06-03,167.0
2013-06-04,172.0
2013-06-05,174.0
2013-06-06,175.0
2013-06-09,177.0
2013-06-10,179.0
2013-06-11,181.0
2013-06-12,183.0
2013-06-16,189.0
2013-06-17,192.0
2013-06-18,194.0
2013-06-19,194.0
2013-06-20,194.0
2013-06-23,197.0
2013-07-01,199.0
2013-07-03,201.0
2013-07-17,197.0
2013-07-18,194.0
2013-07-22,192.0
2013-07-23,195.0
2013-07-30,197.0
2013-07-31,199.0
2013-08-08,199.0
2013-08-11,203.0
2013-08-12,211.0
2013-08-15,214.0
2013-08-19,210.0
