Date,Open
2012-10-17,125.0
2012-10-18,115.0
2012-11-05,117.0
2012-11-26,123.0
2012-11-28,123.0
2013-02-19,123.0
2013-02-20,119.0
2013-02-27,119.0
2013-03-03,115.0
2013-03-04,117.0
2013-03-06,119.0
2013-03-07,123.0
2013-03-11,121.0
2013-03-13,123.0
2013-03-14,125.0
2013-03-19,127.0
2013-03-20,125.0
2013-05-09,121.0
2013-05-12,123.0
2013-05-15,121.0
2013-05-20,123.0
2013-05-22,121.0
2013-05-27,123.0
2013-06-05,125.0
2013-10-02,125.0
2013-10-03,125.0
2013-10-21,127.0
2013-10-28,127.0
2013-10-29,129.0
2013-10-30,141.0
2013-11-10,140.0
2013-11-11,148.0
2013-11-12,158.0
2013-11-13,160.0
2013-11-14,160.0
2013-11-27,176.0
2013-11-28,153.0
2013-12-02,168.0
2013-12-03,171.0
2013-12-05,180.0
2013-12-08,183.0
2013-12-10,186.0
2013-12-12,189.0
2013-12-15,195.0
2014-01-02,198.0
2014-01-21,201.0
2014-01-22,221.0
2014-01-23,237.0
2014-01-26,249.0
2014-01-27,253.0
2014-01-28,268.0
2014-01-29,273.0
2014-02-02,268.0
2014-02-03,264.0
2014-02-09,265.0
2014-02-16,260.0
2014-02-17,270.0
2014-02-18,297.0
2014-02-20,320.0
2014-02-25,352.0
2014-02-26,359.0
2014-03-03,373.0
2014-03-06,369.0
2014-03-09,355.0
2014-03-11,348.0
2014-04-20,342.0
2014-04-23,330.0
2014-04-27,324.0
2014-04-28,325.0
2014-04-29,319.0
2014-04-30,313.0
2014-05-07,303.0
2014-05-08,321.0
2014-05-12,309.0
2014-05-13,315.0
2014-05-15,315.0
2014-05-18,346.0
2014-05-19,380.0
2014-05-22,368.0
2014-05-26,375.0
2014-05-27,368.0
2014-05-28,361.0
2014-06-02,339.0
2014-06-03,345.0
2014-06-04,355.0
2014-06-05,351.0
2014-06-08,355.0
2014-06-10,369.0
2014-06-11,372.0
2014-06-12,362.0
2014-06-16,355.0
2014-06-23,348.0
2014-06-26,342.0
2014-06-30,361.0
2014-07-01,375.0
2014-07-02,375.0
2014-07-06,368.0
2014-07-08,361.0
2014-07-09,360.0
2014-07-16,355.0
2014-07-17,375.0
2014-07-21,375.0
2014-07-22,396.0
2014-07-23,418.0
2014-07-24,442.0
2014-07-27,450.0
2014-07-30,477.0
2014-07-31,495.0
2014-08-03,500.0
2014-08-04,494.0
2014-08-06,484.0
2014-08-07,466.0
2014-08-12,475.0
2014-08-14,475.0
2014-08-18,470.0
2014-08-19,455.0
2014-08-20,442.0
2014-08-21,410.0
2014-08-24,410.0
2014-08-26,394.0
2014-08-27,366.0
2014-08-28,373.0
2014-08-31,387.0
2014-09-04,380.0
2014-09-11,373.0
2014-09-14,366.0
2014-09-15,345.0
2014-09-16,340.0
2014-09-17,340.0
2014-09-24,346.0
2014-10-08,352.0
2014-10-14,345.0
2014-10-15,340.0
2014-10-16,346.0
2014-11-03,358.0
2014-11-06,365.0
2014-11-11,358.0
2014-11-12,350.0
2014-11-13,345.0
2014-11-17,351.0
2014-11-20,332.0
2014-11-23,320.0
2014-11-25,314.0
2014-11-30,308.0
2014-12-01,320.0
2014-12-07,272.0
2014-12-10,272.0
2014-12-14,277.0
2014-12-15,282.0
2014-12-16,310.0
2014-12-17,328.0
2014-12-18,340.0
2014-12-21,351.0
2014-12-22,358.0
2014-12-24,365.0
2014-12-28,365.0
2014-12-29,358.0
2014-12-31,363.0
2015-01-05,365.0
2015-01-06,358.0
2015-01-19,365.0
2015-01-25,370.0
2015-01-26,385.0
2015-01-27,409.0
2015-02-01,412.0
2015-02-02,404.0
2015-02-03,400.0
2015-02-04,392.0
2015-02-05,399.0
2015-02-08,392.0
2015-02-09,400.0
2015-02-10,410.0
2015-02-11,407.0
2015-02-12,399.0
2015-02-16,407.0
2015-02-18,410.0
2015-02-22,416.0
2015-02-23,408.0
2015-02-24,400.0
2015-02-25,408.0
2015-03-02,440.0
2015-03-03,451.0
2015-03-04,454.0
2015-03-09,445.0
2015-03-11,455.0
2015-03-12,446.0
2015-03-15,476.0
