Date,Open
2010-04-26,89.0
2010-05-16,324.0
2010-05-17,292.0
2010-05-18,267.0
2010-05-19,241.0
2010-05-20,217.0
2010-05-23,205.0
2010-05-24,189.0
2010-05-25,192.0
2010-05-26,204.0
2010-05-30,210.0
2010-05-31,216.0
2010-06-01,210.0
2010-06-02,197.0
2010-06-03,200.0
2010-06-06,199.0
2010-06-07,208.0
2010-06-08,200.0
2010-06-09,213.0
2010-06-10,218.0
2010-06-13,211.0
2010-06-14,212.0
2010-06-15,200.0
2010-06-16,201.0
2010-06-17,195.0
2010-06-20,200.0
2010-06-21,197.0
2010-06-22,201.0
2010-06-23,195.0
2010-06-24,200.0
2010-06-28,200.0
2010-06-29,200.0
2010-06-30,201.0
2010-07-01,195.0
2010-07-04,200.0
2010-07-05,200.0
2010-07-06,200.0
2010-07-07,196.0
2010-07-08,200.0
2010-07-11,196.0
2010-07-12,199.0
2010-07-14,202.0
2010-07-15,198.0
2010-07-19,200.0
2010-07-20,185.0
2010-07-21,185.0
2010-07-22,185.0
2010-07-25,188.0
2010-07-26,188.0
2010-07-27,189.0
2010-07-28,180.0
2010-07-29,180.0
2010-08-01,180.0
2010-08-02,178.0
2010-08-03,174.0
2010-08-04,174.0
2010-08-05,173.0
2010-08-08,167.0
2010-08-09,168.0
2010-08-10,168.0
2010-08-11,170.0
2010-08-12,170.0
2010-08-15,162.0
2010-08-16,161.0
2010-08-17,160.0
2010-08-18,160.0
2010-08-19,160.0
2010-08-22,159.0
2010-08-23,153.0
2010-08-26,150.0
2010-08-29,147.0
2010-08-30,148.0
2010-08-31,148.0
2010-09-02,146.0
2010-09-05,140.0
2010-09-06,138.0
2010-09-07,138.0
2010-09-08,140.0
2010-09-09,152.0
2010-09-12,161.0
2010-09-13,170.0
2010-09-14,173.0
2010-09-15,172.0
2010-09-16,172.0
2010-09-19,170.0
2010-09-20,160.0
2010-09-21,160.0
2010-09-23,159.0
2010-09-27,159.0
2010-09-28,156.0
2010-09-29,155.0
2010-09-30,155.0
2010-10-03,153.0
2010-10-04,157.0
2010-10-05,155.0
2010-10-06,155.0
2010-10-07,159.0
2010-10-10,162.0
2010-10-11,165.0
2010-10-20,168.0
2010-10-21,161.0
2010-10-24,161.0
2010-10-25,164.0
2010-10-26,162.0
2010-10-27,165.0
2010-10-28,173.0
2010-10-31,170.0
2010-11-01,166.0
2010-11-02,162.0
2010-11-03,165.0
2010-11-04,162.0
2010-11-09,163.0
2010-11-10,166.0
2010-11-11,165.0
2010-11-14,165.0
2010-11-16,163.0
2010-11-18,160.0
2010-11-21,163.0
2010-11-22,156.0
2010-11-23,158.0
2010-11-24,157.0
2010-11-25,154.0
2010-11-28,152.0
2010-11-29,156.0
2010-11-30,156.0
2010-12-01,153.0
2010-12-02,153.0
2010-12-05,153.0
2010-12-06,154.0
2010-12-08,157.0
2010-12-09,155.0
2010-12-12,153.0
2010-12-13,150.0
2010-12-14,153.0
2010-12-15,153.0
2010-12-16,150.0
2010-12-19,147.0
2010-12-20,146.0
2010-12-22,147.0
2010-12-23,148.0
2010-12-26,150.0
2010-12-27,153.0
2010-12-28,156.0
2010-12-29,155.0
2011-01-02,149.0
2011-01-03,149.0
2011-01-04,147.0
2011-01-05,143.0
2011-01-06,141.0
2011-01-09,141.0
2011-01-10,139.0
2011-01-11,137.0
2011-01-12,135.0
2011-01-13,133.0
2011-01-16,129.0
2011-01-17,132.0
2011-01-18,134.0
2011-01-19,133.0
2011-01-20,133.0
2011-01-23,135.0
2011-01-24,139.0
2011-01-31,140.0
2011-02-01,140.0
2011-02-02,140.0
2011-02-03,143.0
2011-02-06,141.0
2011-02-07,142.0
2011-02-08,140.0
2011-02-09,140.0
2011-02-10,141.0
2011-02-13,141.0
2011-02-14,141.0
2011-02-15,141.0
2011-02-16,141.0
2011-02-17,141.0
2011-02-20,138.0
2011-02-21,138.0
2011-02-22,140.0
2011-02-23,140.0
2011-02-24,140.0
2011-02-27,142.0
2011-02-28,143.0
2011-03-01,141.0
2011-03-03,136.0
2011-03-07,134.0
2011-03-09,137.0
2011-03-10,145.0
2011-03-13,146.0
2011-03-14,138.0
