Date,Open
2009-11-03,328.0
2009-11-04,572.0
2009-11-05,620.0
2009-11-08,620.0
2009-11-09,664.0
2009-11-10,660.0
2009-11-11,653.0
2009-11-12,643.0
2009-11-15,639.0
2009-11-16,637.0
2009-11-17,640.0
2009-11-18,630.0
2009-11-19,623.0
2009-11-22,635.0
2009-11-23,637.0
2009-11-24,628.0
2009-11-25,620.0
2009-11-26,608.0
2009-11-30,600.0
2009-12-01,589.0
2009-12-03,553.0
2009-12-06,510.0
2009-12-07,536.0
2009-12-08,575.0
2009-12-09,599.0
2009-12-10,612.0
2009-12-13,656.0
2009-12-14,640.0
2009-12-15,642.0
2009-12-16,613.0
2009-12-17,620.0
2009-12-20,611.0
2009-12-21,609.0
2009-12-22,620.0
2009-12-23,636.0
2009-12-24,625.0
2009-12-28,560.0
2009-12-29,571.0
2009-12-31,583.0
2010-01-03,600.0
2010-01-04,600.0
2010-01-05,590.0
2010-01-06,590.0
2010-01-07,579.0
2010-01-10,581.0
2010-01-11,580.0
2010-01-12,576.0
2010-01-13,591.0
2010-01-14,580.0
2010-01-17,567.0
2010-01-18,566.0
2010-01-19,570.0
2010-01-20,565.0
2010-01-21,568.0
2010-01-24,565.0
2010-01-25,558.0
2010-01-26,561.0
2010-01-27,572.0
2010-01-28,571.0
2010-01-31,550.0
2010-02-01,560.0
2010-02-02,571.0
2010-02-03,565.0
2010-02-04,566.0
2010-02-07,566.0
2010-02-08,546.0
2010-02-09,534.0
2010-02-10,482.0
2010-02-11,502.0
2010-02-15,512.0
2010-02-16,515.0
2010-02-17,515.0
2010-02-18,507.0
2010-03-01,505.0
2010-03-02,516.0
2010-03-03,530.0
2010-03-04,545.0
2010-03-07,520.0
2010-03-09,491.0
2010-03-10,500.0
2010-03-11,481.0
2010-03-14,481.0
2010-03-16,466.0
2010-03-17,460.0
2010-03-18,485.0
2010-03-22,475.0
2010-03-23,465.0
2010-03-25,455.0
2010-03-28,455.0
2010-03-29,452.0
2010-03-30,440.0
2010-03-31,415.0
2010-04-01,405.0
2010-04-04,414.0
2010-04-05,450.0
2010-04-06,433.0
2010-04-07,411.0
2010-04-08,407.0
2010-04-11,431.0
2010-04-12,428.0
2010-04-13,427.0
2010-04-15,422.0
2010-04-18,418.0
2010-04-19,405.0
2010-04-20,400.0
2010-04-21,393.0
2010-04-22,375.0
2010-04-25,365.0
2010-04-26,357.0
2010-04-27,350.0
2010-04-28,340.0
2010-04-29,345.0
2010-05-09,379.0
2010-05-10,374.0
2010-05-11,375.0
2010-05-12,399.0
2010-05-13,420.0
2010-05-16,435.0
2010-05-17,390.0
2010-05-18,415.0
2010-05-19,423.0
2010-05-20,440.0
2010-05-23,436.0
2010-05-24,450.0
2010-05-25,465.0
2010-05-26,508.0
2010-05-30,490.0
2010-05-31,539.0
2010-06-01,500.0
2010-06-02,494.0
2010-06-03,480.0
2010-06-06,490.0
2010-06-07,493.0
2010-06-08,503.0
2010-06-09,500.0
2010-06-10,500.0
2010-06-13,500.0
2010-06-14,491.0
2010-06-15,481.0
2010-06-16,478.0
2010-06-17,480.0
2010-06-20,483.0
2010-06-21,473.0
2010-06-22,482.0
2010-06-23,488.0
2010-06-24,480.0
2010-06-28,480.0
2010-06-29,480.0
2010-06-30,475.0
2010-07-01,473.0
2010-07-04,494.0
2010-07-05,492.0
2010-07-06,477.0
2010-07-07,471.0
2010-07-08,480.0
2010-07-11,478.0
