Date,Open
2010-01-31,142.0
2010-02-01,329.0
2010-02-02,297.0
2010-02-03,268.0
2010-02-04,242.0
2010-02-07,218.0
2010-02-08,210.0
2010-02-09,210.0
2010-02-10,210.0
2010-02-11,205.0
2010-02-15,209.0
2010-02-16,207.0
2010-02-17,204.0
2010-02-18,205.0
2010-03-01,205.0
2010-03-02,213.0
2010-03-03,220.0
2010-03-04,215.0
2010-03-07,206.0
2010-03-09,200.0
2010-03-10,205.0
2010-03-11,200.0
2010-03-14,200.0
2010-03-16,200.0
2010-03-17,189.0
2010-03-18,186.0
2010-03-22,183.0
2010-03-23,178.0
2010-03-25,181.0
2010-03-28,177.0
2010-03-29,172.0
2010-03-30,170.0
2010-03-31,153.0
2010-04-01,149.0
2010-04-04,159.0
2010-04-05,174.0
2010-04-06,170.0
2010-04-07,165.0
2010-04-08,160.0
2010-04-11,165.0
2010-04-12,157.0
2010-04-13,160.0
2010-04-15,163.0
2010-04-18,160.0
2010-04-19,160.0
2010-04-20,158.0
2010-04-21,156.0
2010-04-22,142.0
2010-04-25,132.0
2010-04-26,132.0
2010-04-27,130.0
2010-04-28,132.0
2010-04-29,127.0
2010-05-09,132.0
2010-05-10,131.0
2010-05-11,136.0
2010-05-12,136.0
2010-05-13,140.0
2010-05-16,142.0
2010-05-17,140.0
2010-05-18,142.0
2010-05-19,144.0
2010-05-20,148.0
2010-05-23,153.0
2010-05-24,152.0
2010-05-25,149.0
2010-05-26,154.0
2010-05-31,163.0
2010-06-01,172.0
2010-06-02,169.0
2010-06-03,160.0
2010-06-06,160.0
2010-06-07,159.0
2010-06-08,154.0
2010-06-09,154.0
2010-06-10,153.0
2010-06-13,151.0
2010-06-14,151.0
2010-06-15,154.0
2010-06-16,147.0
2010-06-17,146.0
2010-06-20,140.0
2010-06-21,138.0
2010-06-22,138.0
2010-06-23,137.0
2010-06-24,144.0
2010-06-28,147.0
2010-06-29,147.0
2010-06-30,146.0
2010-07-01,144.0
2010-07-04,148.0
2010-07-05,148.0
2010-07-06,155.0
2010-07-07,159.0
2010-07-08,153.0
2010-07-11,147.0
2010-07-12,146.0
2010-07-13,148.0
2010-07-14,150.0
2010-07-18,146.0
2010-07-19,147.0
2010-07-20,142.0
2010-07-21,140.0
2010-07-22,138.0
2010-07-25,141.0
2010-07-26,140.0
2010-07-27,141.0
2010-07-28,139.0
2010-07-29,140.0
2010-08-01,137.0
2010-08-02,135.0
2010-08-03,136.0
2010-08-04,138.0
2010-08-05,140.0
2010-08-08,136.0
2010-08-09,136.0
2010-08-10,136.0
2010-08-11,135.0
2010-08-12,138.0
2010-08-15,136.0
2010-08-16,134.0
2010-08-17,135.0
2010-08-18,137.0
2010-08-22,139.0
2010-08-26,139.0
