Date,Open
2007-04-11,220.0
2007-04-18,221.0
2007-04-25,221.0
2007-04-26,221.0
2007-04-30,221.0
2007-05-03,221.0
2007-05-06,221.0
2007-05-16,222.0
2007-05-22,222.0
2007-05-28,225.0
2007-05-29,236.0
2007-06-12,247.0
2007-06-17,240.0
2007-06-26,250.0
2007-07-01,260.0
2007-07-12,260.0
2007-07-29,260.0
2007-08-13,260.0
2007-09-05,260.0
2007-09-06,265.0
2007-09-24,265.0
2007-09-26,270.0
2007-09-27,270.0
2007-09-30,275.0
2007-10-14,280.0
2007-11-08,285.0
2007-11-20,285.0
2007-12-09,290.0
2008-01-09,295.0
2008-01-13,50.0
2008-02-21,306.0
2008-03-11,312.0
2008-03-24,318.0
2008-05-22,315.0
2008-06-02,300.0
2008-06-11,300.0
2009-03-16,300.0
2009-03-23,300.0
2009-03-30,300.0
2009-03-31,300.0
2009-04-01,295.0
2009-04-02,290.0
2009-04-05,285.0
2009-04-06,285.0
2009-04-12,290.0
2009-04-13,285.0
2009-05-10,280.0
2009-06-07,280.0
2009-06-09,270.0
2009-06-15,272.0
2009-06-16,252.0
2009-06-18,255.0
2009-06-21,230.0
2009-06-22,208.0
2009-06-23,200.0
2009-06-24,197.0
2009-06-25,195.0
2009-06-30,195.0
2009-07-01,192.0
2009-07-02,192.0
2009-07-28,190.0
2009-08-03,190.0
2009-08-09,184.0
2009-08-11,187.0
2009-08-17,184.0
2009-08-25,184.0
2009-09-06,181.0
2009-09-07,180.0
2009-09-08,177.0
2009-09-10,174.0
2009-11-11,174.0
2009-12-09,170.0
2010-01-11,173.0
2010-01-19,173.0
2010-01-21,173.0
2010-01-24,173.0
2010-01-26,173.0
2010-02-04,173.0
2010-04-01,176.0
2010-04-26,173.0
2010-05-11,158.0
2010-05-12,155.0
2010-05-18,158.0
2010-05-26,155.0
2010-06-03,158.0
2010-06-15,161.0
2010-07-05,164.0
2010-08-08,161.0
2010-08-15,164.0
2010-08-29,167.0
2010-09-02,164.0
2011-01-09,161.0
2011-02-08,158.0
2011-02-10,160.0
2011-02-16,163.0
2011-02-17,163.0
2011-03-10,163.0
2011-04-10,160.0
2011-04-11,157.0
2011-04-18,154.0
2011-05-12,157.0
2011-07-28,154.0
2011-08-11,147.0
2011-08-15,141.0
2011-08-16,137.0
2011-08-17,135.0
2011-08-24,133.0
2011-09-08,131.0
2011-09-15,131.0
2011-09-18,129.0
2011-09-21,127.0
2011-10-02,127.0
2011-10-12,129.0
2011-11-14,127.0
2011-11-15,127.0
2011-12-01,127.0
2011-12-04,127.0
2011-12-05,125.0
2012-01-04,135.0
2012-02-07,133.0
2012-03-01,131.0
2012-03-04,129.0
2012-03-29,127.0
2012-04-01,129.0
2012-04-03,137.0
2012-06-10,139.0
2012-06-14,140.0
2012-08-21,138.0
2012-08-22,138.0
2012-08-23,137.0
2012-08-26,139.0
2012-08-27,138.0
2012-08-28,138.0
2012-08-29,144.0
2012-08-30,144.0
2012-09-02,144.0
2012-09-03,142.0
2012-09-04,143.0
2012-09-09,145.0
2012-09-10,142.0
2012-09-11,146.0
2012-09-12,144.0
2012-09-13,143.0
2012-09-25,143.0
2012-09-27,145.0
2012-10-01,145.0
2012-10-02,147.0
2012-10-04,149.0
2012-10-11,149.0
2012-10-14,147.0
2012-10-15,149.0
2012-10-17,163.0
2012-11-05,163.0
2012-11-06,163.0
2012-11-07,170.0
2012-11-22,167.0
2012-11-26,170.0
2012-11-28,173.0
2012-12-06,170.0
2012-12-09,167.0
2012-12-13,167.0
2012-12-19,164.0
2013-02-24,164.0
2013-03-14,165.0
2013-03-18,163.0
2013-03-19,151.0
2013-03-20,144.0
2013-05-09,146.0
2013-05-13,146.0
2013-05-21,142.0
2013-05-28,140.0
2013-05-30,138.0
2013-06-02,140.0
2013-06-03,142.0
2013-06-04,144.0
2013-06-05,146.0
2013-07-03,147.0
2013-07-30,124.0
2013-08-04,126.0
2013-08-05,128.0
2013-08-11,130.0
2013-08-13,132.0
2013-08-15,134.0
2013-08-20,137.0
2013-08-25,141.0
2013-08-27,139.0
2013-08-29,151.0
2013-09-01,166.0
2013-09-02,181.0
2013-09-03,184.0
2013-09-04,199.0
2013-09-05,214.0
2013-09-08,196.0
2013-09-10,193.0
2013-09-11,190.0
2013-09-16,192.0
2013-09-17,198.0
2013-09-19,200.0
2013-09-22,194.0
2013-09-25,191.0
2013-09-26,188.0
2013-09-30,185.0
2013-10-01,182.0
2013-10-03,182.0
2013-10-07,177.0
2013-10-08,174.0
2013-10-10,171.0
2013-10-21,174.0
2013-10-22,171.0
2013-10-23,177.0
2013-10-24,175.0
2013-10-28,178.0
2013-10-29,175.0
2013-10-31,175.0
2013-11-14,176.0
2013-11-24,193.0
2013-11-25,199.0
2013-11-27,206.0
2013-11-28,226.0
2013-12-01,246.0
2014-05-04,246.0
2014-05-08,250.0
2014-05-20,255.0
2014-05-21,260.0
2014-05-25,265.0
2014-06-08,270.0
2014-06-11,275.0
2014-06-12,295.0
2014-06-15,300.0
2014-06-16,306.0
2014-06-17,324.0
2014-06-18,336.0
2014-06-19,342.0
2014-06-23,354.0
2014-06-24,382.0
2014-06-25,396.0
2014-06-26,419.0
2014-07-02,427.0
2014-07-03,469.0
2014-07-06,515.0
2014-07-07,535.0
2014-07-09,545.0
2014-07-10,588.0
2014-07-13,610.0
2014-07-14,671.0
2014-07-15,738.0
2014-07-16,811.0
2014-07-17,892.0
2014-07-20,981.0
2014-07-21,1030.0
2014-07-22,994.0
2014-07-23,950.0
2014-07-24,969.0
2014-07-27,958.0
2014-07-28,900.0
2014-07-30,889.0
2014-07-31,833.0
2014-08-03,861.0
2014-08-04,845.0
2014-08-05,840.0
2014-08-06,860.0
2014-08-07,829.0
2014-08-12,826.0
2014-08-13,821.0
2014-08-14,826.0
2014-08-18,845.0
2014-08-19,867.0
2014-08-20,885.0
2014-08-21,875.0
2014-08-26,860.0
2014-08-27,827.0
2014-08-28,790.0
2014-08-31,785.0
2014-09-01,750.0
2014-09-03,736.0
2014-09-04,725.0
2014-09-07,720.0
2014-09-09,710.0
2014-09-10,700.0
2014-09-11,700.0
2014-09-14,686.0
2014-09-15,670.0
2014-09-16,683.0
2014-09-17,670.0
2014-09-22,690.0
2014-09-23,717.0
2014-09-24,727.0
2014-09-28,756.0
2014-09-29,780.0
2014-10-08,775.0
2014-10-09,760.0
2014-10-14,775.0
2014-10-15,770.0
2014-10-16,780.0
2014-10-19,826.0
2014-10-20,878.0
2014-10-21,848.0
2014-10-26,870.0
2014-10-27,865.0
2014-10-30,882.0
2014-11-03,865.0
2014-11-04,850.0
2014-11-05,826.0
2014-11-06,810.0
2014-11-09,842.0
2014-11-10,826.0
2014-11-11,813.0
2014-11-12,795.0
2014-11-13,781.0
2014-11-16,780.0
2014-11-17,780.0
2014-11-18,770.0
2014-11-19,785.0
2014-11-23,785.0
2014-11-24,800.0
2014-11-30,822.0
2014-12-01,800.0
2014-12-02,800.0
2014-12-03,809.0
2014-12-04,815.0
2014-12-07,820.0
