Date,Open
2007-04-17,205.0
2007-07-29,205.0
2007-08-13,198.0
2007-08-14,198.0
2007-11-19,198.0
2007-12-27,201.0
2008-06-30,200.0
2008-09-03,200.0
2008-09-04,204.0
2009-04-09,208.0
2009-05-10,204.0
2009-08-23,200.0
2009-09-06,204.0
2009-11-18,200.0
2009-11-23,200.0
2010-02-18,200.0
2010-06-08,196.0
2010-08-11,196.0
2012-02-07,193.0
2012-03-27,190.0
2012-08-23,190.0
2012-08-28,187.0
2012-08-30,184.0
2012-09-03,175.0
2012-09-06,172.0
2012-09-09,160.0
2012-09-18,158.0
2012-10-03,155.0
2012-10-08,152.0
2012-10-09,149.0
2012-10-10,151.0
2012-10-11,150.0
2012-10-14,150.0
2012-11-01,159.0
2012-11-06,174.0
2012-11-26,178.0
2013-01-01,175.0
2013-01-02,184.0
2013-01-03,168.0
2013-01-06,168.0
2013-01-07,162.0
2013-01-09,159.0
2013-01-10,160.0
2013-01-13,168.0
2013-01-15,170.0
2013-01-20,164.0
2013-01-21,168.0
2013-01-22,169.0
2013-01-23,169.0
2013-01-24,164.0
2013-01-31,160.0
2013-02-05,157.0
2013-02-07,160.0
2013-02-20,160.0
2013-02-24,166.0
2013-03-07,169.0
2013-03-13,172.0
2013-03-14,178.0
2013-03-17,187.0
2013-03-18,194.0
2013-03-19,179.0
2013-03-20,185.0
2013-03-21,182.0
2013-04-25,184.0
2013-05-21,150.0
2013-05-28,145.0
2013-06-03,147.0
2013-06-04,151.0
2013-06-05,154.0
2013-06-12,157.0
2013-06-13,163.0
2013-06-17,169.0
2013-07-01,172.0
2013-07-03,158.0
2013-07-23,160.0
2013-07-24,154.0
2013-07-25,157.0
2013-07-28,164.0
2013-07-29,170.0
2013-07-30,187.0
2013-07-31,188.0
2013-08-01,185.0
2013-08-04,180.0
2013-08-05,178.0
2013-08-06,172.0
2013-08-07,170.0
2013-08-08,176.0
2013-08-11,173.0
2013-08-12,170.0
2013-08-13,167.0
2013-08-14,181.0
2013-08-15,187.0
2013-08-18,184.0
2013-08-19,202.0
2013-08-20,217.0
2013-08-25,238.0
2013-08-26,261.0
2013-08-27,281.0
2013-08-29,273.0
2013-09-01,252.0
2013-09-02,270.0
2013-09-03,265.0
2013-09-10,260.0
2013-09-12,255.0
2013-09-22,260.0
2013-10-01,255.0
2013-10-02,248.0
2013-10-06,245.0
2013-10-07,241.0
