Date,Open
2013-10-27,0.0
2013-10-28,145.0
2013-10-29,156.0
2013-10-30,150.0
2013-10-31,151.0
2013-11-06,150.0
2013-11-07,147.0
2013-11-10,148.0
2013-11-11,158.0
2013-11-12,173.0
2013-11-13,190.0
2013-11-14,200.0
2013-11-21,195.0
2013-11-24,201.0
2013-11-25,216.0
2013-11-26,219.0
2013-11-27,202.0
2013-11-28,210.0
2013-12-01,202.0
2013-12-02,193.0
2013-12-03,201.0
2013-12-04,221.0
2013-12-05,243.0
2013-12-08,260.0
2013-12-09,234.0
2013-12-10,230.0
2013-12-11,223.0
2013-12-12,245.0
2013-12-15,242.0
2013-12-16,255.0
2013-12-18,260.0
2013-12-19,265.0
2013-12-22,285.0
2013-12-23,261.0
2013-12-24,246.0
2013-12-26,225.0
2013-12-29,233.0
2013-12-31,235.0
2014-01-01,249.0
2014-01-02,241.0
2014-01-05,240.0
2014-01-06,255.0
2014-01-07,264.0
2014-01-08,260.0
2014-01-09,255.0
2014-01-12,257.0
2014-01-13,247.0
2014-01-14,255.0
2014-01-16,256.0
2014-01-19,250.0
2014-01-20,255.0
2014-01-21,265.0
2014-01-22,260.0
2014-01-23,246.0
2014-01-26,250.0
2014-01-27,255.0
2014-01-28,247.0
2014-01-29,255.0
2014-02-02,256.0
2014-02-03,250.0
2014-02-04,245.0
2014-02-05,248.0
2014-02-06,248.0
2014-02-09,258.0
2014-02-10,269.0
2014-02-11,268.0
2014-02-12,265.0
2014-02-13,273.0
2014-02-16,275.0
2014-02-17,270.0
2014-02-18,255.0
2014-02-20,255.0
2014-02-23,260.0
2014-02-24,266.0
2014-02-25,269.0
2014-02-26,266.0
2014-03-03,261.0
2014-03-04,251.0
2014-03-05,242.0
2014-03-06,247.0
2014-03-09,266.0
2014-03-10,262.0
2014-03-11,255.0
2014-03-12,250.0
2014-03-13,240.0
2014-03-18,248.0
2014-03-20,240.0
2014-03-23,239.0
2014-03-24,236.0
2014-03-25,240.0
2014-03-26,245.0
2014-03-27,248.0
2014-03-31,246.0
2014-04-01,247.0
2014-04-02,248.0
2014-04-03,247.0
