Date,Open
2011-04-21,0.0
2011-07-07,316.0
2011-07-10,301.0
2011-07-11,295.0
2011-07-12,281.0
2011-07-14,267.0
2011-08-03,254.0
2011-09-29,249.0
2011-10-31,225.0
2011-11-06,210.0
2011-11-08,210.0
2011-11-10,210.0
2011-11-13,202.0
2011-11-14,202.0
2011-11-16,192.0
2011-11-21,183.0
2011-11-24,168.0
2011-12-11,162.0
2011-12-12,146.0
2011-12-13,138.0
2011-12-14,125.0
2011-12-15,113.0
2011-12-18,102.0
2011-12-19,92.0
2011-12-20,83.0
2011-12-21,80.0
2011-12-22,80.0
2011-12-26,76.0
2011-12-27,75.0
2011-12-28,75.0
2011-12-29,73.0
2012-01-01,67.0
2012-01-02,63.0
2012-01-03,64.0
2012-01-04,64.0
2012-01-05,63.0
2012-01-08,64.0
2012-01-09,70.0
2012-01-10,73.0
2012-01-11,74.0
2012-01-12,75.0
2012-01-16,76.0
2012-01-17,75.0
2012-01-18,75.0
2012-01-22,77.0
2012-01-23,75.0
2012-01-25,76.0
2012-01-26,76.0
2012-01-29,73.0
2012-01-31,73.0
2012-02-01,70.0
2012-02-02,72.0
2012-02-05,74.0
2012-02-06,74.0
2012-02-07,75.0
2012-02-08,76.0
2012-02-09,74.0
2012-02-12,73.0
2012-02-13,73.0
2012-02-14,72.0
2012-02-15,71.0
2012-02-16,71.0
2012-02-21,71.0
2012-02-23,71.0
2012-02-26,72.0
2012-02-27,69.0
2012-02-29,68.0
2012-03-04,73.0
2012-03-05,74.0
2012-03-06,75.0
2012-03-12,71.0
2012-03-13,69.0
2012-03-14,69.0
2012-03-18,73.0
2012-03-19,71.0
2012-03-20,68.0
2012-03-25,68.0
2012-03-26,69.0
2012-03-27,71.0
2012-03-28,69.0
2012-03-29,70.0
2012-04-01,70.0
2012-04-02,72.0
2012-04-03,69.0
2012-04-04,70.0
2012-04-05,70.0
2012-04-08,71.0
2012-04-09,71.0
2012-04-10,72.0
2012-04-15,72.0
2012-04-16,75.0
2012-04-17,76.0
2012-04-18,77.0
2012-04-22,78.0
2012-04-24,77.0
2012-04-25,79.0
2012-04-26,80.0
2012-04-29,85.0
2012-04-30,86.0
2012-05-09,84.0
2012-05-13,88.0
2012-05-14,93.0
2012-05-15,90.0
2012-05-17,88.0
2012-05-21,87.0
2012-05-22,85.0
2012-05-23,88.0
2012-05-24,87.0
2012-05-29,89.0
2012-06-04,88.0
2012-06-10,87.0
2012-06-11,87.0
2012-06-12,87.0
2012-06-13,86.0
2012-06-19,87.0
2012-06-20,87.0
2012-06-26,87.0
2012-07-03,85.0
2012-07-04,84.0
2012-07-05,84.0
2012-07-08,80.0
2012-07-10,80.0
2012-07-11,77.0
2012-07-12,77.0
2012-07-15,76.0
2012-07-16,75.0
2012-07-17,73.0
2012-07-18,71.0
2012-07-24,71.0
2012-07-25,70.0
2012-07-26,70.0
2012-07-29,69.0
2012-08-01,73.0
2012-08-05,72.0
2012-08-06,70.0
2012-08-07,72.0
2012-08-08,73.0
2012-08-12,74.0
2012-08-13,75.0
2012-08-14,73.0
2012-08-16,73.0
2012-08-19,72.0
2012-08-21,73.0
2012-08-22,75.0
2012-08-26,75.0
2012-08-27,71.0
2012-08-29,69.0
2012-09-02,67.0
2012-09-03,71.0
2012-09-05,69.0
2012-09-10,68.0
2012-09-11,65.0
2012-09-13,68.0
2012-09-16,71.0
2012-09-17,70.0
2012-09-19,70.0
2012-09-20,71.0
2012-09-23,70.0
2012-09-24,71.0
2012-09-25,72.0
2012-09-26,74.0
2012-09-27,73.0
2012-09-30,74.0
2012-10-03,73.0
2012-10-07,73.0
2012-10-09,74.0
2012-10-10,75.0
2012-10-11,75.0
