Date,Open
2013-10-23,135.0
2013-11-06,105.0
2013-12-02,103.0
2013-12-03,100.0
2013-12-04,110.0
2013-12-05,115.0
2013-12-08,120.0
2013-12-09,124.0
2013-12-10,126.0
2013-12-11,122.0
2013-12-12,121.0
2013-12-15,117.0
2013-12-16,117.0
2013-12-18,119.0
2013-12-19,121.0
2013-12-22,125.0
2013-12-31,123.0
2014-01-01,121.0
2014-01-02,117.0
2014-01-05,109.0
2014-01-06,107.0
2014-01-07,105.0
2014-01-08,105.0
2014-01-09,111.0
2014-01-12,108.0
2014-01-13,109.0
2014-01-14,111.0
2014-01-16,108.0
2014-01-19,108.0
2014-01-20,108.0
2014-01-21,108.0
2014-01-22,110.0
2014-01-23,115.0
2014-01-26,120.0
2014-01-27,128.0
2014-01-28,140.0
2014-01-29,132.0
2014-02-02,128.0
2014-02-03,128.0
2014-02-04,138.0
2014-02-05,125.0
2014-02-06,125.0
2014-02-09,135.0
2014-02-10,124.0
2014-02-11,128.0
2014-02-12,123.0
2014-02-13,122.0
2014-02-16,122.0
2014-02-17,120.0
2014-02-18,115.0
2014-02-20,117.0
2014-02-23,122.0
2014-02-24,122.0
2014-02-25,125.0
2014-03-03,128.0
2014-03-04,122.0
2014-03-05,117.0
2014-03-06,119.0
2014-03-09,118.0
2014-03-10,116.0
2014-03-11,118.0
2014-03-12,116.0
2014-03-13,114.0
2014-03-17,112.0
2014-03-18,115.0
2014-03-19,111.0
2014-03-20,115.0
2014-03-23,109.0
2014-03-24,112.0
2014-03-25,110.0
2014-03-26,110.0
2014-03-27,112.0
2014-03-31,112.0
2014-04-01,112.0
2014-04-02,116.0
2014-04-03,116.0
2014-04-06,114.0
2014-04-07,116.0
2014-04-09,116.0
2014-04-10,122.0
2014-04-13,126.0
2014-04-15,131.0
2014-04-16,131.0
2014-04-17,126.0
2014-04-20,120.0
2014-04-21,118.0
2014-04-22,118.0
2014-04-23,120.0
2014-04-27,120.0
2014-04-28,132.0
2014-04-29,145.0
2014-04-30,145.0
2014-05-04,143.0
2014-05-05,139.0
2014-05-06,135.0
2014-05-07,127.0
2014-05-08,130.0
2014-05-11,130.0
2014-05-12,129.0
2014-05-13,132.0
2014-05-15,129.0
2014-05-18,127.0
2014-05-19,129.0
2014-05-20,129.0
2014-05-21,141.0
2014-05-22,137.0
2014-05-25,137.0
2014-05-26,139.0
2014-05-27,137.0
2014-05-28,136.0
2014-06-01,132.0
2014-06-02,137.0
2014-06-03,139.0
2014-06-04,135.0
2014-06-05,127.0
2014-06-08,128.0
2014-06-09,129.0
2014-06-10,129.0
2014-06-11,130.0
2014-06-12,130.0
2014-06-15,138.0
2014-06-16,136.0
2014-06-17,142.0
2014-06-18,140.0
2014-06-19,140.0
2014-06-26,139.0
2014-06-29,137.0
2014-06-30,144.0
2014-07-01,147.0
2014-07-02,145.0
2014-07-03,149.0
2014-07-06,154.0
2014-07-07,150.0
2014-07-08,162.0
2014-07-09,175.0
2014-07-10,172.0
2014-07-13,170.0
2014-07-14,162.0
2014-07-15,174.0
2014-07-16,170.0
2014-07-17,186.0
2014-07-20,180.0
2014-07-21,183.0
2014-07-22,194.0
2014-07-23,190.0
2014-07-24,194.0
2014-07-27,194.0
2014-07-28,212.0
2014-07-30,210.0
2014-07-31,210.0
2014-08-03,217.0
2014-08-04,210.0
2014-08-05,200.0
2014-08-06,198.0
2014-08-07,217.0
2014-08-12,205.0
2014-08-13,201.0
2014-08-14,197.0
2014-08-18,191.0
2014-08-19,172.0
2014-08-20,170.0
2014-08-21,165.0
2014-08-24,181.0
2014-08-25,178.0
2014-08-26,175.0
2014-08-27,158.0
2014-08-28,169.0
2014-08-31,167.0
2014-09-01,164.0
2014-09-03,165.0
2014-09-04,165.0
2014-09-07,160.0
2014-09-09,154.0
2014-09-10,158.0
2014-09-11,158.0
2014-09-14,150.0
2014-09-15,143.0
2014-09-16,145.0
2014-09-17,146.0
2014-09-18,160.0
2014-09-21,161.0
2014-09-22,157.0
2014-09-23,153.0
2014-09-24,153.0
2014-09-28,150.0
2014-09-29,146.0
2014-09-30,147.0
2014-10-08,157.0
2014-10-09,151.0
2014-10-12,150.0
2014-10-13,147.0
2014-10-14,146.0
2014-10-15,145.0
2014-10-16,156.0
2014-10-19,153.0
2014-10-20,148.0
2014-10-21,155.0
2014-10-22,150.0
2014-10-26,147.0
2014-10-27,150.0
2014-10-28,147.0
2014-10-30,151.0
2014-11-02,153.0
2014-11-03,151.0
2014-11-04,145.0
2014-11-05,143.0
2014-11-06,147.0
2014-11-09,148.0
2014-11-10,157.0
2014-11-11,159.0
2014-11-12,154.0
2014-11-13,157.0
2014-11-16,156.0
2014-11-17,156.0
2014-11-18,150.0
2014-11-19,150.0
2014-11-20,150.0
2014-11-23,148.0
2014-11-25,150.0
2014-11-30,147.0
2014-12-01,151.0
2014-12-02,149.0
2014-12-03,149.0
2014-12-04,149.0
2014-12-07,163.0
2014-12-08,157.0
2014-12-09,156.0
2014-12-11,161.0
2014-12-16,162.0
2014-12-17,160.0
2014-12-23,147.0
2014-12-24,145.0
2014-12-28,143.0
2014-12-29,141.0
2014-12-31,141.0
2015-01-01,141.0
2015-01-04,144.0
2015-01-06,142.0
2015-01-08,141.0
2015-01-11,139.0
2015-01-12,139.0
2015-01-13,140.0
2015-01-14,140.0
2015-01-18,138.0
2015-01-20,140.0
2015-01-22,142.0
2015-01-26,146.0
2015-01-27,160.0
2015-01-28,168.0
2015-01-29,171.0
2015-02-01,171.0
2015-02-02,171.0
2015-02-03,177.0
2015-02-04,165.0
2015-02-05,169.0
2015-02-08,170.0
2015-02-09,167.0
2015-02-10,170.0
2015-02-11,167.0
2015-02-12,164.0
2015-02-15,180.0
2015-02-16,190.0
2015-02-18,193.0
2015-02-23,193.0
2015-02-24,181.0
2015-02-25,171.0
2015-02-26,178.0
