Date,Open
2011-05-08,0.0
2011-05-11,138.0
2011-05-12,136.0
2011-05-19,136.0
2011-05-22,135.0
2011-05-23,135.0
2011-06-02,135.0
2011-09-06,135.0
2011-10-19,133.0
2012-01-16,131.0
2012-01-22,129.0
2012-01-31,129.0
2012-03-01,127.0
2012-03-04,129.0
2012-03-05,133.0
2012-03-06,137.0
2012-03-12,143.0
2012-03-18,145.0
2012-03-27,143.0
2012-03-28,139.0
2012-04-01,139.0
2012-04-08,135.0
2012-04-12,131.0
2012-05-20,127.0
2012-05-29,129.0
2012-05-30,125.0
2012-06-17,125.0
2014-04-21,125.0
2014-04-22,125.0
2014-04-23,123.0
2014-05-28,121.0
2014-06-01,117.0
2014-06-03,115.0
2014-06-05,113.0
2014-06-18,111.0
2014-07-06,113.0
2014-07-15,111.0
2014-07-16,109.0
2014-07-17,110.0
2014-07-30,115.0
2014-08-03,112.0
2014-08-04,116.0
2014-08-14,116.0
2014-08-18,126.0
2014-08-19,136.0
2014-08-21,140.0
2014-08-28,144.0
2014-09-21,146.0
2014-09-22,147.0
2014-11-20,145.0
2014-11-23,145.0
2015-01-01,146.0
2015-01-18,144.0
2015-01-19,142.0
2015-01-20,156.0
2015-01-26,157.0
2015-01-28,172.0
2015-02-04,172.0
2015-02-10,175.0
2015-02-11,172.0
2015-02-18,176.0
2015-02-22,179.0
2015-02-23,176.0
2015-02-24,179.0
