Date,Open
2015-01-04,207.0
2015-01-05,227.0
2015-01-06,249.0
2015-01-07,273.0
2015-01-08,271.0
2015-01-11,271.0
2015-01-12,265.0
2015-01-13,267.0
2015-01-14,265.0
2015-01-18,269.0
2015-01-19,294.0
2015-01-20,303.0
2015-01-22,299.0
2015-01-25,297.0
2015-01-26,300.0
2015-01-27,304.0
2015-01-28,302.0
2015-01-29,307.0
2015-02-01,304.0
2015-02-02,326.0
2015-02-03,317.0
2015-02-04,315.0
2015-02-05,313.0
2015-02-08,314.0
2015-02-09,313.0
2015-02-10,313.0
2015-02-11,312.0
2015-02-12,311.0
2015-02-15,311.0
2015-02-16,315.0
2015-02-18,323.0
2015-02-22,335.0
2015-02-23,330.0
2015-02-24,330.0
2015-02-25,332.0
2015-02-26,335.0
2015-03-01,349.0
2015-03-02,350.0
2015-03-03,349.0
2015-03-04,343.0
2015-03-09,341.0
2015-03-10,347.0
2015-03-11,340.0
2015-03-12,342.0
2015-03-15,342.0
2015-03-16,340.0
2015-03-17,334.0
2015-03-18,340.0
2015-03-19,336.0
2015-03-22,339.0
2015-03-23,332.0
2015-03-24,330.0
2015-03-25,328.0
2015-03-26,329.0
