Date,Open
2011-11-10,90.0
2011-11-21,318.0
2011-11-22,289.0
2011-11-28,264.0
2012-01-09,254.0
2012-02-26,249.0
2012-03-13,237.0
2012-03-14,214.0
2012-03-15,196.0
2012-04-03,190.0
2012-04-19,190.0
2012-04-29,187.0
2012-06-04,178.0
2012-06-10,170.0
2012-06-11,170.0
2012-06-12,162.0
2012-06-17,154.0
2012-06-21,147.0
2012-06-28,140.0
2012-07-03,128.0
2012-07-04,118.0
2012-07-05,107.0
2012-07-08,102.0
2012-07-11,102.0
2012-07-12,102.0
2012-07-15,102.0
2012-07-16,102.0
2012-07-17,102.0
2012-07-24,96.0
2012-07-26,92.0
2012-07-29,84.0
2012-07-30,80.0
2012-07-31,78.0
2012-08-01,74.0
2012-08-05,73.0
2012-08-06,74.0
2012-08-07,75.0
2012-08-08,74.0
2012-08-12,71.0
2012-08-13,71.0
2012-08-14,70.0
2012-08-15,69.0
2012-08-16,70.0
2012-08-19,69.0
2012-08-21,71.0
2012-08-22,70.0
2012-08-23,70.0
2012-08-26,68.0
2012-08-27,72.0
2012-08-28,70.0
2012-08-29,69.0
2012-08-30,70.0
2012-09-02,71.0
2012-09-03,78.0
2012-09-04,83.0
2012-09-05,78.0
2012-09-09,76.0
2012-09-10,74.0
2012-09-11,74.0
2012-09-12,73.0
2012-09-13,73.0
2012-09-16,74.0
2012-09-17,75.0
2012-09-18,76.0
2012-09-19,76.0
2012-09-20,75.0
2012-09-23,81.0
2012-09-24,81.0
2012-09-25,78.0
2012-09-26,77.0
2012-09-27,77.0
2012-09-30,77.0
2012-10-01,78.0
2012-10-02,79.0
2012-10-03,79.0
2012-10-04,80.0
2012-10-08,80.0
2012-10-10,80.0
2012-10-11,79.0
2012-10-14,76.0
2012-10-15,75.0
2012-10-17,74.0
2012-10-18,77.0
2012-10-30,78.0
2012-11-01,80.0
2012-11-05,79.0
2012-11-06,80.0
2012-11-07,79.0
2012-11-08,79.0
2012-11-11,81.0
2012-11-12,82.0
2012-11-20,82.0
2012-11-21,81.0
2012-11-22,82.0
2012-11-25,87.0
2012-11-26,86.0
2012-11-27,85.0
2012-11-28,86.0
2012-11-29,84.0
2012-12-02,83.0
2012-12-03,83.0
2012-12-04,84.0
2012-12-05,83.0
2012-12-06,83.0
2012-12-09,81.0
2012-12-10,82.0
2012-12-13,82.0
2012-12-16,79.0
2012-12-17,79.0
2012-12-18,80.0
2012-12-19,82.0
2012-12-20,82.0
2013-01-03,82.0
2013-01-10,80.0
2013-01-16,79.0
2013-01-17,83.0
2013-01-20,88.0
2013-01-21,87.0
2013-01-22,87.0
2013-01-23,90.0
2013-01-27,91.0
2013-01-31,95.0
2013-02-05,94.0
2013-02-24,90.0
2013-02-26,90.0
2013-02-27,94.0
2013-03-03,90.0
2013-03-04,90.0
2013-03-06,93.0
2013-03-17,92.0
2013-03-20,91.0
2013-04-01,90.0
2013-04-02,85.0
2013-04-03,78.0
2013-04-04,72.0
2013-04-07,70.0
2013-04-08,69.0
2013-04-09,69.0
2013-04-11,68.0
2013-04-15,67.0
2013-04-16,65.0
2013-04-17,65.0
2013-04-18,70.0
2013-04-21,69.0
2013-04-22,70.0
2013-04-23,66.0
2013-04-25,69.0
2013-04-28,67.0
2013-04-29,70.0
2013-04-30,69.0
2013-05-02,69.0
2013-05-05,67.0
2013-05-08,66.0
2013-05-09,67.0
2013-05-12,67.0
2013-05-13,65.0
2013-05-20,66.0
2013-05-21,65.0
2013-05-23,63.0
2013-05-26,65.0
2013-05-27,67.0
2013-05-28,69.0
2013-05-30,71.0
2013-06-02,70.0
2013-06-03,70.0
2013-06-04,73.0
2013-06-05,73.0
2013-06-06,76.0
2013-06-09,75.0
2013-06-10,73.0
2013-06-12,74.0
2013-06-13,73.0
2013-06-16,72.0
2013-06-17,73.0
2013-06-18,73.0
2013-06-19,73.0
2013-06-20,73.0
2013-06-23,72.0
2013-06-24,72.0
2013-06-25,72.0
2013-06-26,72.0
2013-06-27,72.0
2013-06-30,73.0
2013-07-01,73.0
2013-07-02,72.0
2013-07-03,72.0
2013-07-07,71.0
2013-07-08,72.0
2013-07-10,74.0
2013-07-11,74.0
2013-07-18,75.0
2013-07-21,76.0
2013-07-23,77.0
2013-07-24,75.0
2013-07-25,76.0
2013-07-28,82.0
2013-07-29,86.0
2013-07-30,90.0
2013-07-31,92.0
2013-08-01,93.0
2013-08-04,92.0
2013-08-05,97.0
2013-08-11,96.0
2013-08-14,95.0
2013-08-15,94.0
2013-08-18,88.0
2013-08-19,86.0
2013-08-25,89.0
2013-08-26,95.0
2013-08-27,98.0
2013-08-29,97.0
2013-09-01,99.0
2013-09-02,98.0
2013-09-03,99.0
2013-09-04,98.0
2013-09-05,99.0
2013-09-09,100.0
2013-09-10,98.0
2013-09-11,102.0
2013-09-12,100.0
2013-09-15,98.0
2013-09-16,105.0
2013-09-17,102.0
2013-09-19,101.0
2013-09-22,102.0
2013-09-23,103.0
2013-09-24,107.0
2013-09-25,102.0
2013-09-26,100.0
2013-09-29,102.0
2013-09-30,101.0
2013-10-01,100.0
2013-10-02,102.0
2013-10-03,101.0
2013-10-06,100.0
2013-10-07,102.0
2013-10-09,104.0
2013-10-10,102.0
2013-10-20,103.0
2013-10-21,103.0
2013-10-22,104.0
2013-10-23,104.0
2013-10-24,105.0
2013-10-27,108.0
2013-10-28,106.0
2013-10-29,105.0
2013-10-30,101.0
2013-10-31,104.0
2013-11-06,114.0
2013-11-07,111.0
2013-11-10,107.0
2013-11-13,115.0
2013-11-14,103.0
2013-11-24,105.0
2013-11-26,105.0
2013-11-27,105.0
2013-11-28,104.0
2013-12-01,109.0
2013-12-02,113.0
2013-12-04,116.0
2013-12-05,127.0
2013-12-08,129.0
2013-12-11,129.0
2013-12-12,131.0
2013-12-15,133.0
2013-12-26,131.0
2014-01-02,129.0
2014-01-19,127.0
2014-01-20,125.0
2014-01-21,131.0
2014-01-22,130.0
2014-01-23,130.0
2014-01-26,142.0
2014-01-27,153.0
2014-01-28,156.0
2014-01-29,153.0
2014-02-02,150.0
2014-02-03,150.0
2014-02-04,151.0
2014-02-05,154.0
2014-02-06,157.0
2014-02-09,162.0
2014-02-10,178.0
2014-02-11,182.0
2014-02-12,200.0
2014-02-13,202.0
2014-02-16,222.0
2014-02-17,231.0
2014-02-18,227.0
2014-02-20,231.0
2014-02-23,224.0
2014-02-24,230.0
2014-02-26,235.0
2014-03-03,231.0
2014-03-04,226.0
2014-03-05,218.0
2014-03-06,212.0
2014-03-09,216.0
2014-03-10,212.0
2014-03-11,213.0
2014-03-12,215.0
2014-03-13,212.0
2014-03-19,214.0
2014-03-20,210.0
2014-03-23,210.0
2014-03-24,209.0
2014-03-25,210.0
2014-03-26,210.0
2014-03-31,214.0
2014-04-01,210.0
2014-04-02,218.0
2014-04-06,222.0
2014-04-07,226.0
2014-04-09,228.0
2014-04-13,234.0
2014-04-16,230.0
2014-04-17,232.0
2014-04-20,240.0
2014-04-21,244.0
2014-04-22,247.0
2014-04-23,231.0
2014-04-27,230.0
2014-04-29,237.0
2014-04-30,235.0
2014-05-04,243.0
2014-05-05,247.0
2014-05-06,251.0
2014-05-07,270.0
2014-05-08,285.0
2014-05-11,282.0
2014-05-12,310.0
2014-05-13,297.0
2014-05-15,295.0
2014-05-18,300.0
2014-05-19,306.0
2014-05-20,289.0
2014-05-21,285.0
2014-05-22,290.0
2014-05-25,290.0
2014-05-27,285.0
2014-05-28,290.0
2014-06-01,295.0
2014-06-02,318.0
2014-06-03,313.0
2014-06-04,318.0
2014-06-05,344.0
2014-06-08,338.0
2014-06-09,333.0
2014-06-10,327.0
2014-06-12,315.0
2014-06-15,303.0
2014-06-17,309.0
2014-06-18,297.0
2014-06-19,294.0
2014-06-24,294.0
2014-06-25,301.0
2014-06-26,307.0
2014-06-29,310.0
2014-06-30,298.0
2014-07-02,295.0
2014-07-06,307.0
2014-07-07,314.0
2014-07-08,314.0
2014-07-09,314.0
2014-07-10,320.0
2014-07-13,326.0
2014-07-15,332.0
2014-07-16,326.0
2014-07-17,321.0
2014-07-20,353.0
2014-07-21,381.0
2014-07-22,394.0
2014-07-23,423.0
2014-07-24,412.0
2014-07-27,426.0
2014-07-28,444.0
2014-07-30,446.0
2014-07-31,436.0
2014-08-03,422.0
2014-08-04,406.0
2014-08-05,397.0
2014-08-06,408.0
2014-08-07,382.0
2014-08-12,385.0
2014-08-13,390.0
2014-08-14,420.0
2014-08-18,413.0
2014-08-19,405.0
2014-08-20,372.0
2014-08-21,369.0
2014-08-24,363.0
2014-08-25,367.0
2014-08-26,360.0
2014-08-27,332.0
2014-08-28,358.0
2014-08-31,382.0
2014-09-01,370.0
2014-09-03,377.0
2014-09-04,345.0
2014-09-07,339.0
2014-09-09,333.0
2014-09-10,334.0
2014-09-11,324.0
2014-09-14,303.0
2014-09-15,301.0
2014-09-16,331.0
2014-09-17,364.0
2014-09-21,389.0
2014-09-22,355.0
2014-09-23,350.0
2014-09-24,358.0
2014-09-28,360.0
2014-09-29,347.0
2014-09-30,353.0
2014-10-08,358.0
2014-10-09,361.0
2014-10-12,369.0
2014-10-13,352.0
2014-10-14,346.0
2014-10-15,355.0
2014-10-16,364.0
2014-10-19,368.0
2014-10-20,358.0
2014-10-21,365.0
2014-10-22,368.0
2014-10-26,379.0
2014-10-27,375.0
2014-10-28,366.0
2014-10-30,366.0
2014-11-02,370.0
2014-11-03,370.0
2014-11-04,365.0
2014-11-05,360.0
2014-11-06,362.0
2014-11-09,361.0
2014-11-10,361.0
2014-11-11,365.0
2014-11-12,372.0
2014-11-13,375.0
2014-11-16,369.0
2014-11-17,355.0
2014-11-18,340.0
2014-11-19,346.0
2014-11-20,366.0
2014-11-23,382.0
2014-11-24,370.0
2014-11-25,362.0
2014-12-01,287.0
2014-12-03,292.0
2014-12-08,297.0
2014-12-11,300.0
2014-12-15,300.0
2014-12-16,306.0
2014-12-17,300.0
2014-12-23,306.0
2014-12-24,301.0
2014-12-29,303.0
2015-01-04,303.0
2015-01-05,309.0
2015-01-06,315.0
2015-01-07,320.0
2015-01-08,310.0
2015-01-11,313.0
2015-01-12,330.0
2015-01-13,320.0
2015-01-14,317.0
2015-01-18,329.0
2015-01-19,334.0
2015-01-20,349.0
2015-01-22,349.0
2015-01-25,355.0
2015-01-26,362.0
2015-01-27,369.0
2015-01-28,365.0
2015-01-29,372.0
2015-02-01,375.0
2015-02-02,375.0
2015-02-03,368.0
2015-02-04,375.0
2015-02-05,389.0
2015-02-08,393.0
2015-02-09,401.0
2015-02-10,393.0
2015-02-11,398.0
2015-02-12,405.0
2015-02-15,415.0
2015-02-16,430.0
2015-02-18,407.0
2015-02-22,400.0
