Date,Open
2011-08-11,0.0
2011-08-15,395.0
2011-08-17,374.0
2011-08-18,353.0
2012-01-09,334.0
2012-01-23,322.0
2012-01-29,316.0
2012-01-31,310.0
2012-02-02,304.0
2012-02-05,279.0
2012-02-08,269.0
2012-02-09,251.0
2012-02-14,242.0
2012-02-16,222.0
2012-03-01,218.0
2012-03-11,210.0
2012-03-18,206.0
2012-03-19,186.0
2012-03-29,168.0
2012-04-02,152.0
2012-04-03,147.0
2012-04-09,147.0
2012-04-11,138.0
2012-04-12,125.0
2012-04-15,119.0
2012-04-17,111.0
2012-04-18,107.0
2012-04-19,101.0
2012-04-22,91.0
2012-04-24,92.0
2012-04-25,95.0
2012-04-26,104.0
2012-04-29,102.0
2012-04-30,98.0
2012-05-02,95.0
2012-05-03,88.0
2012-05-07,90.0
2012-05-08,91.0
2012-05-09,92.0
2012-05-10,90.0
2012-05-13,88.0
2012-05-14,88.0
2012-05-15,83.0
2012-05-16,87.0
2012-05-20,86.0
2012-05-21,81.0
2012-05-22,80.0
2012-05-23,78.0
2012-05-24,76.0
2012-05-27,78.0
2012-05-29,77.0
2012-05-30,73.0
2012-05-31,71.0
2012-06-03,68.0
2012-06-04,74.0
2012-06-05,70.0
2012-06-06,73.0
2012-06-07,73.0
2012-06-10,73.0
2012-06-11,71.0
2012-06-12,75.0
2012-06-13,73.0
2012-06-14,73.0
2012-06-17,71.0
2012-06-18,73.0
2012-06-19,73.0
2012-06-20,74.0
2012-06-21,74.0
2012-06-25,72.0
2012-06-26,72.0
2012-06-27,75.0
2012-06-28,74.0
2012-07-01,80.0
2012-07-02,77.0
2012-07-03,75.0
2012-07-04,75.0
2012-07-05,72.0
2012-07-08,75.0
2012-07-09,75.0
2012-07-10,73.0
2012-07-11,74.0
2012-07-12,72.0
2012-07-15,73.0
2012-07-16,75.0
2012-07-17,74.0
2012-07-18,80.0
2012-07-19,81.0
2012-07-22,77.0
2012-07-23,81.0
