Date,Open
2010-06-01,0.0
2010-06-02,353.0
2010-06-07,345.0
2010-06-10,311.0
2010-06-20,284.0
2010-06-22,274.0
2010-06-23,247.0
2010-06-24,252.0
2010-06-28,246.0
2010-06-29,256.0
2010-06-30,260.0
2010-07-01,255.0
2010-07-04,255.0
2010-07-05,256.0
2010-07-06,253.0
2010-07-07,249.0
2010-07-08,240.0
2010-07-12,242.0
2010-07-13,242.0
2010-07-14,241.0
2010-07-15,247.0
2010-07-18,246.0
2010-07-20,240.0
2010-07-22,240.0
2010-07-25,240.0
2010-07-26,236.0
2010-07-27,236.0
2010-07-28,226.0
2010-07-29,226.0
2010-08-01,223.0
2010-08-02,221.0
2010-08-03,223.0
2010-08-04,224.0
2010-08-05,224.0
2010-08-08,226.0
2010-08-09,226.0
2010-08-10,231.0
2010-08-11,228.0
2010-08-12,233.0
2010-08-15,230.0
2010-08-16,231.0
2010-08-17,235.0
2010-08-18,231.0
2010-08-19,240.0
2010-08-22,236.0
2010-08-29,236.0
2010-08-30,232.0
2010-08-31,227.0
2010-09-05,235.0
2010-09-06,227.0
2010-09-07,225.0
2010-09-08,225.0
2010-09-09,225.0
2010-09-12,226.0
2010-09-13,225.0
2010-09-14,225.0
2010-09-15,225.0
2010-09-20,223.0
2010-09-21,220.0
2010-09-23,220.0
2010-09-26,230.0
2010-09-27,226.0
2010-09-29,228.0
2010-09-30,224.0
2010-10-03,232.0
2010-10-04,228.0
2010-10-07,228.0
2010-10-10,234.0
2010-10-11,238.0
2010-10-12,234.0
2010-10-24,234.0
2010-10-25,230.0
2010-10-26,234.0
2010-10-27,232.0
2010-10-28,236.0
2010-10-31,242.0
2010-11-01,243.0
2010-11-02,240.0
2010-11-03,240.0
2010-11-04,244.0
2010-11-10,244.0
2010-11-11,245.0
2010-11-14,249.0
2010-11-16,253.0
2010-11-18,258.0
2010-11-21,262.0
2010-11-22,268.0
2010-11-23,265.0
2010-11-24,261.0
2010-11-25,270.0
2010-11-28,265.0
2010-11-29,271.0
2010-12-01,272.0
2010-12-02,275.0
2010-12-05,270.0
2010-12-06,270.0
2010-12-07,279.0
2010-12-08,279.0
2010-12-09,274.0
2010-12-12,270.0
2010-12-14,270.0
2010-12-15,260.0
2010-12-16,251.0
2010-12-19,243.0
2010-12-22,243.0
2010-12-23,232.0
2010-12-26,232.0
2010-12-28,232.0
2010-12-29,232.0
2011-01-02,235.0
2011-01-03,227.0
2011-01-06,227.0
2011-01-09,240.0
2011-01-10,264.0
2011-01-11,273.0
2011-01-12,263.0
2011-01-16,258.0
2011-01-17,270.0
2011-01-18,275.0
2011-01-19,270.0
2011-01-20,265.0
2011-01-24,270.0
2011-01-31,270.0
2011-02-02,270.0
2011-02-03,270.0
2011-02-06,275.0
2011-02-10,275.0
2011-02-15,280.0
2011-02-16,285.0
2011-02-17,294.0
2011-02-20,292.0
2011-02-21,290.0
2011-02-22,290.0
2011-02-23,289.0
2011-02-24,289.0
2011-02-27,285.0
2011-02-28,280.0
2011-03-03,280.0
2011-03-07,280.0
2011-03-09,285.0
2011-03-10,280.0
2011-03-13,280.0
2011-03-16,280.0
2011-03-17,270.0
2011-03-20,260.0
2011-03-23,260.0
2011-03-27,259.0
2011-04-10,255.0
2011-04-11,230.0
2011-04-19,226.0
2011-04-20,227.0
2011-04-21,219.0
2011-04-27,215.0
2011-05-02,219.0
2011-05-03,218.0
2011-05-04,198.0
2011-05-05,196.0
2011-05-08,197.0
2011-05-09,192.0
2011-05-10,189.0
2011-05-12,184.0
2011-05-15,181.0
2011-05-18,181.0
2011-05-22,180.0
2011-05-23,181.0
2011-05-24,181.0
2011-05-25,181.0
2011-05-26,180.0
2011-05-31,189.0
2011-06-01,191.0
2011-06-02,187.0
2011-06-05,186.0
2011-06-16,186.0
2011-06-29,183.0
2011-07-03,143.0
2011-07-07,141.0
2011-07-10,142.0
2011-07-11,142.0
2011-07-13,144.0
2011-07-24,146.0
2011-07-26,144.0
2011-07-27,146.0
2011-08-02,146.0
2011-08-03,160.0
2011-08-04,171.0
2011-08-07,176.0
2011-08-08,170.0
2011-08-09,173.0
2011-08-10,172.0
2011-08-11,172.0
2011-08-15,170.0
2011-08-16,173.0
2011-08-17,170.0
2011-08-18,168.0
2011-08-22,168.0
2011-08-23,168.0
2011-08-24,171.0
2011-08-25,169.0
2011-09-01,166.0
2011-09-04,169.0
2011-09-05,166.0
2011-09-06,165.0
2011-09-07,162.0
2011-09-08,162.0
2011-09-13,156.0
2011-09-15,153.0
2011-09-18,154.0
2011-09-19,157.0
2011-09-20,160.0
2011-09-21,176.0
2011-09-22,193.0
2011-09-25,212.0
2011-09-26,216.0
2011-09-27,201.0
2011-09-29,201.0
2011-10-02,203.0
2011-10-10,203.0
2011-10-12,199.0
2011-10-13,200.0
2011-10-16,193.0
2011-10-18,194.0
2011-10-19,199.0
2011-10-20,190.0
2011-10-23,190.0
2011-10-24,190.0
2011-10-25,193.0
2011-11-02,187.0
2011-11-03,196.0
2011-11-06,187.0
2011-11-08,184.0
2011-11-10,178.0
2011-11-13,184.0
2011-11-16,186.0
2011-11-17,178.0
2011-11-21,185.0
2011-11-22,188.0
2011-11-24,185.0
2011-11-27,182.0
2011-11-28,185.0
2011-11-29,179.0
2011-12-01,176.0
2011-12-04,171.0
2011-12-05,168.0
2011-12-06,162.0
2011-12-08,172.0
2011-12-11,169.0
2011-12-12,163.0
2012-01-05,160.0
2012-01-08,140.0
2012-01-09,137.0
2012-01-10,135.0
2012-01-12,133.0
2012-01-22,137.0
2012-01-23,137.0
2012-01-29,139.0
2012-02-01,140.0
2012-02-05,141.0
2012-02-07,140.0
2012-02-09,142.0
2012-02-21,144.0
2012-02-23,136.0
2012-02-26,137.0
2012-02-27,134.0
2012-02-29,136.0
2012-03-04,131.0
2012-03-05,133.0
2012-03-11,131.0
2012-03-13,133.0
2012-03-18,135.0
2012-03-20,135.0
2012-03-25,130.0
2012-04-01,132.0
2012-04-02,134.0
2012-04-03,134.0
2012-04-04,137.0
2012-04-09,137.0
2012-04-16,137.0
2012-04-17,139.0
2012-04-18,141.0
2012-04-22,143.0
2012-04-29,141.0
2012-05-10,145.0
2012-05-14,147.0
2012-05-21,145.0
2012-05-22,159.0
2012-05-23,168.0
2012-05-24,162.0
2012-05-27,158.0
2012-06-06,165.0
2012-06-07,159.0
2012-06-10,156.0
2012-06-11,147.0
2012-06-12,147.0
2012-06-13,144.0
2012-06-14,133.0
