Date,Open
2013-04-23,217.0
2013-04-25,112.0
2013-05-02,104.0
2013-05-16,104.0
2013-05-21,105.0
2013-05-26,96.0
2013-06-05,96.0
2013-06-11,94.0
2013-06-18,95.0
2013-07-02,95.0
2013-07-03,94.0
2013-07-07,92.0
2013-07-08,89.0
2013-07-09,88.0
2013-07-11,80.0
2013-07-15,80.0
2013-07-18,85.0
2013-07-22,88.0
2013-07-23,89.0
2013-07-28,88.0
2013-07-29,91.0
2013-08-01,90.0
2013-08-06,89.0
2013-08-07,90.0
2013-08-08,94.0
2013-08-11,100.0
2013-08-12,100.0
2013-08-15,98.0
2013-08-19,97.0
2013-08-25,96.0
2013-08-26,95.0
2013-08-27,97.0
2013-08-29,95.0
2013-09-01,96.0
2013-09-02,95.0
2013-09-05,94.0
2013-09-08,99.0
2013-09-09,100.0
2013-09-10,96.0
2013-09-11,96.0
2013-09-15,96.0
2013-09-17,95.0
2013-09-26,96.0
2013-10-01,99.0
2013-10-02,94.0
2013-10-07,94.0
2013-10-22,95.0
2013-11-27,94.0
2013-11-28,96.0
2013-12-01,99.0
2013-12-02,100.0
2013-12-03,106.0
2013-12-04,116.0
2013-12-08,118.0
2013-12-09,129.0
2013-12-10,132.0
2013-12-11,138.0
2013-12-18,136.0
2013-12-19,136.0
2013-12-22,138.0
2013-12-24,140.0
2013-12-26,138.0
2014-01-21,132.0
2014-01-22,130.0
2014-01-23,134.0
2014-01-26,134.0
2014-01-27,138.0
2014-01-28,140.0
2014-02-05,144.0
2014-02-13,144.0
2014-02-16,147.0
2014-02-17,161.0
2014-02-18,177.0
2014-02-20,194.0
2014-02-23,209.0
2014-02-24,213.0
2014-02-26,212.0
2014-03-03,214.0
2014-03-05,216.0
2014-03-09,216.0
2014-04-03,212.0
2014-04-10,204.0
2014-04-13,187.0
2014-04-15,181.0
2014-04-16,184.0
2014-04-17,186.0
2014-04-20,183.0
2014-04-21,180.0
2014-04-23,174.0
2014-04-27,180.0
2014-04-28,182.0
2014-04-29,191.0
2014-04-30,197.0
2014-05-04,204.0
2014-05-05,214.0
2014-05-06,223.0
2014-05-07,227.0
2014-05-08,239.0
2014-05-11,235.0
2014-05-12,231.0
2014-05-15,227.0
2014-05-18,227.0
2014-05-19,219.0
2014-05-20,222.0
2014-05-21,217.0
2014-05-22,220.0
2014-05-25,216.0
2014-05-28,220.0
2014-06-02,216.0
2014-06-03,212.0
2014-06-04,210.0
2014-06-05,214.0
2014-06-08,210.0
2014-06-09,222.0
2014-06-10,222.0
2014-06-15,218.0
2014-06-16,214.0
2014-06-25,218.0
2014-07-01,214.0
2014-07-02,208.0
2014-07-03,212.0
2014-07-06,210.0
2014-07-07,218.0
2014-07-08,239.0
2014-07-09,262.0
2014-07-13,270.0
