Date,Open
2013-10-08,825.0
2013-10-09,561.0
2013-10-10,588.0
2013-10-17,570.0
2013-10-20,570.0
2013-10-21,552.0
2013-10-22,550.0
2013-10-23,552.0
2013-10-24,550.0
2013-10-27,546.0
2013-10-28,532.0
2013-10-29,525.0
2013-10-30,524.0
2013-10-31,534.0
2013-11-06,530.0
2013-11-07,506.0
2013-11-10,520.0
2013-11-11,522.0
2013-11-12,536.0
2013-11-13,546.0
2013-11-14,560.0
2013-11-21,550.0
2013-11-24,583.0
2013-11-25,610.0
2013-11-26,608.0
2013-11-27,595.0
2013-11-28,590.0
2013-12-01,590.0
2013-12-02,587.0
2013-12-03,598.0
2013-12-04,648.0
2013-12-05,706.0
2013-12-08,715.0
2013-12-09,681.0
2013-12-10,680.0
2013-12-11,670.0
2013-12-12,672.0
2013-12-15,700.0
2013-12-16,729.0
2013-12-18,771.0
2013-12-19,785.0
2013-12-22,765.0
2013-12-23,765.0
2013-12-24,740.0
2013-12-26,715.0
2013-12-29,706.0
2013-12-31,694.0
2014-01-01,702.0
2014-01-02,689.0
2014-01-05,700.0
2014-01-06,686.0
2014-01-07,685.0
2014-01-08,709.0
2014-01-09,718.0
2014-01-12,730.0
2014-01-13,788.0
2014-01-14,823.0
2014-01-16,840.0
2014-01-19,880.0
2014-01-20,897.0
2014-01-21,896.0
2014-01-22,886.0
2014-01-23,880.0
2014-01-26,870.0
2014-01-27,840.0
2014-01-28,845.0
2014-01-29,825.0
2014-02-02,840.0
2014-02-03,824.0
2014-02-04,825.0
2014-02-05,850.0
2014-02-06,847.0
2014-02-09,848.0
2014-02-10,849.0
2014-02-11,846.0
2014-02-12,830.0
2014-02-13,830.0
2014-02-16,850.0
2014-02-17,821.0
2014-02-18,838.0
2014-02-20,855.0
2014-02-23,861.0
2014-02-24,874.0
2014-02-25,890.0
2014-02-26,910.0
2014-03-03,875.0
2014-03-04,860.0
2014-03-05,830.0
2014-03-06,850.0
2014-03-09,841.0
2014-03-10,830.0
2014-03-11,840.0
2014-03-12,827.0
2014-03-13,811.0
2014-03-17,821.0
2014-03-18,805.0
2014-03-19,805.0
2014-03-20,810.0
2014-03-23,810.0
2014-03-24,805.0
2014-03-25,812.0
2014-03-26,810.0
2014-03-27,806.0
2014-03-31,818.0
2014-04-01,828.0
2014-04-02,835.0
2014-04-03,845.0
2014-04-06,835.0
2014-04-07,830.0
2014-04-09,832.0
2014-04-10,864.0
2014-04-13,855.0
2014-04-15,875.0
2014-04-16,875.0
2014-04-17,840.0
2014-04-20,880.0
2014-04-21,845.0
2014-04-22,846.0
2014-04-23,875.0
2014-04-27,855.0
2014-04-28,864.0
2014-04-29,851.0
2014-04-30,840.0
2014-05-04,845.0
2014-05-05,860.0
2014-05-06,869.0
2014-05-07,870.0
2014-05-08,846.0
2014-05-11,840.0
2014-05-12,839.0
2014-05-13,845.0
2014-05-15,842.0
2014-05-18,835.0
2014-05-19,827.0
2014-05-20,825.0
2014-05-21,819.0
2014-05-22,820.0
2014-05-25,825.0
2014-05-26,830.0
2014-05-27,831.0
2014-05-28,820.0
2014-06-01,830.0
2014-06-02,821.0
2014-06-03,820.0
2014-06-04,825.0
2014-06-05,810.0
2014-06-08,810.0
2014-06-09,800.0
2014-06-10,805.0
2014-06-11,801.0
2014-06-12,810.0
2014-06-15,809.0
2014-06-16,806.0
2014-06-17,822.0
2014-06-18,846.0
2014-06-19,811.0
2014-06-23,819.0
2014-06-24,805.0
2014-06-25,815.0
2014-06-26,800.0
2014-06-29,805.0
2014-06-30,804.0
2014-07-01,820.0
2014-07-02,833.0
2014-07-03,855.0
2014-07-06,840.0
2014-07-07,845.0
2014-07-08,830.0
2014-07-09,850.0
2014-07-10,851.0
2014-07-13,859.0
2014-07-14,856.0
2014-07-15,841.0
2014-07-16,836.0
2014-07-17,848.0
2014-07-20,875.0
2014-07-21,962.0
2014-07-22,1025.0
2014-07-23,1010.0
2014-07-24,1026.0
2014-07-27,1012.0
2014-07-28,990.0
2014-07-30,999.0
2014-07-31,956.0
2014-08-03,945.0
2014-08-04,900.0
2014-08-05,870.0
2014-08-06,910.0
2014-08-07,912.0
2014-08-12,906.0
2014-08-13,883.0
2014-08-14,875.0
2014-08-18,885.0
2014-08-19,840.0
2014-08-20,859.0
2014-08-21,829.0
2014-08-24,856.0
2014-08-25,848.0
2014-08-26,785.0
2014-08-27,758.0
2014-08-28,805.0
2014-08-31,828.0
2014-09-01,806.0
2014-09-03,797.0
2014-09-04,792.0
2014-09-07,780.0
2014-09-09,740.0
2014-09-10,780.0
2014-09-11,783.0
2014-09-14,786.0
2014-09-15,770.0
2014-09-16,768.0
2014-09-17,777.0
2014-09-18,765.0
2014-09-21,763.0
2014-09-22,755.0
2014-09-23,740.0
2014-09-24,765.0
2014-09-28,779.0
2014-09-29,780.0
2014-09-30,753.0
2014-10-08,780.0
2014-10-09,765.0
2014-10-12,777.0
2014-10-13,759.0
2014-10-14,802.0
2014-10-15,805.0
2014-10-16,820.0
2014-10-19,800.0
2014-10-20,814.0
2014-10-21,800.0
2014-10-22,790.0
2014-10-26,781.0
2014-10-27,800.0
2014-10-28,795.0
2014-10-30,790.0
2014-11-02,790.0
2014-11-03,766.0
2014-11-04,756.0
2014-11-05,771.0
2014-11-06,780.0
2014-11-09,765.0
2014-11-10,760.0
2014-11-11,741.0
2014-11-12,755.0
2014-11-13,753.0
2014-11-16,750.0
2014-11-17,741.0
2014-11-18,702.0
2014-11-19,694.0
2014-11-20,700.0
2014-11-23,700.0
2014-11-24,708.0
2014-11-25,700.0
2014-11-30,706.0
2014-12-01,702.0
2014-12-02,701.0
2014-12-03,700.0
2014-12-04,695.0
2014-12-07,693.0
2014-12-08,700.0
2014-12-09,696.0
2014-12-10,690.0
2014-12-11,698.0
2014-12-14,714.0
2014-12-15,734.0
2014-12-16,730.0
2014-12-17,726.0
2014-12-18,723.0
2014-12-21,743.0
2014-12-22,731.0
2014-12-23,674.0
2014-12-24,640.0
2014-12-28,642.0
2014-12-31,653.0
2015-01-01,685.0
2015-01-04,691.0
2015-01-05,705.0
2015-01-06,695.0
2015-01-07,686.0
2015-01-08,754.0
2015-01-11,775.0
2015-01-12,775.0
2015-01-13,765.0
2015-01-14,750.0
2015-01-18,752.0
2015-01-19,737.0
2015-01-20,765.0
2015-01-22,810.0
2015-01-25,766.0
2015-01-26,745.0
2015-01-27,780.0
2015-01-28,775.0
2015-01-29,760.0
2015-02-01,760.0
2015-02-02,767.0
2015-02-03,757.0
2015-02-04,751.0
2015-02-05,755.0
2015-02-08,768.0
2015-02-09,750.0
2015-02-10,736.0
2015-02-11,725.0
2015-02-12,722.0
2015-02-15,740.0
2015-02-16,755.0
2015-02-18,745.0
2015-02-22,750.0
2015-02-23,750.0
2015-02-24,736.0
2015-02-25,728.0
2015-02-26,738.0
2015-03-02,765.0
2015-03-03,739.0
2015-03-04,745.0
2015-03-09,742.0
2015-03-10,730.0
2015-03-11,730.0
2015-03-12,754.0
2015-03-16,749.0
2015-03-17,725.0
2015-03-18,725.0
2015-03-19,720.0
2015-03-22,718.0
2015-03-23,715.0
2015-03-25,700.0
2015-03-26,705.0
