Date,Open
1999-07-19,0.0
1999-07-21,60.0
1999-07-22,357.0
1999-07-25,60.0
1999-07-27,363.0
1999-08-02,375.0
1999-08-04,375.0
1999-08-05,354.0
1999-08-08,389.0
1999-08-15,427.0
1999-08-30,440.0
1999-09-06,455.0
1999-09-07,456.0
1999-09-10,475.0
1999-09-14,522.0
1999-09-15,574.0
1999-09-17,625.0
1999-09-20,700.0
1999-09-22,650.0
1999-09-28,715.0
1999-09-30,791.0
1999-10-01,871.0
1999-10-05,885.0
1999-10-08,875.0
1999-10-11,788.0
1999-10-14,865.0
1999-10-28,800.0
1999-11-01,720.0
1999-11-25,648.0
1999-11-30,600.0
1999-12-03,600.0
1999-12-13,660.0
1999-12-14,650.0
1999-12-15,651.0
1999-12-20,670.0
1999-12-21,670.0
1999-12-24,700.0
1999-12-28,690.0
1999-12-30,670.0
1999-12-31,700.0
2000-01-03,700.0
2000-01-04,700.0
2000-01-06,700.0
2000-01-18,700.0
2000-01-24,705.0
2000-01-26,705.0
2000-01-27,705.0
2000-02-15,705.0
2000-02-17,700.0
2000-02-28,740.0
2000-02-29,766.0
2000-03-01,725.0
2000-03-03,775.0
2000-03-07,760.0
2000-03-14,100.0
2000-03-17,760.0
2000-03-23,800.0
2000-04-03,730.0
2000-04-18,730.0
2000-04-19,730.0
2000-04-24,730.0
2000-04-26,730.0
2000-05-04,730.0
2000-05-09,730.0
2000-05-11,730.0
2000-05-15,720.0
2000-05-26,720.0
2000-07-13,715.0
2000-07-28,785.0
2000-07-31,750.0
2000-08-02,675.0
2000-09-01,675.0
2000-09-04,700.0
2000-09-05,735.0
2000-09-07,725.0
2000-09-11,699.0
2000-09-14,699.0
2000-09-19,700.0
2000-09-20,675.0
2000-09-27,700.0
2000-09-29,90.0
2000-10-02,81.0
2000-10-20,73.0
2000-10-23,700.0
2000-10-24,739.0
2000-10-25,65.0
2000-11-01,749.0
2000-11-02,710.0
2000-11-03,750.0
2000-11-15,690.0
2000-11-17,725.0
2000-12-07,700.0
2000-12-12,400.0
2000-12-14,440.0
2000-12-18,484.0
2000-12-19,532.0
2000-12-25,585.0
2001-02-09,643.0
2001-04-23,60.0
2001-05-04,643.0
2001-06-01,640.0
2001-07-09,60.0
2001-07-11,660.0
2001-07-12,60.0
2001-08-10,710.0
2001-08-23,700.0
2001-11-20,630.0
2001-12-27,525.0
2002-03-14,580.0
2002-04-05,550.0
2002-05-15,550.0
2002-07-01,500.0
2002-07-15,510.0
2002-07-16,540.0
2002-10-11,534.0
2002-11-11,60.0
2003-11-19,60.0
2004-02-17,60.0
2004-02-20,60.0
2004-03-15,60.0
2004-05-06,60.0
2004-06-22,60.0
2004-07-23,58.0
2004-07-27,56.0
2004-08-24,56.0
2004-09-13,58.0
2004-09-28,56.0
2005-02-03,55.0
2005-03-17,55.0
2005-05-12,53.0
2005-05-15,51.0
2005-05-24,51.0
2005-06-02,50.0
2005-06-05,50.0
2005-06-30,50.0
2005-07-18,50.0
2005-11-07,50.0
