Date,Open
2009-04-09,0.0
2009-04-19,591.0
2009-04-22,547.0
2009-04-23,527.0
2009-04-26,507.0
2009-04-27,470.0
2009-04-28,435.0
2009-04-29,414.0
2009-04-30,373.0
2009-05-03,352.0
2009-05-04,317.0
2009-05-05,294.0
2009-05-06,290.0
2009-05-07,319.0
2009-05-10,330.0
2009-05-11,336.0
2009-05-12,332.0
2009-05-13,305.0
2009-05-14,331.0
2009-05-17,325.0
2009-05-19,330.0
2009-05-20,324.0
2009-05-21,322.0
2009-05-24,320.0
2009-05-25,316.0
2009-05-26,309.0
2009-05-27,303.0
2009-05-28,310.0
2009-05-31,315.0
2009-06-01,298.0
2009-06-03,291.0
2009-06-04,307.0
2009-06-08,313.0
2009-06-09,305.0
2009-06-10,305.0
2009-06-11,305.0
2009-06-14,306.0
2009-06-15,290.0
2009-06-16,285.0
2009-06-17,290.0
2009-06-18,280.0
2009-06-21,280.0
2009-06-22,290.0
2009-06-23,285.0
2009-06-24,280.0
2009-06-25,280.0
2009-06-28,270.0
2009-06-29,270.0
2009-06-30,269.0
2009-07-01,269.0
2009-07-02,245.0
2009-07-05,246.0
2009-07-06,255.0
2009-07-07,262.0
2009-07-21,268.0
2009-07-23,273.0
2009-07-26,273.0
2009-07-28,274.0
2009-07-29,279.0
2009-07-30,284.0
2009-08-02,289.0
2009-08-03,317.0
2009-08-04,333.0
2009-08-09,347.0
2009-08-10,361.0
2009-08-11,374.0
2009-08-12,366.0
2009-08-16,365.0
2009-08-17,344.0
2009-08-18,320.0
2009-08-19,310.0
2009-08-20,315.0
2009-08-23,321.0
2009-08-24,318.0
2009-08-25,315.0
2009-08-26,317.0
2009-08-27,315.0
2009-08-30,312.0
2009-08-31,307.0
2009-09-01,307.0
2009-09-06,310.0
2009-09-07,324.0
2009-09-08,321.0
2009-09-09,336.0
2009-09-10,324.0
2009-09-13,324.0
2009-09-14,319.0
2009-09-15,310.0
2009-09-16,312.0
2009-09-17,314.0
2009-09-22,316.0
2009-09-24,325.0
2009-10-04,331.0
2009-10-05,332.0
2009-10-06,330.0
2009-10-07,335.0
2009-10-08,326.0
2009-10-11,320.0
2009-10-12,317.0
2009-10-13,317.0
2009-10-14,316.0
2009-10-21,318.0
2009-10-22,312.0
2009-10-25,310.0
2009-10-26,315.0
2009-10-27,312.0
2009-10-28,312.0
2009-10-29,306.0
2009-11-03,300.0
2009-11-04,294.0
2009-11-08,306.0
2009-11-09,300.0
2009-11-10,306.0
2009-11-11,295.0
2009-11-12,298.0
2009-11-15,284.0
2009-11-16,284.0
2009-11-19,284.0
2009-11-22,279.0
2009-11-23,270.0
2009-11-24,270.0
2009-11-30,275.0
2009-12-01,270.0
2009-12-07,260.0
2009-12-09,245.0
2009-12-10,250.0
2009-12-13,253.0
2009-12-14,248.0
2009-12-15,245.0
2009-12-17,248.0
2009-12-20,251.0
2009-12-21,251.0
2009-12-22,246.0
2009-12-24,247.0
2009-12-27,251.0
2009-12-28,256.0
2009-12-31,270.0
2010-01-03,265.0
2010-01-06,269.0
2010-01-07,275.0
2010-01-10,265.0
2010-01-11,255.0
2010-01-13,255.0
2010-01-14,255.0
2010-01-20,259.0
2010-01-21,255.0
2010-01-24,245.0
2010-01-25,235.0
2010-01-26,239.0
2010-01-27,236.0
2010-01-28,236.0
2010-02-11,243.0
2010-02-15,235.0
2010-02-16,227.0
2010-02-17,222.0
2010-02-18,218.0
2010-03-01,217.0
2010-03-02,213.0
2010-03-03,213.0
2010-03-04,213.0
2010-03-07,205.0
2010-03-09,202.0
2010-03-10,200.0
2010-03-11,192.0
2010-03-14,192.0
2010-03-16,191.0
2010-03-22,190.0
2010-03-23,190.0
2010-03-25,187.0
2010-03-28,184.0
2010-03-29,181.0
2010-03-31,175.0
2010-04-01,172.0
2010-04-04,172.0
2010-04-13,181.0
2010-04-19,180.0
2010-04-20,181.0
2010-04-21,178.0
2010-04-27,173.0
2010-04-28,170.0
2010-04-29,164.0
2010-05-09,165.0
2010-05-10,159.0
2010-05-16,159.0
2010-05-17,160.0
2010-05-18,157.0
2010-05-19,159.0
2010-05-26,168.0
2010-05-31,171.0
2010-06-02,174.0
2010-06-03,177.0
2010-06-06,186.0
2010-06-07,189.0
2010-06-09,189.0
2010-06-10,190.0
2010-06-13,193.0
2010-06-14,196.0
2010-06-15,196.0
2010-06-17,201.0
2010-06-20,209.0
2010-06-21,209.0
2010-06-23,208.0
2010-06-24,208.0
2010-06-28,205.0
2010-06-29,205.0
2010-07-15,201.0
2010-07-20,201.0
2010-07-21,197.0
2010-07-28,193.0
2010-07-29,190.0
2010-08-02,189.0
2010-08-03,185.0
2010-08-05,183.0
2010-08-08,180.0
2010-08-09,175.0
2010-08-10,178.0
2010-08-11,179.0
2010-08-12,176.0
2010-08-15,176.0
2010-08-16,175.0
2010-08-17,172.0
2010-08-18,176.0
2010-08-19,180.0
2010-08-22,185.0
2010-08-23,191.0
2010-08-26,190.0
2010-08-29,191.0
2010-09-07,191.0
2010-09-08,144.0
2010-09-09,144.0
2010-09-12,144.0
2010-09-15,142.0
2010-09-19,140.0
2010-09-21,138.0
2010-09-23,137.0
2010-09-26,135.0
2010-09-27,137.0
2010-09-28,143.0
2010-09-29,142.0
2010-09-30,144.0
2010-10-03,146.0
2010-10-05,148.0
2010-10-06,147.0
2010-10-07,147.0
2010-10-10,149.0
2010-10-12,149.0
2010-10-20,149.0
2010-10-24,145.0
2010-10-27,146.0
2010-10-31,146.0
2010-11-01,145.0
2010-11-02,146.0
2010-11-09,148.0
2010-11-10,150.0
2010-11-11,159.0
2010-11-14,160.0
2010-11-16,161.0
2010-11-18,166.0
2010-11-21,163.0
2010-11-22,160.0
2010-11-23,163.0
2010-11-24,163.0
2010-11-25,166.0
2010-11-28,164.0
2010-11-30,164.0
2010-12-05,167.0
2010-12-06,165.0
2010-12-07,165.0
2010-12-08,165.0
2010-12-12,162.0
2010-12-16,160.0
2010-12-28,160.0
2010-12-29,160.0
2011-01-02,160.0
2011-01-03,157.0
2011-01-04,151.0
2011-01-05,150.0
2011-01-09,146.0
2011-01-10,144.0
2011-01-12,148.0
2011-01-17,146.0
2011-01-19,146.0
2011-01-20,145.0
2011-01-24,144.0
2011-02-01,146.0
2011-02-02,145.0
2011-02-13,144.0
2011-02-14,146.0
2011-02-15,150.0
2011-02-16,165.0
2011-02-17,170.0
2011-02-23,173.0
2011-02-27,161.0
2011-02-28,155.0
2011-03-01,155.0
2011-03-14,152.0
2011-03-15,149.0
2011-03-16,145.0
2011-03-17,146.0
2011-03-20,146.0
2011-03-21,146.0
2011-03-27,148.0
2011-03-28,140.0
2011-03-29,140.0
2011-04-06,138.0
2011-04-07,136.0
2011-04-10,136.0
2011-04-11,135.0
2011-04-13,129.0
2011-04-20,121.0
2011-04-21,117.0
2011-04-25,113.0
2011-04-27,114.0
2011-04-28,115.0
2011-05-08,113.0
2011-05-09,113.0
2011-05-10,113.0
2011-05-16,111.0
2011-05-18,113.0
2011-05-19,112.0
2011-05-22,108.0
2011-05-23,106.0
2011-05-24,107.0
2011-05-25,110.0
2011-05-30,110.0
