Date,Open
2010-10-20,0.0
2010-10-24,333.0
2010-10-25,303.0
2010-10-26,297.0
2010-10-27,273.0
2010-10-28,246.0
2010-10-31,222.0
2010-11-01,200.0
2010-11-02,180.0
2010-11-03,180.0
2010-11-04,181.0
2010-11-09,188.0
2010-11-10,191.0
2010-11-11,187.0
2010-11-14,184.0
2010-11-15,186.0
2010-11-16,186.0
2010-11-18,182.0
2010-11-21,185.0
2010-11-22,185.0
2010-11-23,181.0
2010-11-24,180.0
2010-11-25,183.0
2010-11-28,180.0
2010-11-29,187.0
2010-11-30,185.0
2010-12-01,186.0
2010-12-02,187.0
2010-12-05,184.0
2010-12-06,179.0
2010-12-07,183.0
2010-12-08,181.0
2010-12-09,174.0
2010-12-12,172.0
2010-12-13,170.0
2010-12-14,164.0
2010-12-15,160.0
2010-12-16,163.0
2010-12-19,160.0
2010-12-20,162.0
2010-12-22,169.0
2010-12-23,171.0
2010-12-27,173.0
2010-12-28,178.0
2010-12-29,175.0
2011-01-04,174.0
2011-01-05,165.0
2011-01-06,159.0
2011-01-09,155.0
2011-01-10,157.0
2011-01-11,154.0
2011-01-12,157.0
2011-01-13,156.0
2011-01-16,152.0
2011-01-17,150.0
2011-01-18,156.0
2011-01-19,169.0
2011-01-23,185.0
2011-01-24,185.0
2011-02-03,176.0
2011-02-06,170.0
2011-02-07,162.0
2011-02-08,151.0
2011-02-09,147.0
2011-02-10,150.0
2011-02-13,155.0
2011-02-14,152.0
2011-02-15,152.0
2011-02-16,149.0
2011-02-17,146.0
2011-02-20,153.0
2011-02-21,167.0
2011-02-22,170.0
2011-02-23,158.0
2011-02-24,147.0
2011-02-27,145.0
2011-02-28,145.0
2011-03-01,143.0
2011-03-07,145.0
2011-03-09,147.0
2011-03-10,143.0
2011-03-13,138.0
2011-03-14,144.0
2011-03-15,139.0
2011-03-16,139.0
2011-03-17,133.0
2011-03-20,133.0
2011-03-21,131.0
2011-03-22,130.0
2011-03-23,128.0
2011-03-24,128.0
2011-03-27,126.0
2011-03-28,124.0
2011-03-29,121.0
2011-03-30,118.0
2011-03-31,116.0
2011-04-04,113.0
2011-04-05,112.0
2011-04-06,109.0
2011-04-07,111.0
2011-04-10,111.0
2011-04-11,110.0
2011-04-13,110.0
2011-04-17,112.0
2011-04-18,114.0
2011-04-19,114.0
2011-04-20,111.0
2011-04-21,108.0
2011-04-26,106.0
2011-04-27,104.0
2011-04-28,102.0
2011-05-02,100.0
2011-05-03,104.0
2011-05-04,108.0
2011-05-05,106.0
2011-05-08,104.0
2011-05-11,104.0
2011-05-12,101.0
2011-05-15,101.0
2011-05-16,105.0
2011-05-18,107.0
2011-05-19,109.0
2011-05-22,107.0
2011-05-23,114.0
2011-05-26,112.0
2011-05-30,111.0
2011-05-31,109.0
2011-06-01,101.0
2011-06-02,103.0
2011-06-05,103.0
2011-06-06,100.0
2011-06-07,100.0
2011-06-09,103.0
2011-06-12,98.0
2011-06-13,97.0
2011-06-14,96.0
2011-06-15,95.0
2011-06-16,95.0
2011-06-19,94.0
2011-06-21,95.0
2011-06-27,94.0
2011-06-29,94.0
2011-07-03,91.0
2011-07-04,90.0
2011-07-05,90.0
2011-07-06,91.0
2011-07-11,93.0
2011-07-12,102.0
2011-07-13,112.0
2011-07-14,113.0
2011-07-18,119.0
2011-07-20,117.0
2011-07-24,115.0
2011-07-26,110.0
2011-07-28,108.0
2011-07-31,106.0
2011-08-01,100.0
2011-08-02,98.0
2011-08-03,96.0
2011-08-04,96.0
2011-08-07,100.0
2011-08-08,106.0
2011-08-09,103.0
2011-08-10,102.0
2011-08-11,102.0
2011-08-15,100.0
2011-08-16,100.0
2011-08-17,98.0
2011-08-18,100.0
2011-08-22,100.0
2011-08-23,100.0
2011-08-24,98.0
2011-08-25,98.0
2011-08-28,98.0
2011-08-29,97.0
2011-08-30,97.0
2011-09-01,95.0
2011-09-04,94.0
2011-09-05,97.0
2011-09-06,94.0
2011-09-07,94.0
