Date,Open
2014-10-09,10.0
2014-10-15,10.0
2014-10-19,10.2
2014-10-20,10.25
2014-10-21,10.46
2014-10-22,11.23
2014-10-26,11.11
2014-10-27,11.15
2014-10-28,11.0
2014-10-30,10.9
2014-11-02,11.0
2014-11-03,11.05
2014-11-04,10.84
2014-11-05,10.0
2014-11-06,10.6
2014-11-10,10.4
2014-11-11,10.61
2014-11-12,10.82
2014-11-13,10.9
2014-11-16,10.92
2014-11-17,10.7
2014-11-18,10.4
2014-11-19,10.05
2014-11-20,10.3
2014-11-23,10.3
2014-11-25,10.4
2014-11-30,10.4
2014-12-01,10.19
2014-12-02,10.2
2014-12-03,10.45
2014-12-04,10.56
2014-12-07,10.4
2014-12-08,10.3
2014-12-09,10.3
2014-12-10,10.45
2014-12-14,10.44
2014-12-17,10.65
2014-12-18,10.4
2014-12-23,10.45
2014-12-24,10.3
2014-12-31,10.4
2015-01-01,10.2
2015-01-04,10.4
2015-01-05,10.21
2015-01-06,10.21
2015-01-07,10.25
2015-01-08,10.44
2015-01-11,10.4
2015-01-12,10.21
2015-01-13,10.25
2015-01-14,10.5
2015-01-18,10.61
2015-01-19,10.55
2015-01-20,10.45
2015-01-22,10.4
2015-01-25,10.4
2015-01-26,10.45
2015-01-27,10.5
2015-01-29,10.4
2015-02-01,10.19
2015-02-02,10.41
2015-02-03,10.4
2015-02-04,10.4
2015-02-05,10.6
2015-02-08,10.4
2015-02-11,10.4
2015-02-12,10.33
2015-02-15,10.3
2015-02-16,10.25
2015-02-18,10.17
2015-02-23,10.35
2015-02-24,10.4
2015-02-25,10.21
2015-03-01,10.15
2015-03-02,10.0
2015-03-03,10.19
2015-03-04,10.15
2015-03-09,10.25
2015-03-10,10.3
2015-03-11,10.28
2015-03-12,10.4
2015-03-16,10.2
2015-03-17,10.11
2015-03-18,10.0
2015-03-19,10.15
2015-03-22,10.1
2015-03-23,10.15
2015-03-24,10.03
2015-03-25,9.9
