Date,Open
2010-12-22,178.0
2010-12-23,349.0
2011-01-02,350.0
2011-02-03,343.0
2011-02-09,326.0
2011-02-28,310.0
2011-03-09,283.0
2011-03-23,273.0
2011-03-27,268.0
2011-04-21,255.0
2011-05-15,250.0
2011-06-15,250.0
2011-08-11,241.0
2011-08-30,229.0
2011-09-14,225.0
2011-11-23,213.0
2011-11-24,192.0
2011-12-13,189.0
2012-01-01,186.0
2012-01-23,183.0
2012-02-06,183.0
2012-02-23,183.0
2012-03-06,180.0
2012-03-13,171.0
2012-03-14,162.0
2012-03-15,147.0
2012-03-18,143.0
2012-03-21,136.0
2012-03-25,130.0
2012-03-27,124.0
2012-03-28,112.0
2012-04-02,101.0
2012-04-03,97.0
2012-04-04,88.0
2012-04-09,87.0
2012-04-12,87.0
2012-04-18,87.0
2012-04-19,86.0
2012-04-22,85.0
2012-04-24,78.0
2012-04-26,79.0
2012-04-29,79.0
2012-05-21,81.0
2012-05-23,75.0
2012-05-24,72.0
2012-06-04,71.0
2012-06-05,68.0
2012-06-10,68.0
2012-06-12,66.0
2012-06-13,67.0
2012-06-14,66.0
2012-06-17,64.0
2012-06-19,62.0
2012-06-21,56.0
2012-06-25,51.0
2012-06-26,50.0
2012-06-27,51.0
2012-06-28,51.0
2012-07-01,50.0
2012-07-02,55.0
2012-07-03,55.0
2012-07-04,54.0
2012-07-05,59.0
2012-07-08,62.0
2012-07-09,67.0
2012-07-10,68.0
2012-07-11,69.0
2012-07-12,70.0
2012-07-15,69.0
2012-07-16,70.0
2012-07-17,69.0
2012-07-18,68.0
2012-07-19,70.0
2012-07-22,70.0
2012-07-23,72.0
2012-07-24,71.0
2012-07-25,71.0
2012-07-26,71.0
2012-07-29,72.0
2012-07-30,74.0
2012-07-31,72.0
2012-08-01,78.0
2012-08-05,75.0
2012-08-06,75.0
2012-08-08,74.0
2012-08-12,73.0
2012-08-13,80.0
2012-08-14,79.0
2012-08-15,82.0
2012-08-16,83.0
2012-08-19,85.0
2012-08-21,88.0
2012-08-22,86.0
2012-08-23,85.0
2012-08-26,81.0
2012-08-27,80.0
2012-08-28,82.0
2012-08-29,83.0
2012-08-30,84.0
2012-09-02,86.0
2012-09-03,88.0
2012-09-04,92.0
2012-09-05,96.0
2012-09-16,97.0
2012-09-18,95.0
2012-10-03,94.0
2012-10-10,93.0
2012-10-14,93.0
2012-10-15,102.0
2012-10-17,98.0
2012-10-18,102.0
2012-10-30,101.0
2012-10-31,103.0
2012-11-05,100.0
2012-11-06,100.0
2012-11-07,100.0
2012-11-08,102.0
2012-11-11,105.0
2012-11-12,103.0
2012-11-22,105.0
2012-11-28,105.0
2012-12-06,104.0
2012-12-09,102.0
2012-12-13,98.0
2012-12-17,96.0
2012-12-18,96.0
2012-12-19,97.0
2012-12-20,96.0
2012-12-23,97.0
2012-12-31,97.0
2013-01-01,96.0
2013-01-02,96.0
2013-01-03,97.0
2013-01-06,96.0
2013-01-07,97.0
2013-01-10,98.0
2013-01-13,99.0
2013-01-15,98.0
2013-01-16,97.0
2013-01-17,98.0
2013-01-20,98.0
2013-01-21,97.0
2013-01-22,97.0
2013-01-24,97.0
2013-01-27,95.0
2013-01-28,94.0
2013-01-31,93.0
2013-02-03,91.0
2013-02-04,91.0
2013-02-06,90.0
2013-02-27,91.0
2013-03-18,91.0
2013-03-21,92.0
2013-03-25,101.0
2013-03-27,102.0
2013-03-28,100.0
2013-04-03,98.0
2013-05-06,98.0
2013-05-23,98.0
2013-05-28,98.0
2013-06-12,97.0
2013-06-16,96.0
2013-06-18,96.0
2013-06-19,96.0
2013-07-10,96.0
2013-07-22,94.0
2013-08-15,94.0
2013-08-20,93.0
2013-08-26,92.0
2013-08-27,93.0
2013-08-29,91.0
2013-09-01,93.0
2013-09-02,93.0
2013-09-04,94.0
2013-09-05,96.0
2013-09-10,95.0
2013-09-11,95.0
2013-09-12,96.0
2013-09-15,94.0
2013-09-16,92.0
2013-09-22,91.0
2013-09-23,90.0
2013-09-24,89.0
2013-09-29,97.0
2013-09-30,106.0
2013-10-01,109.0
2013-10-02,109.0
2013-10-03,111.0
2013-10-06,108.0
2013-10-07,107.0
2013-10-09,109.0
2013-10-20,108.0
2013-10-21,112.0
2013-10-22,112.0
2013-10-23,110.0
2013-10-27,114.0
2013-10-28,114.0
2013-10-30,112.0
2013-10-31,110.0
2013-11-06,110.0
2013-11-07,110.0
2013-11-11,112.0
2013-11-12,114.0
2013-11-13,114.0
2013-11-25,112.0
2013-11-26,114.0
2013-11-28,116.0
2013-12-01,120.0
2013-12-03,120.0
2013-12-04,123.0
2013-12-10,126.0
2013-12-11,128.0
2013-12-15,128.0
2013-12-18,130.0
2013-12-22,134.0
2013-12-23,136.0
2013-12-24,138.0
2013-12-26,142.0
2013-12-29,140.0
2014-01-01,142.0
2014-01-02,117.0
2014-01-05,115.0
2014-01-06,113.0
2014-01-07,114.0
2014-01-08,110.0
2014-01-09,116.0
2014-01-12,110.0
2014-01-14,108.0
2014-01-16,106.0
2014-01-19,104.0
2014-01-20,104.0
2014-01-22,106.0
2014-01-26,108.0
2014-01-29,118.0
2014-02-02,123.0
2014-02-03,125.0
2014-02-05,127.0
2014-02-06,130.0
2014-02-09,132.0
2014-02-11,135.0
2014-02-12,137.0
2014-02-17,139.0
2014-02-18,141.0
2014-02-20,142.0
2014-02-23,142.0
2014-02-24,146.0
2014-02-25,148.0
2014-02-26,150.0
2014-03-03,150.0
2014-03-04,147.0
2014-03-05,145.0
2014-03-06,149.0
2014-03-09,153.0
2014-03-10,156.0
2014-03-11,153.0
2014-03-12,147.0
2014-03-17,149.0
2014-03-19,146.0
2014-03-20,144.0
2014-03-23,142.0
2014-03-24,138.0
2014-03-25,136.0
2014-03-26,136.0
2014-03-31,138.0
2014-04-01,136.0
2014-04-02,134.0
2014-04-03,134.0
2014-04-06,134.0
2014-04-07,132.0
2014-04-09,129.0
2014-04-10,131.0
2014-04-13,130.0
2014-04-15,128.0
2014-04-20,130.0
2014-04-21,132.0
2014-04-22,136.0
2014-04-27,138.0
2014-04-28,142.0
2014-04-30,140.0
2014-05-04,136.0
2014-05-08,137.0
2014-05-15,135.0
2014-05-18,139.0
2014-05-19,141.0
2014-05-20,151.0
2014-05-21,166.0
2014-05-22,181.0
2014-05-26,175.0
2014-05-27,160.0
2014-05-28,157.0
2014-06-01,158.0
2014-06-05,162.0
2014-06-08,153.0
2014-06-10,153.0
2014-06-11,154.0
2014-06-12,156.0
2014-06-15,159.0
2014-06-16,162.0
2014-06-17,165.0
2014-06-18,165.0
2014-06-23,162.0
2014-06-24,159.0
2014-06-25,157.0
2014-06-26,156.0
2014-06-29,157.0
2014-06-30,161.0
2014-07-01,160.0
2014-07-02,161.0
2014-07-03,167.0
2014-07-06,164.0
2014-07-07,167.0
2014-07-08,167.0
2014-07-09,176.0
2014-07-10,179.0
2014-07-13,183.0
2014-07-14,186.0
2014-07-15,186.0
2014-07-16,187.0
2014-07-17,193.0
2014-07-20,194.0
2014-07-21,213.0
2014-07-22,227.0
2014-07-23,243.0
2014-07-24,244.0
2014-07-30,246.0
2014-07-31,246.0
2014-08-03,254.0
2014-08-04,237.0
2014-08-05,233.0
2014-08-06,213.0
2014-08-07,211.0
2014-08-14,219.0
2014-08-18,206.0
2014-08-19,202.0
2014-08-20,196.0
2014-08-21,193.0
2014-08-25,193.0
2014-08-26,184.0
2014-08-27,169.0
2014-08-28,175.0
2014-08-31,178.0
2014-09-01,182.0
2014-09-03,192.0
2014-09-04,195.0
2014-09-07,183.0
2014-09-09,177.0
2014-09-10,187.0
2014-09-11,190.0
2014-09-14,181.0
2014-09-15,180.0
2014-09-16,180.0
2014-09-21,172.0
2014-09-22,175.0
2014-09-23,175.0
2014-09-29,172.0
2014-09-30,181.0
2014-10-08,188.0
2014-10-09,185.0
2014-10-12,183.0
2014-10-13,173.0
2014-10-14,176.0
2014-10-15,178.0
2014-10-16,174.0
2014-11-06,180.0
2014-11-09,162.0
2014-11-10,166.0
2014-11-11,164.0
2014-11-12,156.0
2014-11-13,159.0
2014-11-17,160.0
2014-11-18,158.0
2014-11-19,155.0
2014-11-20,155.0
2014-11-23,155.0
2014-11-25,155.0
2014-12-01,152.0
2014-12-02,155.0
2014-12-03,155.0
2014-12-04,154.0
2014-12-07,157.0
2014-12-08,170.0
2014-12-09,182.0
2014-12-10,181.0
2014-12-11,185.0
2014-12-14,164.0
2014-12-15,166.0
2014-12-16,166.0
2014-12-17,165.0
2014-12-22,164.0
2014-12-29,167.0
2014-12-31,170.0
2015-01-01,187.0
2015-01-05,176.0
2015-01-06,173.0
2015-01-07,170.0
2015-01-08,164.0
2015-01-11,163.0
2015-01-12,162.0
2015-01-14,157.0
2015-01-18,163.0
2015-01-19,173.0
2015-01-20,182.0
2015-01-22,185.0
2015-01-25,188.0
2015-01-26,199.0
2015-01-27,210.0
2015-01-28,227.0
2015-01-29,223.0
2015-02-01,227.0
2015-02-04,231.0
2015-02-05,223.0
2015-02-08,223.0
2015-02-11,222.0
2015-02-12,212.0
2015-02-15,211.0
2015-02-16,219.0
2015-02-18,223.0
2015-02-22,220.0
2015-02-23,220.0
2015-02-24,209.0
2015-02-25,205.0
2015-03-01,210.0
2015-03-02,210.0
2015-03-09,214.0
2015-03-10,218.0
2015-03-11,221.0
2015-03-12,222.0
2015-03-16,218.0
2015-03-18,214.0
2015-03-19,211.0
2015-03-22,204.0
2015-03-23,204.0
2015-03-24,205.0
2015-03-26,208.0
