Date,Open
2010-07-14,309.0
2010-08-03,353.0
2010-08-04,328.0
2010-08-08,316.0
2010-08-09,310.0
2010-08-11,310.0
2010-09-05,310.0
2010-09-06,310.0
2010-09-07,288.0
2010-09-08,268.0
2010-09-09,253.0
2010-09-12,244.0
2010-09-21,244.0
2010-09-23,244.0
2010-09-29,244.0
2010-09-30,232.0
2010-10-05,232.0
2010-10-06,221.0
2010-10-07,210.0
2010-10-10,189.0
2010-10-11,174.0
2010-10-12,182.0
2010-10-13,180.0
2010-10-20,179.0
2010-10-21,178.0
2010-10-24,177.0
2010-10-25,173.0
2010-10-26,175.0
2010-10-27,175.0
2010-10-28,173.0
2010-10-31,178.0
2010-11-01,172.0
2010-11-02,169.0
2010-11-03,170.0
2010-11-04,173.0
2010-11-09,177.0
2010-11-10,175.0
2010-11-11,172.0
2010-11-14,170.0
2010-11-15,167.0
2010-11-16,166.0
2010-11-18,167.0
2010-11-21,170.0
2010-11-22,167.0
2010-11-23,165.0
2010-11-24,162.0
2010-11-25,162.0
2010-11-28,161.0
2010-11-29,164.0
2010-11-30,160.0
2010-12-01,163.0
2010-12-02,163.0
2010-12-05,162.0
2010-12-06,160.0
2010-12-07,162.0
2010-12-08,161.0
2010-12-09,165.0
2010-12-12,160.0
2010-12-14,160.0
2010-12-15,159.0
2010-12-16,157.0
2010-12-19,158.0
2010-12-20,157.0
2010-12-22,154.0
2010-12-23,153.0
2010-12-26,159.0
2010-12-27,162.0
2010-12-28,160.0
2010-12-29,160.0
2011-01-02,160.0
2011-01-03,160.0
2011-01-04,159.0
2011-01-05,155.0
2011-01-06,149.0
2011-01-09,151.0
2011-01-10,155.0
2011-01-11,155.0
2011-01-12,157.0
2011-01-13,152.0
2011-01-16,150.0
2011-01-17,150.0
2011-01-18,154.0
2011-01-19,155.0
2011-01-20,151.0
2011-01-23,151.0
2011-01-24,154.0
2011-01-31,155.0
2011-02-01,155.0
2011-02-02,158.0
2011-02-03,159.0
2011-02-06,174.0
2011-02-07,186.0
2011-02-08,175.0
2011-02-09,174.0
2011-02-10,172.0
2011-02-16,173.0
2011-02-23,150.0
2011-02-24,147.0
2011-02-27,145.0
2011-02-28,147.0
2011-03-01,149.0
2011-03-03,147.0
2011-03-14,145.0
2011-03-16,145.0
2011-03-20,144.0
2011-03-21,144.0
2011-03-23,144.0
2011-03-28,142.0
2011-03-30,140.0
2011-03-31,128.0
2011-04-04,132.0
2011-04-05,128.0
2011-04-06,128.0
2011-04-07,128.0
2011-04-10,131.0
2011-04-13,124.0
2011-04-17,122.0
2011-04-18,118.0
2011-04-19,116.0
2011-04-20,118.0
2011-04-21,118.0
2011-04-26,118.0
2011-04-27,116.0
2011-04-28,114.0
2011-05-02,114.0
2011-05-03,116.0
2011-05-05,118.0
2011-05-10,119.0
2011-05-12,117.0
2011-05-15,115.0
2011-05-16,116.0
2011-05-22,118.0
2011-05-25,118.0
2011-05-26,118.0
2011-05-31,120.0
2011-06-01,118.0
2011-06-02,118.0
2011-06-08,118.0
2011-06-09,117.0
2011-06-12,113.0
2011-06-16,111.0
2011-06-29,105.0
2011-06-30,103.0
2011-07-05,103.0
2011-07-06,105.0
2011-07-07,105.0
2011-07-10,103.0
2011-07-11,105.0
2011-07-14,105.0
2011-07-19,107.0
2011-07-24,109.0
2011-07-31,110.0
2011-08-02,112.0
2011-08-03,112.0
2011-08-04,118.0
2011-08-07,129.0
2011-08-08,126.0
2011-08-09,120.0
2011-08-11,120.0
2011-08-15,120.0
2011-08-18,122.0
2011-08-22,130.0
2011-08-23,126.0
2011-08-24,120.0
2011-08-25,122.0
2011-08-28,120.0
2011-08-29,118.0
2011-08-30,110.0
2011-09-01,121.0
2011-09-06,119.0
2011-09-08,121.0
2011-09-12,115.0
2011-09-13,114.0
2011-09-14,113.0
2011-09-15,111.0
2011-09-18,110.0
2011-09-20,112.0
2011-09-21,116.0
2011-09-22,122.0
2011-09-25,116.0
2011-09-26,114.0
2011-09-27,115.0
2011-09-29,114.0
2011-10-02,117.0
2011-10-10,115.0
2011-10-12,117.0
2011-10-13,118.0
2011-10-16,118.0
2011-10-17,120.0
2011-10-19,121.0
2011-10-20,115.0
2011-10-23,115.0
2011-10-24,116.0
2011-10-25,114.0
2011-10-30,120.0
2011-10-31,122.0
2011-11-03,120.0
2011-11-06,122.0
2011-11-08,129.0
2011-11-09,129.0
2011-11-10,127.0
2011-11-13,122.0
2011-11-14,120.0
2011-11-15,124.0
2011-11-16,128.0
2011-11-17,126.0
2011-11-20,127.0
2011-11-21,124.0
2011-11-22,125.0
2011-11-23,127.0
2011-11-24,124.0
2011-11-27,123.0
2011-11-28,123.0
2011-11-29,126.0
2011-11-30,120.0
2011-12-01,120.0
2011-12-04,122.0
2011-12-05,122.0
2011-12-06,122.0
2011-12-07,122.0
2011-12-08,122.0
2011-12-11,118.0
2011-12-12,122.0
2011-12-13,122.0
2011-12-14,117.0
2011-12-15,124.0
2011-12-18,124.0
2011-12-19,123.0
2011-12-20,125.0
2011-12-21,127.0
2011-12-22,125.0
2011-12-26,123.0
2011-12-27,123.0
2011-12-28,127.0
2011-12-29,125.0
2012-01-01,124.0
2012-01-02,123.0
2012-01-03,125.0
2012-01-05,123.0
2012-01-11,121.0
2012-01-12,109.0
2012-01-16,105.0
2012-01-17,110.0
2012-01-18,108.0
2012-01-19,107.0
2012-01-22,107.0
2012-01-23,109.0
2012-01-26,105.0
2012-01-29,108.0
2012-01-31,109.0
2012-02-01,108.0
2012-02-02,107.0
2012-02-05,105.0
2012-02-06,106.0
2012-02-07,106.0
2012-02-08,107.0
2012-02-09,106.0
2012-02-12,109.0
2012-02-13,109.0
2012-02-14,105.0
2012-02-15,108.0
2012-02-16,107.0
2012-02-21,106.0
2012-02-23,106.0
2012-02-26,105.0
2012-02-27,105.0
2012-02-28,105.0
2012-02-29,105.0
2012-03-01,105.0
2012-03-04,105.0
2012-03-05,109.0
2012-03-06,109.0
2012-03-11,107.0
2012-03-13,105.0
2012-03-14,107.0
2012-03-15,107.0
2012-03-18,108.0
2012-03-19,109.0
2012-03-20,109.0
2012-03-21,107.0
2012-03-25,105.0
2012-03-26,103.0
2012-03-27,104.0
2012-03-28,107.0
2012-03-29,106.0
2012-04-01,107.0
2012-04-02,109.0
2012-04-03,109.0
2012-04-04,109.0
2012-04-05,107.0
2012-04-08,106.0
2012-04-09,105.0
2012-04-10,105.0
2012-04-11,106.0
2012-04-12,110.0
2012-04-15,114.0
2012-04-17,118.0
2012-04-18,122.0
2012-04-19,122.0
2012-04-22,120.0
2012-04-26,126.0
2012-04-29,138.0
2012-04-30,144.0
2012-05-03,153.0
2012-05-07,156.0
2012-05-08,159.0
2012-05-09,162.0
2012-05-10,159.0
2012-05-13,163.0
2012-05-14,166.0
2012-05-15,169.0
2012-05-17,166.0
2012-05-30,172.0
2012-05-31,155.0
2012-06-03,140.0
2012-06-04,137.0
2012-06-05,124.0
2012-06-06,124.0
2012-06-07,123.0
2012-06-10,128.0
2012-06-11,123.0
2012-06-12,125.0
2012-06-13,126.0
2012-06-14,129.0
2012-06-17,132.0
2012-06-18,126.0
2012-06-19,130.0
2012-06-20,130.0
2012-06-21,129.0
2012-06-26,130.0
2012-06-27,126.0
2012-06-28,125.0
2012-07-01,130.0
2012-07-02,128.0
2012-07-03,125.0
2012-07-08,124.0
2012-07-09,126.0
2012-07-10,124.0
2012-07-11,127.0
2012-07-12,125.0
2012-07-15,130.0
2012-07-16,130.0
2012-07-17,128.0
2012-07-18,132.0
2012-07-19,132.0
2012-07-22,140.0
2012-07-23,141.0
2012-07-24,140.0
2012-07-25,141.0
2012-07-26,141.0
2012-07-29,145.0
2012-07-30,144.0
2012-07-31,141.0
2012-08-01,141.0
2012-08-05,144.0
2012-08-06,155.0
2012-08-07,155.0
2012-08-08,152.0
2012-08-12,150.0
2012-08-13,149.0
2012-08-14,150.0
2012-08-15,153.0
2012-08-16,152.0
2012-08-19,154.0
2012-08-21,150.0
2012-08-22,150.0
2012-08-23,160.0
2012-08-26,156.0
2012-08-27,150.0
2012-08-28,148.0
2012-08-29,149.0
2012-08-30,152.0
2012-09-02,152.0
2012-09-03,158.0
2012-09-04,159.0
2012-09-05,153.0
2012-09-06,156.0
2012-09-09,157.0
2012-09-10,154.0
2012-09-11,156.0
2012-09-12,154.0
2012-09-13,160.0
2012-09-16,160.0
2012-09-17,164.0
2012-09-18,158.0
2012-09-19,159.0
2012-09-20,160.0
2012-09-23,159.0
2012-09-24,157.0
2012-09-25,153.0
2012-09-26,158.0
2012-09-27,157.0
2012-10-03,154.0
2012-10-07,130.0
2012-10-09,130.0
2012-10-10,130.0
2012-10-11,130.0
2012-10-14,130.0
2012-11-01,130.0
2012-11-05,132.0
2012-11-06,133.0
2012-11-07,135.0
2012-11-08,133.0
2012-11-18,143.0
2012-11-20,145.0
2012-11-26,147.0
2012-11-29,143.0
2012-12-17,145.0
2012-12-19,149.0
2012-12-23,147.0
2012-12-27,145.0
2013-01-03,147.0
2013-01-06,144.0
2013-01-07,140.0
2013-01-10,138.0
2013-01-13,136.0
2013-01-15,136.0
2013-01-24,140.0
2013-02-04,136.0
2013-02-05,132.0
2013-02-07,131.0
2013-02-10,130.0
2013-02-12,130.0
2013-02-13,136.0
2013-02-14,134.0
2013-02-17,134.0
2013-02-19,136.0
2013-02-20,146.0
2013-02-21,146.0
2013-02-24,138.0
2013-02-25,136.0
2013-03-14,136.0
2013-03-18,138.0
2013-03-25,140.0
2013-04-01,124.0
2013-04-02,114.0
2013-04-03,112.0
2013-04-04,110.0
2013-04-07,110.0
2013-04-08,108.0
2013-04-09,118.0
2013-04-11,116.0
2013-04-15,116.0
2013-04-16,110.0
2013-04-17,112.0
2013-04-18,112.0
2013-04-21,112.0
2013-04-22,110.0
2013-04-23,108.0
2013-04-25,108.0
2013-04-29,107.0
2013-04-30,104.0
2013-05-02,104.0
2013-05-05,104.0
2013-05-06,102.0
2013-05-12,102.0
2013-05-13,100.0
2013-05-14,100.0
2013-05-16,102.0
2013-05-19,101.0
2013-05-21,100.0
2013-05-22,104.0
2013-05-23,106.0
2013-05-26,107.0
2013-05-27,105.0
2013-05-28,103.0
2013-05-30,104.0
2013-06-02,105.0
2013-06-03,105.0
2013-06-04,105.0
2013-06-06,105.0
2013-06-09,105.0
2013-06-10,105.0
2013-06-11,102.0
2013-06-12,101.0
2013-06-13,103.0
2013-06-17,105.0
2013-06-18,100.0
2013-06-19,101.0
2013-06-20,102.0
2013-06-23,102.0
2013-06-24,100.0
2013-06-25,99.0
2013-06-26,100.0
2013-06-27,98.0
2013-06-30,97.0
2013-07-01,106.0
2013-07-02,98.0
2013-07-03,99.0
2013-07-04,100.0
2013-07-07,97.0
2013-07-08,96.0
2013-07-09,99.0
2013-07-10,106.0
2013-07-11,104.0
2013-07-14,105.0
2013-07-15,104.0
2013-07-17,108.0
2013-07-21,108.0
2013-07-24,110.0
2013-07-25,107.0
2013-07-28,106.0
2013-07-29,105.0
2013-07-30,102.0
2013-07-31,108.0
2013-08-01,106.0
2013-08-04,106.0
2013-08-05,103.0
2013-08-07,102.0
2013-08-08,103.0
2013-08-11,99.0
2013-08-12,108.0
2013-08-13,117.0
2013-08-15,121.0
2013-08-18,112.0
2013-08-19,114.0
2013-08-20,115.0
2013-08-25,120.0
2013-08-26,120.0
2013-08-27,111.0
2013-08-29,115.0
2013-09-01,114.0
2013-09-02,116.0
2013-09-03,112.0
2013-09-04,110.0
2013-09-05,106.0
2013-09-08,107.0
2013-09-09,109.0
2013-09-10,112.0
2013-09-11,110.0
2013-09-12,117.0
2013-09-15,112.0
2013-09-16,113.0
2013-09-17,111.0
2013-09-19,112.0
2013-09-22,109.0
2013-09-23,108.0
2013-09-24,107.0
2013-09-25,110.0
2013-09-26,109.0
2013-09-29,108.0
2013-09-30,108.0
2013-10-01,106.0
2013-10-02,110.0
2013-10-03,108.0
2013-10-07,108.0
2013-10-10,113.0
2013-10-17,117.0
2013-10-20,117.0
2013-10-22,118.0
2013-10-23,117.0
2013-10-24,115.0
2013-10-27,115.0
2013-10-28,115.0
2013-10-29,123.0
2013-11-07,110.0
2013-11-10,102.0
2013-11-11,104.0
2013-11-13,104.0
2013-11-24,110.0
2013-11-25,116.0
2013-11-26,122.0
2013-11-27,134.0
2013-12-01,138.0
2013-12-02,138.0
2013-12-03,151.0
2013-12-04,163.0
2013-12-05,179.0
2013-12-08,184.0
2013-12-09,185.0
2013-12-10,179.0
2013-12-12,173.0
2013-12-15,173.0
2013-12-16,157.0
2013-12-18,163.0
2013-12-19,166.0
2013-12-22,166.0
2013-12-23,161.0
2013-12-24,164.0
2013-12-26,176.0
2013-12-29,191.0
2013-12-31,191.0
2014-01-01,182.0
2014-01-02,176.0
2014-01-05,173.0
2014-01-06,167.0
2014-01-07,162.0
2014-01-08,163.0
2014-01-09,167.0
2014-01-12,168.0
2014-01-13,168.0
2014-01-14,165.0
2014-01-16,168.0
2014-01-19,174.0
2014-01-20,173.0
2014-01-21,182.0
2014-01-22,200.0
2014-01-23,220.0
2014-01-26,242.0
2014-01-27,258.0
2014-01-28,262.0
2014-01-29,241.0
2014-02-02,241.0
2014-02-03,217.0
2014-02-04,230.0
2014-02-05,226.0
2014-02-06,238.0
2014-02-09,236.0
2014-02-10,239.0
2014-02-11,242.0
2014-02-12,235.0
2014-02-13,249.0
2014-02-16,265.0
2014-02-17,265.0
2014-02-18,265.0
2014-02-20,265.0
2014-02-23,244.0
2014-02-24,255.0
2014-02-25,270.0
2014-02-26,255.0
2014-03-03,258.0
2014-03-04,254.0
2014-03-05,255.0
2014-03-06,268.0
2014-03-09,260.0
2014-03-10,255.0
2014-03-11,245.0
2014-03-12,247.0
2014-03-13,244.0
2014-03-17,242.0
2014-03-18,230.0
2014-03-19,214.0
2014-03-20,226.0
2014-03-23,234.0
2014-03-24,232.0
2014-03-26,235.0
2014-03-27,230.0
2014-03-31,235.0
2014-04-01,239.0
2014-04-02,258.0
2014-04-03,256.0
2014-04-06,257.0
2014-04-07,238.0
2014-04-09,240.0
2014-04-10,242.0
2014-04-13,248.0
2014-04-15,255.0
2014-04-16,250.0
2014-04-17,244.0
2014-04-20,255.0
2014-04-21,257.0
2014-04-22,265.0
2014-04-23,268.0
2014-04-27,261.0
2014-04-28,245.0
2014-04-29,250.0
2014-04-30,251.0
2014-05-04,275.0
2014-05-05,286.0
2014-05-06,290.0
2014-05-07,319.0
2014-05-08,330.0
2014-05-11,325.0
2014-05-12,300.0
2014-05-13,312.0
2014-05-15,319.0
2014-05-18,308.0
2014-05-19,308.0
2014-05-20,305.0
2014-05-21,301.0
2014-05-22,312.0
2014-05-25,314.0
2014-05-26,308.0
2014-05-27,316.0
2014-05-28,316.0
2014-06-01,312.0
2014-06-02,306.0
2014-06-03,315.0
2014-06-04,333.0
2014-06-05,327.0
2014-06-08,311.0
2014-06-09,310.0
2014-06-10,310.0
2014-06-11,306.0
2014-06-12,305.0
2014-06-15,310.0
2014-06-16,307.0
2014-06-17,309.0
2014-06-18,313.0
2014-06-19,307.0
2014-06-23,308.0
2014-06-24,305.0
2014-06-25,310.0
2014-06-26,310.0
2014-06-29,311.0
2014-06-30,338.0
2014-07-01,329.0
2014-07-02,323.0
2014-07-03,325.0
2014-07-06,329.0
2014-07-07,328.0
2014-07-08,343.0
2014-07-09,348.0
2014-07-10,349.0
2014-07-13,348.0
2014-07-14,354.0
2014-07-15,348.0
2014-07-16,334.0
2014-07-17,338.0
2014-07-20,339.0
2014-07-21,372.0
2014-07-22,400.0
2014-07-23,392.0
2014-07-24,401.0
2014-07-27,440.0
2014-07-28,436.0
2014-07-30,425.0
2014-07-31,422.0
2014-08-03,431.0
2014-08-04,418.0
2014-08-05,412.0
2014-08-06,418.0
2014-08-07,418.0
2014-08-12,406.0
2014-08-13,398.0
2014-08-14,405.0
2014-08-18,400.0
2014-08-19,400.0
2014-08-20,396.0
2014-08-21,390.0
2014-08-24,414.0
2014-08-25,405.0
2014-08-26,390.0
2014-08-27,384.0
2014-08-28,396.0
2014-08-31,409.0
2014-09-01,396.0
2014-09-03,385.0
2014-09-04,385.0
2014-09-07,380.0
2014-09-09,373.0
2014-09-10,410.0
2014-09-11,388.0
2014-09-14,377.0
2014-09-15,380.0
2014-09-16,383.0
2014-09-17,387.0
2014-09-21,370.0
2014-09-22,350.0
2014-09-23,339.0
2014-09-24,351.0
2014-09-28,360.0
2014-09-30,367.0
2014-10-08,387.0
2014-10-09,380.0
2014-10-12,368.0
2014-10-13,385.0
2014-10-14,379.0
2014-10-15,375.0
2014-10-16,387.0
2014-10-19,400.0
2014-10-20,392.0
2014-10-21,397.0
2014-10-26,395.0
2014-10-27,392.0
2014-10-28,390.0
2014-10-30,393.0
2014-11-02,401.0
2014-11-03,390.0
2014-11-04,388.0
2014-11-05,379.0
2014-11-06,405.0
2014-11-09,400.0
2014-11-10,395.0
2014-11-11,375.0
2014-11-12,391.0
2014-11-13,299.0
2014-11-16,300.0
2014-11-18,294.0
2014-11-19,290.0
2014-11-20,300.0
2014-11-24,296.0
2014-11-30,291.0
