Date,Open
2002-11-26,150.0
2002-12-04,120.0
2002-12-05,108.0
2002-12-09,118.0
2002-12-10,125.0
2003-02-11,125.0
2003-04-07,125.0
2003-04-15,125.0
2003-04-17,125.0
2003-06-05,125.0
2003-06-09,125.0
2003-06-23,125.0
2003-06-25,125.0
2003-07-01,125.0
2003-07-03,125.0
2003-07-24,125.0
2003-08-07,125.0
2003-08-11,120.0
2003-08-14,120.0
2003-09-19,120.0
2003-11-05,122.0
2003-11-12,122.0
2003-11-13,118.0
2003-12-26,122.0
2004-01-01,122.0
2004-01-27,122.0
2004-02-05,120.0
2004-02-12,120.0
2004-03-03,125.0
2004-03-04,125.0
2004-03-08,125.0
2004-03-18,125.0
2004-05-03,125.0
2004-05-21,120.0
2004-07-29,124.0
2004-08-20,124.0
2004-12-02,125.0
2004-12-06,119.0
2004-12-07,114.0
2005-01-10,109.0
2005-01-17,107.0
2005-01-24,107.0
2005-02-14,107.0
2005-03-15,107.0
2005-06-02,107.0
2005-06-20,110.0
2005-07-25,110.0
2005-07-26,105.0
2005-08-22,105.0
2005-09-18,105.0
2006-07-10,105.0
2006-10-16,105.0
2007-01-03,105.0
2007-05-24,100.0
2007-08-14,100.0
2008-01-13,100.0
2008-07-31,102.0
2008-08-06,104.0
2008-09-15,102.0
2008-11-05,102.0
2008-12-07,106.0
2008-12-10,106.0
2008-12-11,110.0
2008-12-28,112.0
2008-12-29,123.0
2009-01-06,127.0
2009-02-02,123.0
2009-03-12,110.0
2009-05-06,112.0
2009-09-14,113.0
2009-12-24,111.0
2009-12-27,119.0
2009-12-28,123.0
2009-12-29,135.0
2009-12-31,148.0
2010-01-03,162.0
2010-01-07,177.0
2010-01-10,186.0
2010-01-11,195.0
2010-01-14,201.0
2010-01-19,213.0
2010-01-20,215.0
2010-01-21,217.0
2010-01-31,217.0
2010-02-09,215.0
2010-02-10,219.0
2010-03-17,229.0
2010-03-22,230.0
2010-04-06,230.0
2010-04-21,230.0
2010-06-10,230.0
