Date,Open
2007-03-21,100.0
2007-12-27,103.0
2008-05-27,105.0
2008-09-18,107.0
2009-05-14,109.0
2009-07-02,111.0
2009-12-28,113.0
2010-03-02,115.0
2010-05-16,115.0
2010-05-25,121.0
2010-05-26,123.0
2010-06-02,133.0
2010-06-03,135.0
2010-10-12,139.0
2010-10-25,143.0
2010-10-28,147.0
2010-11-04,149.0
2010-12-02,154.0
2011-07-20,160.0
2012-07-18,163.0
2012-12-09,165.0
2012-12-23,153.0
2013-03-24,150.0
2013-03-31,143.0
2013-04-01,141.0
2013-04-02,130.0
2013-04-03,120.0
2013-04-04,110.0
2013-04-07,99.0
2013-04-08,94.0
2013-05-08,85.0
2014-09-28,84.0
2014-10-20,87.0
2014-10-22,88.0
2014-11-05,89.0
2014-11-17,91.0
2014-12-15,92.0
2015-02-22,60.0
