Date,Open
2014-11-10,0.0
2014-11-11,300.0
2014-11-12,330.0
2014-11-13,363.0
2014-11-16,399.0
2014-11-17,407.0
2014-11-18,386.0
2014-11-19,380.0
2014-11-20,400.0
2014-11-23,440.0
2014-11-24,430.0
2014-11-25,426.0
2014-11-30,428.0
2014-12-01,457.0
2014-12-02,456.0
2014-12-03,437.0
2014-12-04,452.0
2014-12-08,449.0
2014-12-09,419.0
2014-12-10,415.0
2014-12-11,427.0
2014-12-14,427.0
2014-12-16,427.0
2014-12-17,419.0
2014-12-18,407.0
2014-12-21,405.0
2014-12-22,397.0
2014-12-23,402.0
2014-12-24,402.0
2014-12-28,410.0
2014-12-31,410.0
2015-01-01,410.0
2015-01-04,451.0
2015-01-05,496.0
2015-01-06,505.0
2015-01-07,485.0
2015-01-08,520.0
2015-01-11,515.0
2015-01-12,520.0
2015-01-13,525.0
2015-01-14,520.0
2015-01-18,572.0
2015-01-19,629.0
2015-01-20,691.0
2015-01-22,711.0
2015-01-25,725.0
2015-01-26,770.0
2015-01-27,790.0
2015-01-28,775.0
2015-01-29,759.0
2015-02-01,730.0
2015-02-02,780.0
2015-02-03,770.0
2015-02-04,766.0
2015-02-05,833.0
2015-02-08,878.0
2015-02-09,965.0
2015-02-10,963.0
2015-02-11,998.0
2015-02-12,1049.0
2015-02-15,1060.0
2015-02-16,1090.0
2015-02-18,1199.0
2015-02-22,1256.0
2015-02-23,1185.0
2015-02-24,1168.0
2015-02-25,1083.0
2015-02-26,1058.0
2015-03-01,1046.0
2015-03-02,1096.0
2015-03-03,1189.0
2015-03-04,1220.0
2015-03-09,1270.0
2015-03-10,1221.0
2015-03-12,1182.0
2015-03-15,1159.0
2015-03-16,1136.0
2015-03-17,1076.0
2015-03-18,1140.0
2015-03-19,1120.0
2015-03-22,1105.0
2015-03-23,1085.0
2015-03-24,1193.0
2015-03-25,1312.0
2015-03-26,1415.0
