Date,Open
2013-08-18,406.0
2013-08-19,292.0
2013-08-20,272.0
2013-08-25,258.0
2013-08-26,248.0
2013-08-27,244.0
2013-09-01,245.0
2013-09-03,239.0
2013-09-09,216.0
2013-09-10,195.0
2013-09-11,195.0
2013-09-12,202.0
2013-09-15,201.0
2013-09-16,200.0
2013-09-17,196.0
2013-09-19,198.0
2013-09-22,193.0
2013-09-23,198.0
2013-09-24,196.0
2013-09-25,199.0
2013-09-26,196.0
2013-09-29,196.0
2013-09-30,201.0
2013-10-01,198.0
2013-10-02,198.0
2013-10-03,196.0
2013-10-06,194.0
2013-10-07,195.0
2013-10-08,200.0
2013-10-09,200.0
2013-10-10,198.0
2013-10-29,200.0
2013-11-11,167.0
2013-11-14,170.0
2013-11-24,167.0
2013-11-26,173.0
2013-12-01,176.0
2013-12-02,188.0
2013-12-03,188.0
2013-12-05,197.0
2013-12-08,200.0
2013-12-10,204.0
2013-12-11,208.0
2013-12-12,208.0
2013-12-16,208.0
2013-12-18,216.0
2013-12-19,220.0
2013-12-22,224.0
2013-12-23,246.0
2013-12-24,250.0
2013-12-26,260.0
2013-12-29,275.0
2013-12-31,285.0
2014-01-01,296.0
2014-01-02,292.0
2014-01-05,277.0
2014-01-06,278.0
2014-01-07,283.0
2014-01-08,304.0
2014-01-09,316.0
2014-01-12,331.0
2014-01-13,354.0
2014-01-14,367.0
2014-01-16,368.0
2014-01-19,371.0
2014-01-20,371.0
2014-01-21,380.0
2014-01-22,397.0
2014-01-23,388.0
2014-01-26,382.0
2014-01-27,355.0
2014-01-28,338.0
2014-01-29,335.0
2014-02-02,336.0
2014-02-03,330.0
2014-02-04,363.0
2014-02-05,399.0
2014-02-06,394.0
2014-02-09,391.0
2014-02-10,377.0
2014-02-11,365.0
2014-02-12,372.0
2014-02-13,362.0
2014-02-16,375.0
2014-02-17,402.0
2014-02-18,387.0
2014-02-20,395.0
2014-02-23,410.0
2014-02-24,410.0
2014-02-25,425.0
2014-02-26,439.0
2014-03-03,425.0
2014-03-04,418.0
2014-03-05,410.0
2014-03-06,423.0
2014-03-09,405.0
2014-03-10,421.0
2014-03-11,418.0
2014-03-12,400.0
2014-03-13,400.0
2014-03-19,399.0
2014-03-20,386.0
2014-03-23,398.0
2014-03-24,391.0
2014-03-25,398.0
2014-03-26,405.0
2014-03-27,400.0
2014-03-31,417.0
2014-04-01,433.0
2014-04-02,430.0
2014-04-03,432.0
2014-04-06,422.0
2014-04-07,445.0
2014-04-09,432.0
2014-04-10,438.0
2014-04-13,444.0
2014-04-15,450.0
2014-04-16,450.0
2014-04-17,450.0
2014-04-20,445.0
2014-04-21,449.0
2014-04-22,450.0
2014-04-23,460.0
2014-04-27,464.0
2014-04-28,456.0
2014-04-29,455.0
2014-04-30,472.0
2014-05-04,470.0
2014-05-05,517.0
2014-05-06,535.0
2014-05-07,542.0
2014-05-08,535.0
2014-05-20,536.0
2014-05-21,429.0
2014-05-22,414.0
2014-05-25,406.0
2014-05-26,406.0
2014-05-27,405.0
2014-05-28,397.0
2014-06-01,405.0
2014-06-02,397.0
2014-06-03,401.0
2014-06-04,400.0
2014-06-05,389.0
2014-06-08,395.0
2014-06-09,390.0
2014-06-10,376.0
2014-06-11,361.0
2014-06-12,375.0
2014-06-15,392.0
2014-06-17,399.0
2014-06-18,385.0
2014-06-19,392.0
2014-06-23,385.0
2014-06-24,400.0
2014-06-25,392.0
2014-06-26,395.0
2014-06-29,395.0
2014-06-30,399.0
2014-07-01,395.0
2014-07-03,405.0
2014-07-07,395.0
2014-07-08,390.0
2014-07-09,428.0
2014-07-10,421.0
2014-07-13,424.0
2014-07-14,440.0
2014-07-15,416.0
2014-07-16,428.0
2014-07-17,425.0
2014-07-20,440.0
2014-07-21,450.0
2014-07-22,467.0
2014-07-23,449.0
2014-07-24,456.0
2014-07-27,465.0
2014-07-28,472.0
2014-07-30,494.0
2014-07-31,505.0
2014-08-03,493.0
2014-08-04,485.0
2014-08-05,476.0
2014-08-06,476.0
2014-08-07,485.0
2014-08-12,478.0
2014-08-13,469.0
2014-08-14,452.0
2014-08-18,451.0
2014-08-19,450.0
2014-08-20,468.0
2014-08-21,460.0
2014-08-24,452.0
2014-09-03,455.0
2014-09-04,430.0
2014-09-10,425.0
2014-09-14,420.0
2014-09-15,415.0
2014-09-16,403.0
2014-09-17,400.0
2014-09-21,390.0
2014-09-22,373.0
2014-09-23,353.0
2014-09-24,365.0
2014-09-28,360.0
2014-09-29,355.0
2014-09-30,355.0
2014-10-08,369.0
2014-10-09,363.0
2014-10-12,366.0
2014-10-13,360.0
2014-10-14,360.0
2014-10-15,342.0
2014-10-16,355.0
2014-10-19,359.0
2014-10-20,365.0
2014-10-21,368.0
2014-10-22,368.0
2014-10-26,365.0
2014-10-27,360.0
2014-10-28,355.0
2014-10-30,356.0
2014-11-02,362.0
2014-11-03,366.0
2014-11-04,357.0
2014-11-05,353.0
2014-11-06,371.0
2014-11-09,344.0
2014-11-10,351.0
2014-11-12,357.0
2014-11-19,345.0
2014-11-20,339.0
2014-11-24,336.0
2014-11-25,330.0
2014-12-03,328.0
2014-12-04,334.0
2014-12-07,328.0
2014-12-08,309.0
2014-12-09,298.0
2014-12-10,290.0
2014-12-11,306.0
2014-12-14,324.0
2014-12-15,325.0
2014-12-16,328.0
2014-12-17,330.0
2014-12-18,325.0
2014-12-21,321.0
2014-12-22,311.0
2014-12-23,311.0
2014-12-24,307.0
2014-12-28,313.0
2015-01-01,322.0
2015-01-04,340.0
2015-01-05,340.0
2015-01-06,341.0
2015-01-07,335.0
2015-01-08,324.0
2015-01-11,327.0
2015-01-12,315.0
2015-01-13,327.0
2015-01-14,330.0
2015-01-18,336.0
2015-01-19,346.0
2015-01-20,340.0
2015-01-22,345.0
2015-01-25,358.0
2015-01-26,367.0
2015-01-27,371.0
2015-01-28,374.0
2015-01-29,385.0
2015-02-01,385.0
2015-02-02,395.0
2015-02-03,395.0
2015-02-08,388.0
2015-02-09,390.0
2015-02-10,400.0
2015-02-11,380.0
2015-02-12,394.0
2015-02-15,380.0
2015-02-16,382.0
2015-02-18,380.0
2015-02-22,373.0
2015-02-23,362.0
2015-02-24,369.0
2015-02-25,363.0
2015-03-01,359.0
2015-03-02,365.0
2015-03-03,361.0
2015-03-04,366.0
2015-03-09,373.0
2015-03-10,376.0
2015-03-11,376.0
2015-03-12,370.0
2015-03-15,370.0
2015-03-16,370.0
2015-03-17,360.0
2015-03-18,367.0
2015-03-19,360.0
2015-03-22,355.0
2015-03-23,350.0
2015-03-24,345.0
2015-03-25,341.0
2015-03-26,341.0
