Date,Open
2007-03-29,223.0
2007-04-09,223.0
2007-04-10,223.0
2007-04-15,223.0
2007-04-22,223.0
2007-04-25,223.0
2007-05-06,223.0
2007-05-14,223.0
2007-05-21,223.0
2007-06-03,223.0
2007-06-04,223.0
2007-06-06,220.0
2007-06-19,225.0
2007-07-10,226.0
2007-07-11,227.0
2007-07-16,227.0
2007-07-19,227.0
2007-07-23,227.0
2007-07-26,227.0
2007-07-29,240.0
2007-08-01,240.0
2007-08-02,240.0
2007-08-05,240.0
2007-08-06,252.0
2007-08-09,252.0
2007-08-14,252.0
2007-08-27,252.0
2007-08-30,255.0
2007-09-02,255.0
2007-09-03,255.0
2007-09-05,255.0
2007-09-09,255.0
2007-09-18,270.0
2007-09-26,275.0
2007-09-30,300.0
2007-10-04,306.0
2007-10-11,312.0
2007-10-31,320.0
2007-11-14,320.0
2007-11-15,320.0
2007-11-20,308.0
2007-11-25,302.0
2007-11-26,300.0
2007-11-27,300.0
2007-11-28,300.0
2007-12-12,300.0
2007-12-26,295.0
2008-01-06,300.0
2008-01-21,312.0
2008-01-24,325.0
2008-02-04,325.0
2008-02-05,331.0
2008-03-11,330.0
2008-03-24,336.0
2008-03-25,324.0
2008-03-26,312.0
2008-05-11,305.0
2008-07-06,300.0
2008-07-23,306.0
2008-08-07,300.0
2008-08-12,306.0
2008-08-18,312.0
2008-08-20,312.0
2008-08-24,312.0
2008-08-25,312.0
2008-09-01,317.0
2008-09-09,323.0
2008-09-10,329.0
2008-09-11,325.0
2008-09-15,305.0
2008-10-01,299.0
2008-10-26,300.0
2008-12-24,300.0
2009-02-04,321.0
2009-03-05,303.0
2009-03-22,310.0
2009-03-23,310.0
2009-03-24,309.0
2009-04-05,305.0
2009-04-09,300.0
2009-04-12,305.0
2009-05-11,285.0
2009-06-23,285.0
2009-06-24,280.0
2009-07-05,275.0
2009-09-08,252.0
2009-09-15,247.0
2009-09-23,250.0
2009-10-11,250.0
2009-10-12,250.0
2009-10-21,241.0
2009-12-15,241.0
2009-12-17,237.0
2009-12-20,240.0
2009-12-22,244.0
2009-12-27,252.0
2009-12-28,250.0
2009-12-29,255.0
2010-01-03,251.0
2010-01-05,251.0
2010-01-06,251.0
2010-01-07,246.0
2010-01-10,251.0
2010-01-11,254.0
2010-01-12,255.0
2010-01-13,265.0
2010-01-14,265.0
2010-01-17,265.0
2010-01-19,276.0
2010-01-20,291.0
2010-01-21,313.0
2010-01-24,337.0
2010-01-25,361.0
2010-01-26,338.0
2010-01-27,335.0
2010-01-28,335.0
2010-01-31,331.0
2010-02-02,330.0
2010-02-03,330.0
2010-02-04,336.0
2010-02-07,342.0
2010-02-08,339.0
2010-02-09,327.0
2010-02-10,310.0
2010-02-11,312.0
2010-02-15,319.0
2010-02-16,319.0
2010-02-17,326.0
2010-02-18,330.0
2010-03-01,330.0
2010-05-25,330.0
2010-06-23,300.0
2010-07-06,300.0
2010-07-08,306.0
2010-07-20,311.0
2010-07-28,310.0
2010-08-09,304.0
2010-08-10,304.0
2010-08-17,305.0
2010-09-12,304.0
2010-09-13,304.0
2010-09-14,304.0
2010-09-15,298.0
2010-09-20,295.0
2010-09-27,295.0
2010-09-28,300.0
2010-10-26,300.0
2010-10-27,300.0
2010-10-28,300.0
2010-11-16,295.0
2010-11-23,301.0
2010-11-25,301.0
2010-11-29,301.0
2010-12-01,301.0
2010-12-28,301.0
2010-12-29,307.0
2011-01-02,307.0
2011-01-04,313.0
2011-01-05,313.0
2011-01-09,313.0
2011-01-20,313.0
2011-02-03,307.0
2011-02-10,313.0
2011-02-15,313.0
2011-02-16,319.0
2011-02-21,325.0
2011-03-01,331.0
2011-03-09,337.0
2011-03-17,298.0
2011-04-10,300.0
2011-04-27,301.0
2011-04-28,307.0
2011-05-25,307.0
2011-06-29,301.0
2011-07-26,300.0
2011-08-01,290.0
2011-08-02,290.0
2011-08-07,295.0
2011-08-09,300.0
2011-08-10,300.0
2011-08-11,301.0
2011-08-18,302.0
2011-08-25,308.0
2011-09-01,338.0
2011-09-04,346.0
2011-09-05,374.0
2011-09-07,360.0
2011-09-08,353.0
2011-09-13,357.0
2011-09-14,350.0
2011-09-15,345.0
2011-09-18,345.0
2011-09-19,339.0
2011-09-20,345.0
2011-09-21,345.0
2011-10-17,344.0
2011-10-19,345.0
2011-10-31,346.0
2011-11-02,352.0
2011-11-03,359.0
2011-11-06,366.0
2011-11-13,373.0
2011-11-15,375.0
2011-11-17,368.0
2011-12-04,373.0
2011-12-18,366.0
2011-12-21,359.0
2011-12-29,358.0
2012-01-02,351.0
2012-01-03,340.0
2012-01-05,346.0
2012-01-08,343.0
2012-01-11,344.0
2012-01-18,350.0
2012-01-26,350.0
2012-02-05,350.0
2012-02-06,350.0
2012-02-09,350.0
2012-02-12,345.0
2012-02-16,340.0
2012-02-21,340.0
2012-02-26,334.0
2012-03-13,328.0
2012-03-14,326.0
2012-03-20,320.0
2012-04-04,314.0
2012-04-05,308.0
2012-04-15,308.0
2012-04-19,314.0
2012-04-26,306.0
2012-04-29,300.0
2012-05-30,300.0
2012-06-03,306.0
2012-06-04,312.0
2012-06-05,318.0
2012-06-06,336.0
2012-06-07,361.0
2012-06-10,365.0
2012-06-11,350.0
2012-06-12,343.0
2012-06-13,340.0
2012-06-17,334.0
2012-06-18,331.0
2012-06-19,325.0
2012-06-20,337.0
2012-06-27,343.0
2012-07-04,337.0
2012-07-08,335.0
2012-07-09,335.0
2012-07-19,347.0
2012-07-26,353.0
2012-07-30,355.0
2012-07-31,390.0
2012-08-07,397.0
2012-08-12,420.0
2012-08-26,419.0
2012-08-27,460.0
2012-08-28,505.0
2012-08-29,555.0
2012-08-30,610.0
2012-09-02,622.0
2012-09-03,605.0
2012-09-04,600.0
2012-09-05,595.0
2012-09-06,584.0
2012-09-10,584.0
2012-09-11,610.0
2012-09-12,600.0
2012-09-13,615.0
2012-09-16,602.0
2012-09-17,620.0
2012-09-18,620.0
2012-09-19,635.0
2012-09-20,635.0
2012-09-23,635.0
2012-09-24,642.0
2012-09-25,630.0
2012-09-26,625.0
2012-09-27,640.0
2012-09-30,650.0
2012-10-01,650.0
2012-10-02,645.0
2012-10-03,645.0
2012-10-04,669.0
2012-10-07,669.0
2012-10-08,660.0
2012-10-09,665.0
2012-10-10,654.0
2012-10-11,652.0
2012-10-14,682.0
2012-10-15,685.0
2012-10-17,680.0
2012-10-18,692.0
2012-11-04,704.0
2012-11-05,680.0
2012-11-06,682.0
2012-11-07,700.0
2012-11-08,700.0
2012-11-11,690.0
2012-11-12,696.0
2012-11-18,695.0
2012-11-20,705.0
2012-11-21,733.0
2012-11-22,745.0
2012-11-25,751.0
2012-11-26,750.0
2012-11-27,760.0
2012-11-28,740.0
2012-11-29,727.0
2012-12-02,700.0
2012-12-03,690.0
2012-12-04,677.0
2012-12-05,690.0
2012-12-06,703.0
2012-12-09,689.0
2012-12-11,676.0
2012-12-13,689.0
2012-12-16,729.0
2012-12-17,724.0
2012-12-19,730.0
2012-12-20,716.0
2012-12-23,702.0
2012-12-24,715.0
2012-12-27,710.0
2012-12-31,724.0
2013-01-01,762.0
2013-01-02,748.0
2013-01-03,734.0
2013-01-06,720.0
2013-01-07,755.0
2013-01-08,785.0
2013-01-09,800.0
2013-01-10,827.0
2013-01-13,790.0
2013-01-15,845.0
2013-01-16,845.0
2013-01-17,825.0
2013-01-20,794.0
2013-01-21,784.0
2013-01-22,799.0
2013-01-23,800.0
2013-01-27,800.0
2013-01-28,800.0
2013-01-30,783.0
2013-01-31,775.0
2013-02-03,760.0
2013-02-05,785.0
2013-02-06,795.0
2013-02-07,795.0
2013-02-10,795.0
2013-02-12,800.0
2013-02-13,850.0
2013-02-14,870.0
2013-02-17,917.0
2013-02-19,936.0
2013-02-20,1028.0
2013-02-21,1015.0
2013-02-24,1016.0
2013-02-25,995.0
2013-02-26,1015.0
2013-02-27,1010.0
2013-02-28,1008.0
2013-03-03,1020.0
2013-03-04,1020.0
2013-03-05,995.0
2013-03-06,1000.0
2013-03-07,1000.0
2013-03-11,1020.0
2013-03-13,1010.0
2013-03-17,1015.0
2013-03-18,1030.0
2013-03-19,1025.0
2013-03-20,1000.0
2013-03-21,1040.0
2013-03-24,1039.0
2013-03-25,1008.0
2013-03-27,1028.0
2013-03-28,1025.0
2013-03-31,1005.0
2013-04-01,1010.0
2013-04-02,1010.0
2013-04-03,1030.0
2013-04-04,1011.0
2013-04-07,1005.0
2013-04-08,1019.0
2013-04-09,1003.0
2013-04-11,1010.0
2013-04-16,1030.0
2013-04-17,1025.0
2013-04-18,1035.0
2013-04-21,1065.0
2013-04-22,1044.0
2013-04-23,992.0
2013-04-25,1011.0
2013-04-28,1001.0
2013-04-29,995.0
2013-04-30,1010.0
2013-05-02,1000.0
2013-05-06,1000.0
2013-05-07,980.0
2013-05-08,998.0
2013-05-09,990.0
2013-05-12,975.0
2013-05-13,975.0
2013-05-14,1035.0
2013-05-15,1040.0
2013-05-16,1060.0
2013-05-19,1081.0
2013-05-20,1068.0
2013-05-21,1090.0
2013-05-22,1091.0
2013-05-23,1123.0
2013-05-26,1190.0
2013-05-27,1309.0
2013-05-28,1420.0
2013-05-30,1350.0
2013-06-02,1400.0
2013-06-03,1499.0
2013-06-04,1450.0
2013-06-05,1305.0
2013-06-06,1181.0
2013-06-09,1160.0
2013-06-10,1060.0
2013-06-11,1166.0
2013-06-12,1220.0
2013-06-13,1200.0
2013-06-19,1165.0
2013-06-20,575.0
2013-06-23,620.0
2013-06-27,620.0
2013-07-02,610.0
2013-07-03,570.0
2013-07-08,581.0
2013-07-09,581.0
2013-07-10,580.0
2013-07-11,580.0
2013-07-16,591.0
2013-07-17,614.0
2013-07-21,605.0
2013-07-22,617.0
2013-07-23,620.0
2013-07-24,682.0
2013-07-25,750.0
2013-07-28,765.0
2013-07-29,808.0
2013-07-30,800.0
2013-07-31,800.0
2013-08-01,792.0
2013-08-04,785.0
2013-08-05,716.0
2013-08-06,739.0
2013-08-07,755.0
2013-08-08,755.0
2013-08-12,764.0
2013-08-13,780.0
2013-08-14,790.0
2013-08-15,780.0
2013-08-18,795.0
2013-08-19,851.0
2013-08-20,840.0
2013-08-25,815.0
2013-08-26,814.0
2013-08-27,820.0
2013-08-29,818.0
2013-09-01,815.0
2013-09-02,801.0
2013-09-03,804.0
2013-09-04,790.0
2013-09-08,775.0
2013-09-09,780.0
2013-09-10,778.0
2013-09-11,735.0
2013-09-15,728.0
2013-09-16,728.0
2013-09-17,730.0
2013-09-19,752.0
2013-09-22,795.0
2013-09-23,782.0
2013-09-24,770.0
2013-09-25,767.0
2013-09-26,755.0
2013-09-29,780.0
2013-09-30,790.0
2013-10-01,791.0
2013-10-02,791.0
2013-10-03,784.0
2013-10-07,770.0
2013-10-08,775.0
2013-10-09,795.0
2013-10-10,795.0
2013-10-20,805.0
2013-10-21,810.0
2013-10-22,802.0
2013-10-23,810.0
2013-10-24,800.0
2013-10-28,790.0
2013-10-29,780.0
2013-10-30,790.0
2013-10-31,785.0
2013-11-06,795.0
2013-11-07,796.0
2013-11-10,800.0
2013-11-11,796.0
2013-11-12,801.0
2013-11-13,820.0
2013-11-14,835.0
2013-11-21,830.0
2013-11-24,856.0
2013-11-25,900.0
2013-11-26,901.0
2013-11-27,928.0
2013-11-28,900.0
2013-12-01,863.0
2013-12-02,930.0
2013-12-03,945.0
2013-12-04,1000.0
2013-12-05,1100.0
2013-12-08,1173.0
2013-12-09,1144.0
2013-12-10,1141.0
2013-12-11,1076.0
2013-12-12,1055.0
2013-12-15,1000.0
2013-12-16,1005.0
2013-12-19,1006.0
2013-12-22,1026.0
2013-12-23,990.0
2013-12-24,990.0
2013-12-26,980.0
2013-12-29,961.0
2013-12-31,980.0
2014-01-01,990.0
2014-01-02,981.0
2014-01-05,980.0
2014-01-06,980.0
2014-01-07,1020.0
2014-01-08,1012.0
2014-01-09,1030.0
2014-01-12,1015.0
2014-01-13,1060.0
2014-01-14,1166.0
2014-01-16,1282.0
2014-01-19,1305.0
2014-01-20,1255.0
2014-01-21,1200.0
2014-01-22,1195.0
2014-01-23,1161.0
2014-01-26,1162.0
2014-01-27,1173.0
2014-01-28,1171.0
2014-01-29,1190.0
2014-02-02,1161.0
2014-02-03,1151.0
2014-02-04,1160.0
2014-02-05,1161.0
2014-02-06,1171.0
2014-02-09,1200.0
2014-02-10,1175.0
2014-02-11,1190.0
2014-02-12,1165.0
2014-02-13,1150.0
2014-02-16,1150.0
2014-02-17,1180.0
2014-02-18,1240.0
2014-02-20,1319.0
2014-02-23,1305.0
2014-02-24,1305.0
2014-02-25,1305.0
2014-02-26,1300.0
2014-03-04,1300.0
2014-03-05,1220.0
2014-03-06,1225.0
2014-03-09,1210.0
2014-03-10,1175.0
2014-03-11,1196.0
2014-03-12,1190.0
2014-03-13,1186.0
2014-03-17,1200.0
2014-03-18,1176.0
2014-03-19,1160.0
2014-03-20,1150.0
2014-03-23,1152.0
2014-03-24,1168.0
2014-03-25,1214.0
2014-03-26,1200.0
2014-03-27,1178.0
2014-03-31,1190.0
2014-04-01,1258.0
2014-04-02,1260.0
2014-04-03,1263.0
2014-04-06,1260.0
2014-04-07,1226.0
2014-04-09,1225.0
2014-04-10,1212.0
2014-04-13,1210.0
2014-04-15,1220.0
2014-04-16,1225.0
2014-04-17,1245.0
2014-04-20,1270.0
2014-04-21,1290.0
2014-04-22,1298.0
2014-04-23,1290.0
2014-04-27,1290.0
2014-04-28,1290.0
2014-04-29,1285.0
2014-04-30,1255.0
2014-05-04,1280.0
2014-05-05,1298.0
2014-05-06,1282.0
2014-05-07,1232.0
2014-05-08,1256.0
2014-05-11,1226.0
2014-05-12,1210.0
2014-05-13,1234.0
2014-05-15,1295.0
2014-05-18,1300.0
2014-05-19,1318.0
2014-05-20,1327.0
2014-05-21,1351.0
2014-05-22,1370.0
2014-05-25,1390.0
2014-05-26,1469.0
2014-05-27,1470.0
2014-05-28,1430.0
2014-06-01,1399.0
2014-06-02,1380.0
2014-06-03,1382.0
2014-06-04,1371.0
2014-06-05,1335.0
2014-06-09,1112.0
2014-06-10,1124.0
2014-06-11,1120.0
2014-06-12,1130.0
2014-06-16,1100.0
2014-06-17,1120.0
2014-06-18,1135.0
2014-06-19,1155.0
2014-06-23,1140.0
2014-06-24,1162.0
2014-06-25,1183.0
2014-06-26,1175.0
2014-06-30,1197.0
2014-07-01,1180.0
2014-07-02,1220.0
2014-07-03,1240.0
2014-07-06,1275.0
2014-07-07,1300.0
2014-07-08,1352.0
2014-07-09,1350.0
2014-07-10,1352.0
2014-07-13,1326.0
2014-07-14,1300.0
2014-07-15,1275.0
2014-07-16,1250.0
2014-07-17,1260.0
2014-07-21,1250.0
2014-07-22,1310.0
2014-07-23,1286.0
2014-07-24,1275.0
2014-07-27,1309.0
2014-07-28,1305.0
2014-07-30,1330.0
2014-07-31,1282.0
2014-08-03,1265.0
2014-08-04,1270.0
2014-08-05,1250.0
2014-08-06,1240.0
2014-08-07,1225.0
2014-08-12,1240.0
2014-08-13,1250.0
2014-08-14,1235.0
2014-08-18,1235.0
2014-08-19,1270.0
2014-08-20,1247.0
2014-08-21,1225.0
2014-08-26,1210.0
2014-08-27,1190.0
2014-08-28,1200.0
2014-08-31,1201.0
2014-09-01,1200.0
2014-09-03,1140.0
2014-09-04,1150.0
2014-09-07,1127.0
2014-09-09,1083.0
2014-09-10,1040.0
2014-09-15,1085.0
2014-09-16,1070.0
2014-09-22,1051.0
2014-09-23,1055.0
2014-09-24,1060.0
2014-09-28,1081.0
2014-09-29,1100.0
2014-10-09,1126.0
2014-10-12,1140.0
2014-10-13,1160.0
2014-10-14,1137.0
2014-10-15,1150.0
2014-10-16,1164.0
2014-10-20,1140.0
2014-10-21,1179.0
2014-10-22,1191.0
2014-10-26,1215.0
2014-10-27,1255.0
2014-10-28,1300.0
2014-10-30,1280.0
2014-11-02,1289.0
2014-11-03,1270.0
2014-11-04,1221.0
2014-11-05,1191.0
2014-11-09,1224.0
2014-11-10,1200.0
2014-11-11,1176.0
2014-11-12,1155.0
2014-11-13,1178.0
2014-11-16,1159.0
2014-11-17,1160.0
