Date,Open
2006-06-12,205.0
2006-06-14,200.0
2006-06-22,200.0
2006-06-25,201.0
2006-07-24,200.0
2006-08-08,200.0
2006-08-17,200.0
2006-08-29,195.0
2006-09-04,200.0
2006-09-07,200.0
2006-09-10,195.0
2006-09-21,200.0
2006-10-12,205.0
2006-10-15,205.0
2006-11-27,205.0
2006-12-10,195.0
2006-12-17,200.0
2007-01-22,200.0
2007-01-31,210.0
2007-02-04,224.0
2007-02-07,235.0
2007-02-13,255.0
2007-02-18,267.0
2007-02-20,280.0
2007-02-21,294.0
2007-02-25,308.0
2007-02-26,323.0
2007-03-04,339.0
2007-03-05,339.0
2007-03-07,340.0
2007-04-03,323.0
2007-04-10,315.0
2007-04-11,300.0
2007-04-19,290.0
2007-04-23,290.0
2007-05-15,290.0
2007-05-16,300.0
2007-05-17,315.0
2007-05-20,322.0
2007-05-28,320.0
2007-06-07,320.0
2007-06-12,315.0
2007-06-24,315.0
2007-06-25,315.0
2007-06-26,315.0
2007-07-03,315.0
2007-07-10,300.0
2007-07-11,315.0
2007-07-16,315.0
2007-07-19,315.0
2007-07-30,315.0
2007-08-01,316.0
2007-08-02,331.0
2007-08-05,347.0
2007-08-07,350.0
2007-08-08,367.0
2007-08-13,385.0
2007-08-14,404.0
2007-08-15,443.0
2007-08-16,460.0
2007-08-20,469.0
2007-08-21,469.0
2007-08-22,460.0
2007-08-23,460.0
2007-08-24,460.0
2007-09-11,469.0
2007-09-13,475.0
2007-10-08,484.0
2007-10-15,480.0
2007-10-16,480.0
2007-11-08,471.0
2007-11-13,500.0
2007-11-14,530.0
2007-11-15,530.0
2007-12-03,540.0
2008-01-08,540.0
2008-01-17,530.0
2008-02-04,540.0
2008-02-12,550.0
2008-02-13,539.0
2008-02-17,530.0
2008-02-26,530.0
2008-03-16,530.0
2008-03-17,540.0
2008-03-19,540.0
2008-03-24,520.0
2008-03-25,510.0
2008-04-30,520.0
2008-05-05,500.0
2008-05-08,495.0
2008-05-12,500.0
2008-05-18,510.0
2008-05-22,521.0
2008-06-08,547.0
2008-06-09,557.0
2008-08-24,568.0
2008-08-26,484.0
2008-08-27,512.0
2008-08-31,532.0
2008-09-02,563.0
2008-09-03,585.0
2008-09-04,643.0
2008-09-10,707.0
2008-09-15,777.0
2008-09-16,854.0
2008-09-17,871.0
2008-09-18,958.0
2008-09-24,1015.0
2008-09-25,1065.0
2008-09-28,1107.0
2008-10-01,1130.0
2008-10-13,1135.0
2008-10-19,1113.0
2008-10-20,1091.0
2008-10-21,1115.0
2008-10-22,1136.0
2008-10-23,1140.0
2008-12-08,1162.0
2008-12-14,1016.0
2008-12-17,995.0
2009-02-02,980.0
2009-02-04,882.0
2009-02-05,815.0
2009-02-15,799.0
2009-02-16,770.0
2009-02-17,726.0
2009-02-19,730.0
