Date,Open
2010-11-24,81.0
2010-11-25,325.0
2010-12-22,293.0
2010-12-23,279.0
2011-01-03,274.0
2011-01-04,261.0
2011-02-02,248.0
2011-02-10,236.0
2011-02-13,225.0
2011-02-14,203.0
2011-02-15,183.0
2011-02-16,165.0
2011-02-17,149.0
2011-02-20,135.0
2011-02-21,127.0
2011-02-22,128.0
2011-02-23,126.0
2011-02-24,123.0
2011-02-27,129.0
2011-02-28,129.0
2011-03-01,119.0
2011-03-03,118.0
2011-03-07,118.0
2011-03-09,118.0
2011-03-10,118.0
2011-03-13,120.0
2011-03-14,114.0
2011-03-15,118.0
2011-03-16,115.0
2011-03-17,112.0
2011-03-20,116.0
2011-03-21,113.0
2011-03-22,111.0
2011-03-23,110.0
2011-03-24,113.0
2011-03-27,113.0
2011-03-28,110.0
2011-03-29,105.0
2011-03-30,103.0
2011-03-31,104.0
2011-04-04,108.0
2011-04-05,112.0
2011-04-06,108.0
2011-04-07,109.0
2011-04-10,108.0
2011-04-11,105.0
2011-04-13,105.0
2011-04-17,105.0
2011-04-18,102.0
2011-04-19,104.0
2011-04-20,103.0
2011-04-21,106.0
2011-04-25,101.0
2011-04-27,98.0
2011-04-28,97.0
2011-05-02,104.0
2011-05-03,105.0
2011-05-04,100.0
2011-05-05,99.0
2011-05-08,101.0
2011-05-09,97.0
2011-05-10,101.0
2011-05-11,109.0
2011-05-12,101.0
2011-05-15,103.0
2011-05-16,109.0
2011-05-18,108.0
2011-05-19,107.0
2011-05-22,103.0
2011-05-23,103.0
2011-05-24,100.0
2011-05-25,104.0
2011-05-26,102.0
2011-05-30,100.0
2011-05-31,101.0
2011-06-01,106.0
2011-06-02,104.0
2011-06-05,103.0
2011-06-06,101.0
2011-06-07,98.0
2011-06-08,99.0
2011-06-09,97.0
2011-06-12,99.0
2011-06-13,97.0
2011-06-14,98.0
2011-06-15,98.0
2011-06-16,99.0
2011-06-19,99.0
2011-06-20,102.0
2011-06-21,108.0
2011-06-26,116.0
2011-06-27,114.0
2011-06-29,104.0
2011-06-30,98.0
2011-07-03,100.0
2011-07-04,101.0
2011-07-05,101.0
2011-07-06,102.0
2011-07-07,104.0
2011-07-10,108.0
2011-07-11,108.0
2011-07-12,108.0
2011-07-13,109.0
2011-07-14,115.0
2011-07-19,107.0
2011-07-20,105.0
2011-07-21,111.0
2011-07-24,114.0
2011-07-25,110.0
2011-07-26,114.0
2011-07-27,112.0
2011-07-28,108.0
2011-07-31,108.0
2011-08-01,110.0
2011-08-02,111.0
2011-08-03,109.0
2011-08-04,107.0
2011-08-07,108.0
2011-08-08,110.0
2011-08-09,105.0
2011-08-10,104.0
2011-08-11,106.0
2011-08-15,108.0
2011-08-16,109.0
2011-08-17,108.0
2011-08-18,108.0
2011-08-22,105.0
2011-08-23,104.0
2011-08-24,106.0
2011-08-25,107.0
2011-08-28,108.0
2011-08-29,106.0
2011-08-30,107.0
2011-09-01,107.0
2011-09-04,107.0
2011-09-05,106.0
2011-09-06,107.0
2011-09-07,106.0
2011-09-08,107.0
2011-09-12,107.0
2011-09-13,105.0
2011-09-14,105.0
2011-09-15,106.0
2011-09-18,105.0
2011-09-19,105.0
2011-09-20,105.0
2011-09-21,106.0
2011-09-22,106.0
2011-09-25,106.0
2011-09-26,108.0
2011-09-27,107.0
2011-09-29,110.0
2011-10-02,107.0
2011-10-12,108.0
2011-10-13,111.0
2011-10-16,112.0
2011-10-17,112.0
2011-10-18,110.0
2011-10-19,106.0
2011-10-20,108.0
2011-10-23,107.0
2011-10-24,108.0
2011-10-25,108.0
2011-10-30,107.0
2011-11-02,107.0
2011-11-03,109.0
2011-11-06,107.0
2011-11-08,109.0
2011-11-09,107.0
2011-11-10,108.0
2011-11-16,110.0
2011-11-17,107.0
2011-11-20,106.0
2011-11-23,106.0
2011-11-24,104.0
2011-11-27,104.0
2011-11-28,106.0
2011-11-29,108.0
2011-11-30,108.0
2011-12-01,106.0
2011-12-04,100.0
2011-12-05,103.0
2011-12-06,102.0
2011-12-07,101.0
2011-12-08,103.0
2011-12-11,104.0
2011-12-13,102.0
2011-12-14,105.0
2011-12-15,104.0
2011-12-18,103.0
2011-12-19,103.0
2011-12-20,103.0
2011-12-21,104.0
2011-12-22,103.0
2011-12-26,104.0
2011-12-27,102.0
2011-12-28,103.0
2011-12-29,103.0
2012-01-01,103.0
2012-01-08,102.0
2012-01-09,101.0
2012-01-10,100.0
2012-01-11,100.0
2012-01-12,100.0
2012-01-16,99.0
2012-01-17,99.0
2012-01-18,98.0
2012-01-22,98.0
2012-01-23,98.0
2012-01-25,96.0
2012-01-26,97.0
2012-01-29,96.0
2012-01-31,93.0
2012-02-01,93.0
2012-02-02,93.0
2012-02-05,92.0
2012-02-06,90.0
2012-02-07,91.0
2012-02-08,91.0
2012-02-09,90.0
2012-02-12,90.0
2012-02-13,91.0
2012-02-14,93.0
2012-02-15,92.0
2012-02-16,92.0
2012-02-21,90.0
2012-02-23,89.0
2012-02-26,88.0
2012-02-27,90.0
2012-02-28,89.0
2012-02-29,89.0
2012-03-01,89.0
2012-03-04,91.0
2012-03-05,89.0
2012-03-06,90.0
2012-03-11,91.0
2012-03-12,90.0
2012-03-13,90.0
2012-03-14,91.0
2012-03-15,90.0
2012-03-18,90.0
2012-03-19,90.0
2012-03-25,90.0
2012-03-26,91.0
2012-03-27,90.0
2012-03-28,90.0
2012-03-29,91.0
2012-04-01,92.0
2012-04-02,92.0
2012-04-03,90.0
2012-04-08,90.0
2012-04-19,92.0
2012-04-24,92.0
2012-04-26,91.0
2012-04-29,92.0
2012-05-07,93.0
2012-05-09,94.0
2012-05-13,95.0
2012-05-15,96.0
2012-05-17,104.0
2012-05-20,108.0
2012-06-05,110.0
2012-06-06,103.0
2012-06-07,98.0
2012-06-10,94.0
2012-06-12,90.0
2012-06-13,88.0
2012-06-14,86.0
2012-06-17,86.0
2012-06-18,82.0
2012-06-19,80.0
2012-06-20,81.0
2012-06-21,81.0
2012-06-25,84.0
2012-06-26,87.0
2012-06-27,85.0
2012-06-28,85.0
2012-07-02,87.0
2012-07-03,95.0
2012-07-04,95.0
2012-07-08,94.0
2012-07-15,94.0
2012-07-17,97.0
2012-07-18,89.0
2012-07-19,86.0
2012-07-22,85.0
2012-07-24,87.0
2012-07-29,86.0
2012-07-31,85.0
2012-08-01,83.0
2012-08-05,81.0
2012-08-06,80.0
2012-08-07,80.0
2012-08-08,81.0
2012-08-13,79.0
2012-08-14,80.0
2012-08-15,79.0
2012-08-16,79.0
2012-08-19,78.0
2012-08-23,78.0
2012-08-26,79.0
2012-08-27,80.0
2012-08-28,82.0
2012-08-29,82.0
2012-08-30,82.0
2012-09-02,81.0
2012-09-03,84.0
2012-09-04,85.0
2012-09-05,88.0
2012-09-09,88.0
2012-09-10,88.0
2012-09-11,86.0
2012-09-12,87.0
2012-09-17,86.0
2012-09-18,85.0
2012-09-19,84.0
2012-09-20,83.0
2012-09-23,81.0
2012-09-24,82.0
2012-09-25,79.0
2012-09-26,78.0
2012-09-27,78.0
2012-09-30,78.0
2012-10-01,75.0
2012-10-03,75.0
2012-10-04,74.0
2012-10-07,75.0
2012-10-08,74.0
2012-10-09,73.0
2012-10-10,75.0
2012-10-11,76.0
2012-10-14,76.0
2012-10-15,80.0
2012-10-17,79.0
2012-10-18,85.0
2012-10-30,84.0
2012-11-22,84.0
2012-12-02,83.0
2012-12-03,82.0
2012-12-04,81.0
2012-12-05,78.0
2012-12-06,77.0
2012-12-09,75.0
2012-12-10,75.0
2012-12-11,74.0
2012-12-17,70.0
2012-12-18,72.0
2012-12-19,71.0
2012-12-23,71.0
2012-12-24,70.0
2012-12-26,70.0
2012-12-27,69.0
2012-12-31,70.0
2013-01-01,69.0
2013-01-02,71.0
2013-01-03,70.0
2013-01-06,69.0
2013-01-10,70.0
2013-01-13,69.0
2013-01-16,70.0
2013-01-23,70.0
2013-01-24,71.0
2013-01-27,72.0
2013-01-28,68.0
