Date,Open
2007-03-29,45.0
2007-04-15,45.0
2007-04-16,47.0
2007-04-23,47.0
2007-04-26,45.0
2007-04-29,45.0
2007-05-10,45.0
2007-05-14,45.0
2007-05-15,47.0
2007-05-16,47.0
2007-05-17,49.0
2007-05-23,49.0
2007-06-19,51.0
2007-06-21,53.0
2007-07-15,55.0
2007-07-18,55.0
2007-08-13,55.0
2007-08-21,57.0
2007-08-30,58.0
2007-10-16,59.0
2007-12-24,58.0
2007-12-25,59.0
2008-01-13,59.0
2008-01-16,61.0
2008-03-13,62.0
2008-03-18,63.0
2008-04-03,64.0
2008-05-04,66.0
2008-05-26,67.0
2008-07-01,68.0
2008-09-07,68.0
2009-01-22,70.0
2009-02-10,73.0
2009-04-02,77.0
2009-07-16,78.0
2010-03-02,79.0
2010-06-08,78.0
2010-09-12,78.0
2010-09-15,78.0
2010-09-16,78.0
2010-09-19,79.0
2010-09-20,80.0
2010-09-26,80.0
2010-09-28,80.0
2010-09-30,80.0
2010-10-31,82.0
2010-11-14,82.0
2010-11-25,81.0
2010-11-28,82.0
2010-12-02,82.0
2011-01-20,82.0
2011-02-13,83.0
2011-03-16,84.0
2011-03-17,83.0
2011-03-21,83.0
2011-03-28,84.0
2011-03-29,85.0
2011-03-30,85.0
2011-05-02,85.0
2011-05-03,84.0
2011-05-10,84.0
2011-05-25,84.0
2011-06-07,87.0
2011-06-08,87.0
2011-06-09,87.0
2011-06-14,87.0
2011-06-19,88.0
2011-06-20,88.0
2011-07-11,87.0
2011-07-14,87.0
2011-08-09,87.0
2011-08-18,89.0
2011-08-23,92.0
2011-08-24,93.0
2011-08-25,95.0
2011-08-28,94.0
2011-08-29,93.0
2011-08-30,94.0
2011-09-04,93.0
2011-09-05,92.0
2011-09-12,91.0
2011-09-18,91.0
2011-09-25,88.0
2011-09-29,86.0
2011-11-09,85.0
2011-11-10,86.0
2011-11-17,86.0
2011-11-20,84.0
2011-11-21,84.0
2011-11-22,85.0
2011-12-12,84.0
2011-12-21,82.0
2011-12-27,83.0
2012-01-08,84.0
2012-01-31,83.0
2012-02-07,82.0
2012-02-21,82.0
2012-02-23,81.0
2012-02-27,79.0
2012-02-29,80.0
2012-03-05,79.0
2012-03-12,80.0
2012-03-15,81.0
2012-03-19,81.0
2012-03-20,80.0
2012-03-25,81.0
2012-03-27,81.0
2012-03-28,78.0
2012-04-01,78.0
2012-04-09,76.0
2012-05-22,74.0
2012-05-23,75.0
2012-05-24,76.0
2012-05-29,77.0
2012-05-30,81.0
2012-06-03,84.0
2012-06-04,85.0
2012-06-05,84.0
2012-06-07,83.0
2012-06-11,82.0
2012-06-12,82.0
2012-06-14,81.0
2012-06-19,82.0
2012-06-20,81.0
2012-06-25,82.0
2012-08-07,83.0
2012-08-22,82.0
2012-08-23,82.0
2012-08-26,83.0
2012-08-28,83.0
2012-08-29,83.0
2012-09-03,86.0
2012-09-04,85.0
2012-09-05,84.0
2012-09-06,85.0
2012-09-09,84.0
2012-09-11,84.0
2012-09-16,83.0
2012-09-17,82.0
2012-09-19,81.0
2012-09-20,82.0
2012-09-30,83.0
2012-10-01,82.0
2012-10-07,84.0
2012-10-08,84.0
2012-10-10,84.0
2012-10-11,85.0
2012-10-14,85.0
2012-10-17,85.0
2012-11-11,85.0
2012-11-27,85.0
2012-11-28,84.0
2012-12-11,84.0
2012-12-13,85.0
2012-12-19,85.0
2012-12-20,84.0
2012-12-26,84.0
2012-12-27,85.0
2012-12-31,87.0
2013-01-01,86.0
2013-01-02,86.0
2013-01-06,85.0
2013-01-07,86.0
2013-01-17,85.0
2013-01-20,86.0
2013-01-23,86.0
2013-01-27,86.0
2013-01-28,87.0
2013-01-30,89.0
2013-01-31,94.0
2013-02-03,97.0
2013-02-04,100.0
2013-02-05,98.0
2013-02-06,98.0
2013-02-07,99.0
2013-02-10,100.0
2013-02-12,100.0
2013-02-13,100.0
2013-02-14,100.0
2013-02-19,100.0
2013-02-20,100.0
2013-02-21,99.0
2013-02-25,100.0
2013-02-27,102.0
2013-02-28,101.0
2013-03-03,100.0
2013-03-04,100.0
2013-03-05,100.0
2013-03-07,101.0
2013-03-11,101.0
2013-03-13,101.0
2013-03-17,102.0
2013-03-18,100.0
2013-03-19,100.0
2013-03-20,100.0
2013-03-21,101.0
2013-03-27,101.0
2013-03-28,99.0
2013-03-31,98.0
2013-04-01,97.0
2013-04-03,101.0
2013-04-04,101.0
2013-04-07,100.0
2013-04-09,101.0
2013-04-11,102.0
2013-04-17,103.0
2013-04-18,105.0
2013-04-22,103.0
2013-04-23,104.0
2013-04-25,106.0
2013-04-30,108.0
2013-05-02,110.0
2013-05-09,110.0
2013-05-13,115.0
2013-05-22,115.0
2013-05-26,117.0
2013-05-27,119.0
2013-05-28,117.0
2013-05-30,120.0
2013-06-02,118.0
2013-06-03,117.0
2013-06-04,123.0
2013-06-05,123.0
2013-06-06,127.0
2013-06-09,127.0
2013-06-10,124.0
2013-06-11,123.0
2013-06-12,125.0
2013-06-13,125.0
2013-06-16,126.0
2013-06-18,123.0
2013-06-19,122.0
2013-06-20,124.0
2013-06-25,122.0
2013-06-26,121.0
2013-07-01,119.0
2013-07-04,115.0
2013-07-07,113.0
2013-07-08,102.0
2013-07-10,100.0
2013-07-16,100.0
2013-08-13,99.0
2013-08-14,98.0
2013-08-25,98.0
2013-08-26,98.0
2013-08-29,98.0
2013-09-01,99.0
2013-09-02,102.0
2013-09-03,100.0
2013-09-05,101.0
2013-09-09,101.0
2013-09-16,103.0
2013-09-17,103.0
2013-09-19,103.0
2013-09-24,111.0
2013-09-29,110.0
2013-09-30,106.0
2013-10-01,104.0
2013-10-02,108.0
2013-10-03,110.0
2013-10-07,113.0
2013-10-08,113.0
2013-10-28,111.0
2013-10-29,110.0
2013-10-30,110.0
2013-10-31,112.0
2013-11-11,111.0
2013-11-13,113.0
2013-11-25,113.0
2013-12-02,113.0
2013-12-03,117.0
2013-12-05,119.0
2013-12-08,117.0
2013-12-09,115.0
2013-12-10,113.0
2013-12-11,120.0
2013-12-12,130.0
2013-12-15,128.0
2013-12-22,130.0
2013-12-23,132.0
2013-12-26,134.0
2013-12-29,132.0
2013-12-31,132.0
2014-01-01,135.0
2014-01-02,137.0
2014-01-05,145.0
2014-01-06,159.0
2014-01-07,174.0
2014-01-08,191.0
2014-01-09,210.0
2014-01-12,219.0
2014-01-13,212.0
2014-01-14,210.0
2014-01-16,210.0
2014-01-19,206.0
2014-01-20,202.0
2014-01-26,198.0
2014-01-27,195.0
2014-01-28,189.0
2014-01-29,183.0
2014-02-02,186.0
2014-02-06,182.0
2014-02-09,179.0
2014-02-10,196.0
2014-02-11,195.0
2014-02-12,200.0
2014-02-13,220.0
2014-02-16,242.0
2014-02-17,251.0
2014-02-18,243.0
2014-02-20,262.0
2014-02-23,255.0
2014-02-24,260.0
2014-02-25,245.0
2014-02-26,246.0
2014-03-03,249.0
2014-03-04,245.0
2014-03-05,241.0
2014-03-06,239.0
2014-03-09,240.0
2014-03-10,239.0
2014-03-11,239.0
2014-03-12,239.0
2014-03-13,236.0
2014-03-17,232.0
2014-03-18,224.0
2014-03-19,216.0
2014-03-20,217.0
2014-03-23,223.0
2014-03-24,203.0
2014-03-25,206.0
2014-03-26,226.0
2014-03-27,246.0
2014-03-31,270.0
2014-04-01,285.0
2014-04-02,280.0
2014-04-03,260.0
2014-04-06,262.0
2014-04-07,252.0
2014-04-09,236.0
2014-04-10,249.0
2014-04-13,250.0
2014-04-15,250.0
2014-04-16,265.0
2014-04-17,262.0
2014-04-20,265.0
2014-04-21,260.0
2014-04-22,255.0
2014-04-23,257.0
2014-04-27,282.0
2014-04-28,310.0
2014-04-29,333.0
2014-04-30,348.0
2014-05-04,382.0
2014-05-05,395.0
2014-05-06,394.0
2014-05-08,366.0
2014-05-11,345.0
2014-05-12,346.0
2014-05-13,346.0
2014-05-15,334.0
2014-05-18,327.0
2014-05-19,315.0
2014-05-20,297.0
2014-05-21,306.0
2014-05-22,300.0
2014-05-25,290.0
2014-05-26,295.0
2014-05-27,310.0
2014-05-28,303.0
2014-06-01,316.0
2014-06-02,316.0
2014-06-04,317.0
2014-06-05,300.0
2014-06-08,315.0
2014-06-09,309.0
2014-06-10,310.0
2014-06-11,309.0
2014-06-12,300.0
2014-06-15,306.0
2014-06-16,294.0
2014-06-17,294.0
2014-06-18,297.0
2014-06-19,303.0
2014-06-23,300.0
2014-06-24,295.0
2014-06-25,306.0
2014-06-26,336.0
2014-06-29,330.0
2014-06-30,336.0
2014-07-01,328.0
2014-07-02,320.0
2014-07-03,328.0
2014-07-06,312.0
2014-07-07,310.0
2014-07-08,310.0
2014-07-09,312.0
2014-07-10,309.0
2014-07-13,315.0
2014-07-14,310.0
2014-07-15,310.0
2014-07-16,307.0
2014-07-17,309.0
2014-07-20,318.0
2014-07-21,324.0
2014-07-22,320.0
2014-07-23,324.0
2014-07-24,319.0
2014-07-27,320.0
2014-07-30,310.0
2014-08-03,307.0
2014-08-04,305.0
2014-08-05,302.0
2014-08-06,300.0
2014-08-07,301.0
2014-08-12,300.0
2014-08-13,290.0
2014-08-14,290.0
2014-08-18,295.0
2014-08-19,291.0
2014-08-20,291.0
2014-08-21,288.0
2014-08-24,283.0
2014-08-25,282.0
2014-08-26,277.0
2014-08-27,272.0
2014-08-28,275.0
2014-08-31,280.0
2014-09-01,270.0
2014-09-03,261.0
2014-09-07,252.0
2014-09-09,241.0
2014-09-10,233.0
2014-09-11,235.0
2014-09-14,240.0
2014-09-15,240.0
2014-09-16,236.0
2014-09-17,235.0
2014-09-21,239.0
2014-09-23,243.0
2014-09-24,240.0
2014-09-28,252.0
2014-09-29,264.0
2014-09-30,269.0
2014-10-08,295.0
2014-10-09,281.0
2014-10-12,281.0
2014-10-13,276.0
2014-10-14,275.0
2014-10-15,271.0
2014-10-16,265.0
2014-10-19,271.0
2014-10-20,280.0
2014-10-21,281.0
2014-10-22,299.0
2014-10-26,309.0
2014-10-27,303.0
2014-10-28,308.0
2014-10-30,302.0
2014-11-02,300.0
2014-11-03,300.0
2014-11-04,300.0
2014-11-05,291.0
2014-11-06,295.0
2014-11-09,291.0
2014-11-10,286.0
2014-11-11,287.0
2014-11-12,284.0
2014-11-13,300.0
2014-11-16,300.0
2014-11-17,290.0
2014-11-18,280.0
2014-11-19,280.0
2014-11-20,280.0
2014-11-23,281.0
2014-11-24,275.0
2014-11-25,275.0
2014-11-30,283.0
2014-12-03,280.0
2014-12-04,260.0
2014-12-07,260.0
2014-12-08,257.0
2014-12-10,265.0
2014-12-11,269.0
2014-12-15,265.0
2014-12-16,274.0
2014-12-18,266.0
2014-12-21,276.0
2014-12-23,280.0
2014-12-29,270.0
2014-12-31,260.0
2015-01-01,262.0
2015-01-04,263.0
2015-01-05,260.0
2015-01-06,258.0
2015-01-07,258.0
2015-01-08,269.0
2015-01-11,274.0
2015-01-12,290.0
2015-01-13,285.0
2015-01-14,290.0
2015-01-18,288.0
2015-01-19,279.0
2015-01-20,284.0
2015-01-22,285.0
2015-01-25,285.0
2015-01-26,285.0
2015-01-27,281.0
2015-01-28,288.0
2015-01-29,295.0
2015-02-01,285.0
2015-02-02,290.0
2015-02-03,274.0
2015-02-04,278.0
2015-02-08,282.0
2015-02-09,281.0
2015-02-10,273.0
2015-02-11,271.0
2015-02-12,276.0
2015-02-15,281.0
2015-02-16,276.0
2015-02-18,279.0
2015-02-22,274.0
2015-02-23,277.0
2015-02-24,272.0
2015-02-25,272.0
2015-03-01,267.0
2015-03-02,275.0
2015-03-03,275.0
2015-03-04,278.0
2015-03-09,275.0
2015-03-10,275.0
2015-03-11,272.0
2015-03-12,275.0
2015-03-15,271.0
2015-03-16,273.0
2015-03-17,273.0
2015-03-18,268.0
2015-03-19,270.0
2015-03-22,270.0
2015-03-24,270.0
2015-03-25,266.0
2015-03-26,266.0
