Date,Open
2010-11-10,0.0
2010-11-11,359.0
2010-11-14,351.0
2010-11-15,334.0
2010-11-23,318.0
2010-12-13,310.0
2010-12-19,295.0
2010-12-22,281.0
2010-12-26,267.0
2011-01-02,254.0
2011-01-03,245.0
2011-01-04,233.0
2011-01-06,222.0
2011-01-13,200.0
2011-01-16,181.0
2011-01-18,166.0
2011-01-19,158.0
2011-01-20,143.0
2011-01-23,130.0
2011-01-24,130.0
2011-01-31,133.0
2011-02-01,132.0
2011-02-02,133.0
2011-02-03,139.0
2011-02-06,136.0
2011-02-07,141.0
2011-02-08,134.0
2011-02-09,130.0
2011-02-10,132.0
2011-02-13,132.0
2011-02-14,130.0
2011-02-15,128.0
2011-02-16,129.0
2011-02-17,141.0
2011-02-20,148.0
2011-02-21,136.0
2011-02-22,134.0
2011-02-23,132.0
2011-02-24,132.0
2011-02-27,130.0
2011-02-28,130.0
2011-03-01,132.0
2011-03-03,130.0
2011-03-07,127.0
2011-03-09,129.0
2011-03-10,128.0
2011-03-13,127.0
2011-03-14,124.0
2011-03-15,125.0
2011-03-16,117.0
2011-03-17,119.0
2011-03-20,120.0
2011-03-21,122.0
2011-03-22,120.0
2011-03-23,117.0
2011-03-24,116.0
2011-03-27,117.0
2011-03-28,112.0
2011-03-30,111.0
2011-03-31,107.0
2011-04-04,105.0
2011-04-05,111.0
2011-04-06,110.0
2011-04-07,109.0
2011-04-10,108.0
2011-04-11,115.0
2011-04-17,111.0
2011-04-19,118.0
2011-04-20,114.0
2011-04-21,114.0
2011-04-25,107.0
2011-04-27,104.0
2011-04-28,101.0
2011-05-02,104.0
2011-05-03,101.0
2011-05-05,100.0
2011-05-08,100.0
2011-05-09,99.0
2011-05-10,100.0
2011-05-12,100.0
2011-05-15,104.0
2011-05-16,100.0
2011-05-18,100.0
2011-05-23,97.0
2011-05-24,96.0
2011-05-31,96.0
2011-06-01,97.0
2011-06-02,96.0
2011-06-05,98.0
2011-06-06,100.0
2011-06-08,98.0
2011-06-09,99.0
2011-06-12,98.0
2011-06-13,97.0
2011-06-14,93.0
2011-06-15,89.0
2011-06-16,88.0
2011-06-19,88.0
2011-06-20,88.0
2011-06-27,90.0
2011-06-29,86.0
2011-07-03,85.0
2011-07-04,84.0
2011-07-05,82.0
2011-07-06,81.0
2011-07-07,81.0
2011-07-13,82.0
2011-07-14,81.0
2011-07-19,82.0
2011-07-20,81.0
2011-07-21,82.0
2011-07-24,84.0
2011-07-25,86.0
2011-07-27,86.0
2011-07-28,87.0
2011-07-31,88.0
2011-08-02,93.0
2011-08-03,100.0
2011-08-04,100.0
2011-08-07,100.0
2011-08-08,100.0
2011-08-15,98.0
2011-08-16,97.0
2011-08-18,98.0
2011-08-22,98.0
2011-08-23,96.0
2011-08-24,96.0
2011-08-28,95.0
2011-09-01,95.0
2011-09-04,95.0
2011-09-05,95.0
2011-09-06,96.0
2011-09-07,95.0
2011-09-08,93.0
2011-09-12,89.0
2011-09-14,86.0
2011-09-15,85.0
2011-09-18,84.0
2011-09-19,83.0
2011-09-21,84.0
2011-09-22,84.0
2011-09-25,85.0
2011-09-29,85.0
2011-10-02,84.0
2011-10-09,83.0
2011-10-10,80.0
2011-10-13,80.0
2011-10-17,80.0
2011-10-23,80.0
2011-10-30,79.0
2011-11-09,80.0
2011-11-13,80.0
2011-11-14,78.0
2011-11-15,79.0
2011-11-16,81.0
2011-11-21,80.0
2011-11-22,79.0
2011-11-23,80.0
2011-11-27,78.0
2011-11-28,77.0
2011-11-29,77.0
2011-12-07,78.0
2011-12-11,78.0
2011-12-14,78.0
2011-12-15,76.0
2011-12-18,73.0
2011-12-19,70.0
2011-12-20,71.0
2011-12-21,71.0
2011-12-22,70.0
2011-12-27,70.0
2011-12-28,69.0
2012-01-01,68.0
2012-01-02,68.0
2012-01-03,68.0
2012-01-04,68.0
2012-01-05,68.0
2012-01-09,67.0
2012-01-10,68.0
2012-01-11,66.0
2012-01-12,69.0
2012-01-18,69.0
2012-01-22,70.0
2012-01-23,68.0
2012-01-26,68.0
2012-01-29,69.0
2012-02-01,71.0
2012-02-02,73.0
2012-02-06,74.0
2012-02-07,73.0
2012-02-08,74.0
2012-02-09,78.0
2012-02-12,79.0
2012-02-13,81.0
2012-02-14,86.0
2012-02-16,88.0
2012-02-23,87.0
2012-02-26,88.0
2012-02-27,90.0
2012-02-28,92.0
2012-02-29,94.0
2012-03-01,89.0
2012-03-04,88.0
2012-03-05,87.0
2012-03-12,85.0
2012-03-13,84.0
2012-03-14,83.0
2012-03-18,84.0
2012-03-19,85.0
2012-03-20,84.0
2012-03-21,82.0
2012-03-25,82.0
2012-03-26,81.0
2012-03-27,80.0
2012-03-28,81.0
2012-03-29,82.0
2012-04-01,81.0
2012-04-02,82.0
2012-04-03,83.0
2012-04-04,84.0
2012-04-05,84.0
2012-04-08,83.0
2012-04-09,84.0
2012-04-11,85.0
2012-04-12,86.0
