Date,Open
2007-04-01,225.0
2007-04-11,225.0
2007-04-17,214.0
2007-04-19,214.0
2007-04-29,204.0
2007-04-30,202.0
2007-05-07,202.0
2007-05-15,202.0
2007-05-29,200.0
2007-05-30,198.0
2007-05-31,198.0
2007-06-03,190.0
2007-06-04,181.0
2007-06-05,172.0
2007-06-10,175.0
2007-06-12,175.0
2007-06-20,175.0
2007-06-25,175.0
2007-07-16,175.0
2007-07-22,175.0
2007-07-25,184.0
2007-07-26,193.0
2007-07-29,193.0
2007-08-01,206.0
2007-08-02,206.0
2007-08-07,207.0
2007-08-09,207.0
2007-08-13,210.0
2007-08-19,210.0
2007-08-21,206.0
2007-08-24,206.0
2007-09-05,206.0
2007-09-06,205.0
2007-09-12,205.0
2007-09-23,201.0
2007-09-24,201.0
2007-10-01,205.0
2007-10-04,209.0
2007-10-10,213.0
2007-10-14,217.0
2007-10-16,221.0
2007-10-17,225.0
2007-11-06,225.0
2007-11-13,229.0
2007-11-15,241.0
2007-11-19,245.0
2007-11-25,246.0
2007-12-11,245.0
2007-12-12,241.0
2007-12-17,235.0
2007-12-18,231.0
2007-12-19,235.0
2007-12-20,239.0
2007-12-24,247.0
2007-12-26,251.0
2007-12-27,261.0
2008-01-07,271.0
2008-01-08,276.0
2008-01-17,266.0
2008-01-24,261.0
2008-01-28,261.0
2008-01-31,256.0
2008-02-03,261.0
2008-02-04,261.0
2008-02-06,266.0
2008-02-11,270.0
2008-02-12,275.0
2008-02-14,270.0
2008-02-17,265.0
2008-02-18,265.0
2008-02-20,263.0
2008-02-25,268.0
2008-02-26,265.0
2008-02-28,270.0
2008-03-02,275.0
2008-03-04,275.0
2008-03-05,280.0
2008-03-13,285.0
2008-03-16,281.0
2008-03-20,281.0
2008-03-23,286.0
2008-03-24,291.0
2008-03-25,286.0
2008-03-26,291.0
2008-03-27,291.0
2008-03-30,303.0
2008-03-31,297.0
2008-04-01,301.0
2008-04-02,300.0
2008-04-06,290.0
2008-04-16,285.0
2008-04-24,280.0
2008-04-27,285.0
2008-04-28,290.0
2008-04-29,290.0
2008-05-04,290.0
2008-05-05,290.0
2008-05-06,290.0
2008-05-07,310.0
2008-05-08,313.0
2008-05-12,310.0
2008-05-13,340.0
2008-05-14,373.0
2008-05-15,409.0
2008-05-18,449.0
2008-05-21,493.0
2008-05-22,542.0
2008-05-25,596.0
2008-05-26,655.0
2008-05-27,680.0
2008-06-01,692.0
2008-06-02,705.0
2008-06-03,680.0
2008-06-04,695.0
2008-06-05,680.0
2008-06-08,700.0
2008-06-09,728.0
2008-06-10,745.0
2008-06-11,760.0
2008-06-12,750.0
2008-06-15,760.0
2008-06-16,775.0
2008-06-17,790.0
2008-06-18,775.0
2008-06-19,775.0
2008-06-22,775.0
2008-06-23,800.0
2008-06-24,816.0
2008-06-25,825.0
2008-06-26,870.0
2008-06-29,820.0
2008-06-30,810.0
2008-07-01,803.0
2008-07-02,820.0
2008-07-03,821.0
2008-07-06,811.0
2008-07-07,812.0
2008-07-08,795.0
2008-07-09,785.0
2008-07-23,805.0
2008-07-29,506.0
2008-07-30,556.0
2008-07-31,611.0
2008-08-10,672.0
2008-08-11,680.0
2008-08-13,667.0
2008-08-14,703.0
2008-08-18,700.0
2008-08-19,714.0
2008-08-20,715.0
2008-08-24,710.0
2008-08-25,700.0
2008-08-26,700.0
2008-09-01,680.0
2008-09-04,667.0
2008-09-07,670.0
2008-09-08,670.0
2008-09-09,665.0
2008-09-10,655.0
2008-09-11,625.0
2008-09-15,605.0
2008-09-16,601.0
2008-09-17,661.0
2008-09-18,727.0
2008-09-21,795.0
2008-09-22,795.0
2008-09-23,785.0
2008-09-24,760.0
2008-09-25,742.0
2008-09-28,744.0
2008-09-29,773.0
2008-10-01,773.0
2008-10-15,773.0
2008-10-20,729.0
2008-10-21,715.0
2008-10-22,700.0
2008-10-23,690.0
2008-10-26,675.0
2008-11-02,675.0
2008-11-05,660.0
2008-11-06,647.0
2008-11-09,600.0
2008-11-10,540.0
2008-11-11,510.0
2008-11-13,525.0
2008-11-16,521.0
2008-11-17,530.0
2008-11-18,530.0
2008-11-19,520.0
2008-11-20,510.0
2008-11-23,490.0
2008-11-26,490.0
2008-11-27,490.0
2008-12-01,490.0
2008-12-04,490.0
2008-12-14,480.0
2008-12-15,495.0
2008-12-17,480.0
2008-12-18,500.0
2008-12-21,505.0
2008-12-22,515.0
2008-12-23,525.0
2008-12-24,545.0
2008-12-28,535.0
2009-01-15,530.0
2009-01-21,540.0
2009-03-19,530.0
2009-04-12,520.0
2009-04-26,520.0
2009-07-07,520.0
2009-07-13,510.0
2009-07-19,520.0
2009-07-27,510.0
2009-08-02,500.0
2009-08-03,490.0
2009-08-20,481.0
2009-08-24,478.0
2009-09-22,503.0
2009-10-11,470.0
2009-11-03,461.0
2009-11-04,415.0
2009-11-22,407.0
2009-12-16,392.0
2009-12-17,409.0
2009-12-20,429.0
2009-12-21,405.0
2009-12-23,425.0
2010-01-03,438.0
2010-01-18,450.0
2010-01-19,433.0
2010-01-24,445.0
2010-01-28,467.0
2010-02-02,490.0
2010-03-30,463.0
2010-03-31,440.0
2010-06-06,462.0
2010-06-17,453.0
2010-06-24,444.0
2010-07-15,428.0
2010-10-21,451.0
2010-11-10,434.0
2010-12-14,409.0
2011-02-22,379.0
2011-03-03,339.0
2011-03-07,306.0
2011-03-09,281.0
2011-03-14,271.0
2011-03-15,258.0
2011-03-16,234.0
2011-03-22,226.0
2011-03-23,222.0
2011-04-05,214.0
2011-04-07,204.0
2011-04-10,184.0
2011-04-11,187.0
2011-04-13,180.0
2011-04-17,168.0
2011-04-18,165.0
2011-04-20,162.0
2011-04-21,146.0
2011-04-26,140.0
2011-04-28,134.0
2011-05-02,124.0
2011-05-03,124.0
2011-05-04,122.0
2011-05-05,120.0
2011-05-08,122.0
2011-05-09,122.0
2011-05-10,124.0
2011-05-12,126.0
2011-05-15,122.0
2011-05-16,114.0
2011-05-19,114.0
2011-05-22,112.0
2011-05-23,115.0
2011-05-24,121.0
2011-05-25,133.0
2011-05-26,145.0
2011-05-30,150.0
2011-05-31,159.0
2011-06-01,162.0
2011-06-02,174.0
2011-06-06,177.0
2011-06-08,180.0
2011-07-24,180.0
2011-08-28,177.0
2011-09-22,174.0
2011-10-02,168.0
2011-10-12,153.0
2011-10-13,167.0
2011-10-20,167.0
2011-11-27,165.0
2011-11-28,173.0
2011-12-01,181.0
2011-12-06,190.0
2012-01-25,184.0
2012-01-26,178.0
2012-02-15,169.0
2012-02-27,163.0
2012-02-28,147.0
2012-02-29,145.0
2012-03-06,135.0
2012-03-11,123.0
2012-03-12,111.0
2012-03-13,103.0
2012-03-15,99.0
2012-03-20,98.0
2012-03-28,94.0
2012-04-11,94.0
2012-04-12,92.0
2012-04-15,90.0
2012-04-17,91.0
2012-04-18,98.0
2012-04-19,104.0
2012-04-26,105.0
2012-04-30,107.0
2012-05-02,105.0
2012-05-16,103.0
2012-05-17,101.0
2012-05-22,103.0
2012-05-24,101.0
2012-05-27,100.0
2012-05-29,98.0
2012-05-30,97.0
2012-05-31,97.0
2012-07-01,97.0
2012-07-02,95.0
2012-07-05,94.0
2012-07-09,100.0
2012-07-11,102.0
2012-07-18,112.0
2012-08-06,112.0
2012-08-19,110.0
2012-09-19,108.0
2012-09-26,102.0
2012-10-01,108.0
2012-10-02,106.0
2012-10-03,114.0
2012-10-09,116.0
2012-10-31,114.0
2012-11-20,112.0
2012-11-21,118.0
2012-12-23,120.0
2013-01-06,118.0
2013-01-27,120.0
2013-01-28,108.0
2013-01-30,98.0
2013-02-03,96.0
2013-02-04,90.0
2013-02-05,96.0
2013-02-07,98.0
2013-02-12,99.0
2013-02-20,99.0
2013-02-21,102.0
2013-03-20,104.0
2013-04-02,100.0
2013-04-15,98.0
2013-04-16,97.0
2013-04-17,90.0
2013-04-18,89.0
2013-05-09,88.0
2013-05-16,87.0
2013-05-19,95.0
2013-06-10,104.0
2013-06-23,104.0
2013-06-26,100.0
2013-07-04,97.0
2013-07-14,96.0
2013-07-17,105.0
2013-07-21,101.0
2013-07-25,102.0
2013-07-29,94.0
2013-07-30,98.0
2013-08-01,102.0
2013-08-05,100.0
2013-08-26,98.0
2013-09-04,98.0
2013-09-05,106.0
2013-09-08,108.0
2013-09-09,108.0
2013-09-22,105.0
2013-09-23,103.0
2013-09-24,101.0
2013-09-26,98.0
2013-09-29,97.0
2013-10-02,98.0
2013-10-06,100.0
2013-10-08,98.0
2013-10-10,100.0
2013-10-17,100.0
2013-10-20,108.0
2013-11-11,114.0
2013-11-12,110.0
2013-11-21,110.0
2013-11-24,112.0
2013-11-25,110.0
2013-11-26,112.0
2013-11-27,112.0
2013-11-28,110.0
2013-12-01,106.0
2013-12-02,108.0
2013-12-09,106.0
2013-12-11,102.0
2013-12-12,102.0
2013-12-26,100.0
2014-01-01,102.0
2014-01-02,102.0
2014-01-14,100.0
2014-01-16,99.0
2014-01-23,102.0
2014-01-26,100.0
2014-01-27,110.0
2014-01-29,116.0
2014-02-02,118.0
2014-02-03,112.0
2014-02-05,110.0
2014-02-09,110.0
2014-02-10,106.0
2014-02-12,105.0
2014-02-13,108.0
2014-02-16,112.0
2014-02-17,108.0
2014-02-18,106.0
2014-04-13,108.0
2014-04-15,104.0
2014-04-17,105.0
2014-04-22,103.0
2014-04-28,101.0
2014-04-29,108.0
2014-04-30,110.0
2014-05-13,111.0
2014-05-15,109.0
2014-05-18,109.0
2014-05-19,109.0
2014-05-20,108.0
2014-05-25,109.0
2014-05-28,109.0
2014-06-09,107.0
2014-06-10,108.0
2014-06-12,108.0
2014-06-18,109.0
2014-06-19,109.0
2014-06-24,109.0
2014-06-29,107.0
2014-06-30,117.0
2014-07-01,128.0
2014-07-02,137.0
2014-07-03,135.0
2014-07-07,137.0
2014-07-09,138.0
2014-07-10,136.0
2014-07-13,135.0
2014-07-14,137.0
2014-07-15,139.0
2014-07-17,138.0
2014-07-20,138.0
2014-07-21,140.0
2014-07-22,145.0
2014-07-23,148.0
2014-07-24,162.0
2014-07-27,178.0
2014-07-28,175.0
2014-07-30,172.0
2014-07-31,172.0
2014-08-03,163.0
2014-08-24,159.0
2014-10-12,156.0
2014-10-13,153.0
2014-10-15,150.0
2014-10-16,145.0
2014-11-06,141.0
2014-11-19,137.0
2014-12-04,133.0
2014-12-07,123.0
2014-12-08,111.0
2014-12-09,100.0
2014-12-11,97.0
2014-12-14,98.0
2014-12-16,102.0
2014-12-18,100.0
2014-12-21,100.0
2014-12-23,98.0
2014-12-24,102.0
2015-01-01,104.0
2015-01-04,102.0
2015-01-07,100.0
2015-01-08,100.0
2015-01-13,102.0
2015-01-14,100.0
2015-01-18,100.0
2015-01-19,102.0
2015-01-20,101.0
2015-01-22,103.0
2015-01-25,105.0
2015-01-26,105.0
2015-01-27,103.0
2015-01-29,101.0
2015-02-01,102.0
2015-02-02,102.0
2015-02-04,100.0
2015-02-08,99.0
2015-02-09,103.0
2015-02-10,102.0
2015-02-11,104.0
2015-02-12,110.0
2015-02-15,114.0
2015-02-16,123.0
2015-02-18,128.0
2015-03-09,125.0
2015-03-12,121.0
2015-03-18,119.0
2015-03-19,108.0
2015-03-22,108.0
2015-03-23,105.0
