Date,Open
2010-11-30,89.0
2010-12-01,298.0
2010-12-02,268.0
2010-12-05,253.0
2010-12-06,228.0
2010-12-07,206.0
2010-12-08,186.0
2010-12-09,168.0
2010-12-12,158.0
2010-12-13,151.0
2010-12-14,158.0
2010-12-15,158.0
2010-12-16,159.0
2010-12-19,158.0
2010-12-20,151.0
2010-12-22,150.0
2010-12-23,155.0
2010-12-26,154.0
2010-12-27,160.0
2010-12-28,156.0
2010-12-29,156.0
2011-01-02,154.0
2011-01-03,154.0
2011-01-04,154.0
2011-01-05,157.0
2011-01-06,161.0
2011-01-09,158.0
2011-01-10,165.0
2011-01-11,168.0
2011-01-12,162.0
2011-01-13,160.0
2011-01-16,157.0
2011-01-17,161.0
2011-01-18,159.0
2011-01-19,161.0
2011-01-20,161.0
2011-01-23,162.0
2011-01-24,162.0
2011-01-31,163.0
2011-02-01,162.0
2011-02-02,162.0
2011-02-03,161.0
2011-02-06,160.0
2011-02-07,146.0
2011-02-08,149.0
2011-02-09,147.0
2011-02-10,149.0
2011-02-13,152.0
2011-02-14,145.0
2011-02-15,143.0
2011-02-16,145.0
2011-02-17,142.0
2011-02-20,142.0
2011-02-21,146.0
2011-02-23,147.0
2011-02-27,148.0
2011-02-28,138.0
2011-03-01,133.0
2011-03-03,130.0
2011-03-07,130.0
2011-03-09,132.0
2011-03-10,126.0
2011-03-13,124.0
2011-03-14,118.0
2011-03-15,115.0
2011-03-16,113.0
2011-03-17,111.0
2011-03-20,114.0
2011-03-21,112.0
2011-03-22,111.0
2011-03-23,112.0
2011-03-24,119.0
2011-03-27,117.0
2011-03-28,116.0
2011-03-29,115.0
2011-03-30,108.0
2011-03-31,105.0
2011-04-04,110.0
2011-04-05,110.0
2011-04-06,108.0
2011-04-07,111.0
2011-04-10,111.0
2011-04-11,112.0
2011-04-13,112.0
2011-04-18,112.0
2011-04-19,112.0
2011-04-20,110.0
2011-04-21,110.0
2011-04-27,107.0
2011-04-28,112.0
2011-05-02,110.0
2011-05-04,112.0
2011-05-05,104.0
2011-05-08,105.0
2011-05-09,104.0
2011-05-10,100.0
2011-05-11,100.0
2011-05-12,104.0
2011-05-15,104.0
2011-05-16,107.0
2011-05-18,108.0
2011-05-19,105.0
2011-05-22,107.0
2011-05-23,106.0
2011-05-24,106.0
2011-05-25,103.0
2011-05-26,103.0
2011-05-30,102.0
2011-05-31,102.0
2011-06-01,105.0
2011-06-02,104.0
2011-06-05,104.0
2011-06-06,97.0
2011-06-07,97.0
2011-06-08,97.0
2011-06-09,97.0
2011-06-12,91.0
2011-06-13,90.0
2011-06-14,90.0
2011-06-15,89.0
2011-06-16,89.0
2011-06-29,88.0
2011-07-03,89.0
2011-07-04,93.0
2011-07-05,94.0
2011-07-06,93.0
2011-07-07,95.0
2011-07-10,99.0
2011-07-11,99.0
2011-07-12,99.0
2011-07-13,102.0
2011-07-18,102.0
2011-07-19,100.0
2011-07-21,100.0
2011-07-24,110.0
2011-07-25,109.0
2011-07-26,109.0
2011-07-27,109.0
2011-07-28,110.0
2011-07-31,106.0
2011-08-01,104.0
2011-08-02,102.0
2011-08-04,102.0
2011-08-07,103.0
2011-08-08,100.0
2011-08-09,99.0
2011-08-10,98.0
2011-08-11,97.0
2011-08-15,97.0
2011-08-16,97.0
2011-08-17,100.0
2011-08-18,102.0
2011-08-22,104.0
2011-08-23,106.0
2011-08-24,104.0
2011-08-25,105.0
2011-08-28,106.0
2011-08-29,105.0
2011-08-30,105.0
2011-09-01,106.0
2011-09-04,106.0
2011-09-05,106.0
2011-09-06,106.0
2011-09-07,105.0
2011-09-08,108.0
2011-09-12,102.0
2011-09-13,97.0
2011-09-14,99.0
2011-09-15,95.0
2011-09-22,96.0
2011-09-25,96.0
2011-09-26,93.0
2011-09-27,91.0
2011-09-29,99.0
2011-10-02,107.0
2011-10-09,117.0
2011-10-10,128.0
2011-10-12,126.0
2011-10-13,124.0
2011-10-17,122.0
2011-11-21,114.0
2011-11-22,108.0
2011-11-23,112.0
2011-12-04,112.0
2011-12-05,108.0
2011-12-06,110.0
2011-12-08,108.0
2011-12-11,108.0
2011-12-12,98.0
2011-12-13,100.0
2011-12-14,100.0
2011-12-15,98.0
2011-12-21,104.0
2011-12-22,98.0
2012-01-01,99.0
2012-01-02,98.0
2012-01-03,98.0
2012-01-05,99.0
2012-01-08,98.0
2012-01-09,97.0
2012-01-10,96.0
2012-01-11,95.0
2012-01-12,95.0
2012-01-16,95.0
2012-01-17,99.0
2012-01-18,102.0
2012-01-22,99.0
2012-01-23,99.0
2012-01-25,98.0
2012-01-26,99.0
2012-01-29,99.0
2012-01-31,100.0
2012-02-01,98.0
2012-02-02,98.0
2012-02-05,100.0
2012-02-06,100.0
2012-02-07,100.0
2012-02-08,100.0
2012-02-09,103.0
2012-02-12,100.0
2012-02-13,96.0
2012-02-14,96.0
2012-02-15,97.0
2012-02-16,90.0
2012-02-21,87.0
2012-02-23,87.0
2012-02-26,85.0
2012-02-28,85.0
2012-02-29,86.0
2012-03-01,84.0
2012-03-04,83.0
2012-03-06,82.0
2012-03-11,83.0
2012-03-12,84.0
2012-03-13,84.0
2012-03-15,83.0
2012-03-18,82.0
2012-03-19,82.0
2012-03-20,84.0
2012-03-21,85.0
2012-03-26,85.0
2012-04-01,83.0
2012-04-02,85.0
2012-04-03,86.0
2012-04-05,87.0
2012-04-08,87.0
2012-04-15,88.0
2012-04-16,89.0
2012-04-17,90.0
2012-04-18,91.0
2012-04-19,92.0
2012-04-22,99.0
2012-04-24,108.0
2012-04-25,108.0
2012-05-22,108.0
2012-05-24,107.0
2012-05-27,98.0
2012-05-31,100.0
2012-06-04,97.0
2012-06-05,100.0
2012-06-10,100.0
2012-06-11,102.0
2012-06-12,104.0
2012-06-17,102.0
2012-06-18,102.0
2012-06-20,100.0
2012-07-03,98.0
2012-07-04,90.0
2012-07-05,89.0
2012-07-08,88.0
2012-07-09,86.0
2012-07-10,85.0
2012-07-11,85.0
2012-07-12,83.0
2012-07-15,91.0
2012-07-23,100.0
2012-07-24,98.0
2012-07-25,96.0
2012-07-26,96.0
2012-07-29,91.0
2012-07-30,90.0
2012-07-31,89.0
2012-08-01,86.0
2012-08-05,87.0
2012-08-06,87.0
2012-08-07,87.0
2012-08-08,89.0
2012-08-14,88.0
2012-08-15,89.0
2012-08-19,90.0
2012-08-21,91.0
2012-08-23,91.0
2012-08-26,85.0
2012-08-27,89.0
2012-08-28,89.0
2012-08-29,89.0
2012-08-30,89.0
2012-09-02,89.0
2012-09-03,91.0
2012-09-04,90.0
2012-09-05,90.0
2012-09-09,90.0
2012-09-10,86.0
2012-09-11,87.0
2012-09-12,86.0
2012-09-13,86.0
2012-09-16,85.0
2012-09-17,89.0
2012-09-19,89.0
2012-09-20,91.0
2012-09-23,94.0
2012-09-24,93.0
2012-09-25,91.0
2012-09-26,92.0
2012-09-27,89.0
2012-10-07,89.0
2012-10-14,88.0
2012-10-30,88.0
2012-10-31,85.0
2012-11-01,85.0
2012-11-04,82.0
2012-11-06,83.0
2012-11-07,85.0
2012-11-08,86.0
2012-11-12,88.0
2012-11-18,88.0
2012-11-20,88.0
2012-11-21,89.0
2012-11-22,93.0
2012-11-25,94.0
2012-11-26,94.0
2012-11-27,92.0
2012-12-02,92.0
2012-12-03,92.0
2012-12-04,91.0
2012-12-05,93.0
2012-12-06,96.0
2012-12-10,95.0
2012-12-11,96.0
2012-12-13,98.0
2012-12-31,101.0
2013-01-01,97.0
2013-01-06,95.0
2013-01-07,94.0
2013-01-09,95.0
2013-01-13,94.0
2013-01-22,93.0
2013-01-23,91.0
2013-01-24,85.0
2013-01-27,82.0
2013-01-28,81.0
2013-01-30,82.0
2013-01-31,81.0
2013-02-03,89.0
2013-02-04,87.0
2013-02-05,91.0
2013-02-06,90.0
2013-02-07,90.0
2013-02-10,92.0
2013-02-12,92.0
2013-02-13,93.0
2013-02-14,90.0
2013-02-20,89.0
2013-02-21,87.0
2013-02-24,88.0
2013-02-25,87.0
2013-02-27,89.0
2013-02-28,89.0
2013-03-03,90.0
2013-03-13,90.0
2013-03-14,90.0
2013-03-18,90.0
2013-03-19,89.0
2013-03-20,89.0
2013-03-21,89.0
2013-03-24,87.0
2013-03-27,86.0
2013-03-28,86.0
2013-04-01,85.0
2013-04-02,84.0
2013-04-03,84.0
2013-04-04,84.0
2013-04-07,83.0
2013-04-08,85.0
2013-04-11,84.0
2013-04-15,86.0
2013-04-16,86.0
2013-04-17,87.0
2013-04-18,90.0
2013-04-21,89.0
2013-04-22,89.0
2013-05-05,88.0
2013-05-06,87.0
2013-05-07,86.0
2013-05-08,85.0
2013-05-09,84.0
2013-05-12,83.0
2013-05-13,81.0
2013-05-15,81.0
2013-05-16,82.0
2013-05-19,82.0
2013-05-26,81.0
2013-05-27,81.0
2013-05-30,80.0
2013-06-02,81.0
2013-06-03,81.0
2013-06-05,81.0
2013-06-06,82.0
2013-06-10,82.0
2013-06-11,81.0
2013-06-16,82.0
2013-06-17,79.0
2013-06-19,75.0
2013-06-23,74.0
2013-06-24,75.0
2013-06-25,76.0
2013-06-26,76.0
2013-06-27,78.0
2013-06-30,82.0
2013-07-01,82.0
2013-07-02,81.0
2013-07-03,85.0
2013-07-04,90.0
2013-07-07,89.0
2013-07-08,91.0
2013-07-10,91.0
2013-07-14,90.0
2013-07-15,94.0
2013-07-17,100.0
2013-07-18,98.0
2013-07-22,95.0
2013-07-23,93.0
2013-07-24,91.0
2013-07-25,91.0
2013-07-29,91.0
2013-07-30,89.0
2013-07-31,88.0
2013-08-01,88.0
2013-08-04,86.0
2013-08-05,87.0
2013-08-06,87.0
2013-08-07,86.0
2013-08-11,85.0
2013-08-12,90.0
2013-08-13,91.0
2013-08-14,92.0
2013-08-18,93.0
2013-08-19,98.0
2013-08-20,97.0
2013-08-25,96.0
2013-08-26,97.0
2013-08-27,96.0
2013-08-29,95.0
2013-09-01,98.0
2013-09-02,98.0
2013-09-04,97.0
2013-09-05,95.0
2013-09-09,93.0
2013-09-16,92.0
2013-09-17,91.0
2013-09-29,90.0
2013-10-01,88.0
2013-10-08,87.0
2013-10-09,84.0
2013-10-20,81.0
2013-10-21,82.0
2013-10-22,83.0
2013-10-24,82.0
2013-10-27,81.0
2013-10-28,82.0
2013-10-29,82.0
2013-10-31,80.0
2013-11-06,80.0
2013-11-10,81.0
2013-11-25,80.0
2013-11-28,81.0
2013-12-01,82.0
2013-12-03,87.0
2013-12-08,89.0
2013-12-09,91.0
2013-12-10,96.0
2013-12-11,100.0
2013-12-12,102.0
2013-12-15,102.0
2013-12-22,100.0
2013-12-23,102.0
2013-12-26,100.0
2013-12-29,98.0
2014-01-01,102.0
2014-01-02,100.0
2014-01-05,98.0
2014-01-06,98.0
2014-01-07,98.0
2014-01-08,98.0
2014-01-09,105.0
2014-01-12,104.0
2014-01-13,103.0
2014-01-14,102.0
2014-01-19,101.0
2014-01-20,99.0
2014-01-21,98.0
2014-01-22,100.0
2014-01-23,99.0
2014-01-26,108.0
2014-01-27,118.0
2014-01-29,125.0
2014-02-03,119.0
2014-02-04,111.0
2014-02-05,109.0
2014-02-06,108.0
2014-02-09,116.0
2014-02-10,120.0
2014-02-11,122.0
2014-02-12,118.0
2014-02-16,120.0
2014-02-17,123.0
2014-02-18,129.0
2014-02-20,139.0
2014-02-23,141.0
2014-02-24,145.0
2014-02-25,147.0
2014-02-26,139.0
2014-03-03,149.0
2014-03-05,145.0
2014-03-10,139.0
2014-03-19,135.0
2014-03-20,125.0
2014-03-26,123.0
2014-03-27,115.0
2014-03-31,112.0
2014-04-01,112.0
2014-04-02,112.0
2014-04-03,108.0
2014-04-06,108.0
2014-04-07,110.0
2014-04-09,109.0
2014-04-10,110.0
2014-04-13,112.0
2014-04-15,111.0
2014-04-16,119.0
2014-04-17,123.0
2014-04-20,127.0
2014-04-22,128.0
2014-04-23,128.0
2014-04-27,126.0
2014-04-29,126.0
2014-04-30,122.0
2014-05-04,121.0
2014-05-05,126.0
2014-05-06,128.0
2014-05-07,126.0
2014-05-08,126.0
2014-05-11,126.0
2014-05-12,129.0
2014-05-13,127.0
2014-05-15,131.0
2014-05-18,133.0
2014-05-19,135.0
2014-05-21,135.0
2014-05-22,137.0
2014-05-25,138.0
2014-05-26,137.0
2014-05-27,134.0
2014-05-28,132.0
2014-06-01,132.0
2014-06-02,136.0
2014-06-03,138.0
2014-06-04,135.0
2014-06-05,131.0
2014-06-08,128.0
2014-06-09,127.0
2014-06-10,129.0
2014-06-11,129.0
2014-06-12,129.0
2014-06-15,131.0
2014-06-16,134.0
2014-06-17,136.0
2014-06-18,142.0
2014-06-19,141.0
2014-06-23,144.0
2014-06-24,142.0
2014-06-25,141.0
2014-06-26,144.0
2014-06-29,150.0
2014-06-30,145.0
2014-07-01,146.0
2014-07-02,148.0
2014-07-03,156.0
2014-07-06,153.0
2014-07-07,158.0
2014-07-08,161.0
2014-07-09,164.0
2014-07-10,161.0
2014-07-13,159.0
2014-07-14,158.0
2014-07-15,158.0
2014-07-16,167.0
2014-07-17,173.0
2014-07-20,178.0
2014-07-21,190.0
2014-07-22,190.0
2014-07-23,190.0
2014-07-24,193.0
2014-07-27,210.0
2014-07-28,209.0
2014-07-30,203.0
2014-07-31,199.0
2014-08-03,199.0
2014-08-04,190.0
2014-08-05,186.0
2014-08-06,185.0
2014-08-07,183.0
2014-08-12,182.0
2014-08-13,179.0
2014-08-14,178.0
2014-08-18,175.0
2014-08-19,175.0
2014-08-20,178.0
2014-08-21,175.0
2014-08-24,170.0
2014-08-25,169.0
2014-08-26,166.0
2014-08-27,163.0
2014-08-28,160.0
2014-08-31,175.0
2014-09-03,175.0
2014-09-07,169.0
2014-09-09,153.0
2014-09-10,152.0
2014-09-11,152.0
2014-09-14,151.0
2014-09-15,146.0
2014-09-16,146.0
2014-09-17,153.0
2014-09-21,155.0
2014-09-22,150.0
2014-09-23,156.0
2014-09-24,156.0
2014-09-28,159.0
2014-09-29,156.0
2014-09-30,150.0
2014-10-09,159.0
2014-10-12,161.0
2014-10-13,161.0
2014-10-14,160.0
2014-10-15,156.0
2014-10-16,159.0
2014-10-19,154.0
2014-10-20,157.0
2014-10-21,149.0
2014-10-22,154.0
2014-11-03,148.0
2014-11-11,146.0
2014-12-10,146.0
2015-01-01,147.0
2015-01-08,145.0
2015-01-11,136.0
2015-01-12,135.0
2015-01-13,142.0
2015-01-14,143.0
2015-01-18,144.0
2015-01-19,143.0
2015-01-20,157.0
