Date,Open
2007-04-22,210.0
2007-04-26,210.0
2007-05-06,210.0
2007-05-13,210.0
2007-05-14,200.0
2007-05-16,210.0
2007-05-30,200.0
2007-05-31,200.0
2007-06-12,195.0
2007-06-13,195.0
2007-06-21,195.0
2007-06-26,195.0
2007-06-27,203.0
2007-07-01,210.0
2007-07-16,219.0
2007-07-18,219.0
2007-07-19,210.0
2007-07-23,210.0
2007-07-24,205.0
2007-07-29,205.0
2007-07-30,200.0
2007-08-01,200.0
2007-08-02,200.0
2007-08-05,200.0
2007-08-06,200.0
2007-08-08,192.0
2007-08-09,200.0
2007-08-13,200.0
2007-08-21,195.0
2007-10-16,195.0
2007-10-30,195.0
2007-11-04,195.0
2007-11-19,198.0
2007-12-11,195.0
2007-12-13,198.0
2007-12-27,198.0
2008-01-21,200.0
2008-02-21,200.0
2008-02-24,200.0
2008-02-26,204.0
2008-02-27,208.0
2008-03-03,216.0
2008-03-04,220.0
2008-03-09,224.0
2008-03-10,246.0
2008-03-11,270.0
2008-03-12,297.0
2008-03-20,292.0
2008-03-23,265.0
2008-03-24,260.0
2008-03-25,241.0
2008-03-30,233.0
2008-04-02,225.0
2008-04-22,229.0
2008-04-24,233.0
2008-04-27,256.0
2008-04-28,264.0
2008-05-06,260.0
2008-05-08,262.0
2008-05-11,267.0
2008-05-12,282.0
2008-05-13,297.0
2008-05-14,314.0
2008-05-15,314.0
2008-05-22,311.0
2008-06-03,305.0
2008-06-11,311.0
2008-06-17,311.0
2008-06-25,317.0
2008-06-29,311.0
2008-07-01,317.0
2008-07-03,315.0
2008-07-22,315.0
2008-09-24,315.0
2008-11-06,315.0
2008-11-12,320.0
2008-11-18,320.0
2008-12-07,320.0
2008-12-14,326.0
2008-12-31,320.0
2009-01-05,320.0
2009-01-18,314.0
2009-03-25,308.0
2009-03-31,302.0
2009-04-06,300.0
2009-05-04,300.0
2009-05-06,300.0
2009-11-08,294.0
2010-01-24,215.0
2010-02-01,215.0
2010-02-03,215.0
2010-02-15,211.0
2010-04-27,211.0
2010-04-28,203.0
2010-05-18,199.0
2010-05-23,193.0
2010-06-07,185.0
2010-06-09,186.0
2010-06-14,189.0
2010-06-15,195.0
2010-06-21,192.0
2010-06-23,198.0
2010-06-24,213.0
2010-06-30,217.0
2010-07-01,225.0
2010-07-05,235.0
2010-07-06,239.0
2010-07-07,245.0
2010-07-08,253.0
2010-07-14,253.0
2010-07-15,265.0
2010-09-08,270.0
2010-09-13,260.0
2010-09-14,273.0
2010-10-05,268.0
2010-10-06,275.0
2010-10-25,290.0
2011-02-23,295.0
2011-05-26,295.0
2011-07-13,295.0
2011-07-28,295.0
2011-09-12,295.0
2011-10-20,290.0
2012-03-18,285.0
2012-07-16,275.0
2012-11-04,270.0
2013-07-30,265.0
2013-07-31,241.0
2013-08-01,217.0
2013-08-08,205.0
2013-08-11,201.0
2013-08-12,197.0
2013-08-14,188.0
2013-08-15,179.0
2013-08-18,170.0
2013-08-19,159.0
2013-08-20,170.0
2013-08-25,170.0
2013-08-26,187.0
2013-08-27,205.0
2013-08-29,201.0
2013-09-01,185.0
2013-09-02,170.0
2013-09-03,173.0
2013-09-04,170.0
2013-09-05,173.0
2013-09-08,170.0
2013-09-09,167.0
2013-09-10,164.0
2013-09-11,164.0
2013-09-12,163.0
2013-09-15,160.0
2013-09-16,160.0
2013-09-17,162.0
2013-09-19,160.0
2013-09-22,172.0
2013-09-23,161.0
2013-09-25,160.0
2013-09-26,144.0
2013-09-29,142.0
2013-09-30,135.0
2013-10-01,133.0
2013-10-03,135.0
2013-11-11,137.0
2013-11-13,136.0
2013-11-14,140.0
2013-11-24,142.0
2013-11-26,146.0
2013-11-27,148.0
2013-11-28,162.0
2013-12-01,178.0
2013-12-02,195.0
2013-12-03,214.0
2013-12-04,235.0
2013-12-05,258.0
2013-12-08,283.0
2013-12-09,290.0
2013-12-10,270.0
2013-12-11,250.0
2013-12-12,242.0
2013-12-15,248.0
2013-12-19,257.0
2013-12-22,267.0
2013-12-23,267.0
2013-12-24,272.0
2013-12-26,285.0
2013-12-29,306.0
2013-12-31,306.0
2014-01-01,300.0
2014-01-02,301.0
2014-01-05,295.0
2014-01-06,300.0
2014-01-07,294.0
2014-01-08,285.0
2014-01-12,300.0
2014-01-13,304.0
2014-01-14,301.0
2014-01-16,306.0
2014-01-19,301.0
2014-01-20,324.0
2014-01-21,345.0
2014-01-22,340.0
2014-01-23,340.0
2014-01-26,340.0
2014-01-27,340.0
2014-01-28,345.0
2014-01-29,360.0
2014-02-02,385.0
2014-02-03,371.0
