Date,Open
2011-03-15,0.0
2011-03-16,379.0
2011-03-17,342.0
2011-03-20,308.0
2011-03-21,279.0
2011-03-22,252.0
2011-03-23,227.0
2011-03-24,205.0
2011-03-27,185.0
2011-03-28,167.0
2011-03-29,158.0
2011-03-30,143.0
2011-03-31,135.0
2011-04-04,137.0
2011-04-05,136.0
2011-04-06,137.0
2011-04-07,136.0
2011-04-10,143.0
2011-04-11,142.0
2011-04-13,142.0
2011-04-17,154.0
2011-04-18,155.0
2011-04-19,143.0
2011-04-20,143.0
2011-04-21,132.0
2011-04-25,122.0
2011-04-27,117.0
2011-04-28,119.0
2011-05-02,114.0
2011-05-03,112.0
2011-05-04,112.0
2011-05-05,112.0
2011-05-08,113.0
2011-05-10,114.0
2011-05-11,114.0
2011-05-12,119.0
2011-05-15,121.0
2011-05-16,120.0
2011-05-18,119.0
2011-05-19,125.0
2011-05-22,120.0
2011-05-23,118.0
2011-05-24,117.0
2011-05-25,120.0
2011-05-26,124.0
2011-05-30,123.0
2011-05-31,120.0
2011-06-01,119.0
2011-06-02,114.0
2011-06-05,108.0
2011-06-06,107.0
2011-06-08,108.0
2011-06-09,104.0
2011-06-12,105.0
2011-06-13,104.0
2011-06-14,98.0
2011-06-15,100.0
2011-06-16,100.0
2011-06-19,103.0
2011-06-26,105.0
2011-06-27,105.0
2011-06-29,106.0
2011-06-30,106.0
2011-07-03,104.0
2011-07-04,102.0
2011-07-05,102.0
2011-07-06,100.0
2011-07-07,100.0
2011-07-10,102.0
2011-07-11,100.0
2011-07-12,100.0
2011-07-13,103.0
2011-07-14,111.0
2011-07-17,112.0
2011-07-18,112.0
2011-07-19,114.0
2011-07-20,112.0
2011-07-24,110.0
2011-07-25,108.0
2011-07-26,108.0
2011-07-27,109.0
2011-07-28,108.0
2011-07-31,106.0
2011-08-01,109.0
2011-08-02,111.0
2011-08-03,113.0
2011-08-04,120.0
2011-08-07,114.0
2011-08-08,110.0
2011-08-09,110.0
2011-08-10,108.0
2011-08-11,108.0
2011-08-15,109.0
2011-08-17,110.0
2011-08-18,109.0
2011-08-22,108.0
2011-08-23,113.0
2011-08-24,113.0
2011-08-25,113.0
2011-08-28,112.0
2011-08-29,108.0
2011-08-30,110.0
2011-09-01,112.0
2011-09-04,114.0
2011-09-05,111.0
2011-09-06,113.0
2011-09-07,112.0
2011-09-08,112.0
2011-09-12,108.0
2011-09-13,110.0
2011-09-14,104.0
2011-09-15,105.0
2011-09-18,106.0
2011-09-19,105.0
2011-09-20,103.0
2011-09-21,105.0
2011-09-22,107.0
2011-09-25,111.0
2011-09-26,108.0
2011-09-27,110.0
2011-09-29,111.0
2011-10-02,110.0
2011-10-10,108.0
2011-10-12,108.0
2011-10-13,107.0
2011-10-16,105.0
2011-10-17,105.0
2011-10-23,103.0
2011-10-24,105.0
2011-10-25,103.0
2011-10-30,101.0
2011-10-31,103.0
2011-11-06,105.0
2011-11-08,109.0
2011-11-09,109.0
2011-11-10,108.0
2011-11-13,109.0
2011-11-14,105.0
2011-11-15,104.0
2011-11-16,104.0
2011-11-17,100.0
2011-11-20,102.0
2011-11-21,103.0
2011-11-22,103.0
2011-11-23,104.0
2011-11-24,104.0
2011-11-27,102.0
2011-11-29,104.0
2011-12-01,104.0
2011-12-05,101.0
2011-12-07,102.0
2011-12-11,102.0
2011-12-13,100.0
2011-12-14,97.0
2011-12-15,97.0
2011-12-19,100.0
2011-12-20,98.0
2011-12-21,100.0
2011-12-22,100.0
2011-12-26,100.0
2011-12-27,99.0
2011-12-28,100.0
2011-12-29,102.0
2012-01-01,102.0
2012-01-03,104.0
2012-01-04,102.0
2012-01-05,101.0
2012-01-08,102.0
2012-01-09,104.0
2012-01-10,105.0
2012-01-11,100.0
2012-01-12,99.0
2012-01-16,98.0
2012-01-17,99.0
2012-01-18,99.0
2012-01-19,100.0
2012-01-22,103.0
2012-01-23,105.0
2012-01-25,107.0
2012-01-26,111.0
2012-01-29,108.0
2012-01-31,105.0
2012-02-01,100.0
2012-02-02,100.0
2012-02-05,102.0
2012-02-06,101.0
2012-02-07,101.0
2012-02-08,99.0
2012-02-09,98.0
2012-02-12,97.0
2012-02-14,97.0
2012-02-15,97.0
2012-02-16,97.0
2012-02-21,97.0
2012-02-23,100.0
2012-02-26,98.0
2012-02-27,100.0
2012-02-28,100.0
2012-02-29,98.0
2012-03-01,100.0
2012-03-04,100.0
2012-03-05,101.0
2012-03-11,99.0
2012-03-12,97.0
2012-03-13,98.0
2012-03-14,100.0
2012-03-15,101.0
2012-03-18,103.0
2012-03-19,103.0
2012-03-20,105.0
2012-03-21,104.0
2012-03-25,102.0
2012-04-02,98.0
2012-04-04,91.0
2012-04-05,90.0
2012-04-08,91.0
2012-04-09,94.0
2012-04-10,93.0
2012-04-12,93.0
2012-04-29,94.0
2012-04-30,98.0
2012-05-09,99.0
2012-05-10,100.0
2012-05-17,102.0
2012-05-20,100.0
2012-06-11,98.0
2012-06-18,97.0
2012-06-19,96.0
2012-07-03,96.0
2012-07-04,87.0
2012-07-05,83.0
2012-07-09,84.0
2012-07-10,83.0
2012-07-11,82.0
2012-07-12,82.0
2012-07-16,83.0
2012-07-17,84.0
2012-07-18,85.0
2012-07-19,85.0
2012-07-25,86.0
2012-07-26,86.0
2012-07-29,86.0
2012-07-31,85.0
2012-08-01,84.0
2012-08-05,86.0
2012-08-06,86.0
2012-08-07,85.0
2012-08-08,89.0
2012-08-13,88.0
2012-08-14,87.0
2012-08-15,86.0
2012-08-16,84.0
2012-08-23,85.0
2012-08-26,82.0
2012-08-28,83.0
2012-08-29,82.0
2012-08-30,83.0
2012-09-02,83.0
2012-09-03,83.0
2012-09-04,84.0
2012-09-05,85.0
2012-09-11,86.0
2012-09-13,80.0
2012-09-20,79.0
2012-09-24,78.0
2012-09-26,78.0
2012-09-27,81.0
2012-10-03,83.0
2012-10-07,83.0
2012-10-08,84.0
2012-10-14,83.0
2012-10-15,83.0
2012-10-18,82.0
2012-10-30,82.0
2012-11-05,82.0
2012-11-12,81.0
2012-11-18,81.0
2012-11-21,82.0
2012-11-26,82.0
2012-11-27,85.0
2012-11-28,88.0
2012-11-29,93.0
2012-12-05,92.0
2012-12-09,93.0
2012-12-10,93.0
2012-12-13,95.0
2012-12-20,100.0
2013-01-02,101.0
2013-01-31,97.0
2013-02-19,96.0
2013-02-20,95.0
2013-02-21,94.0
2013-02-24,94.0
2013-02-26,93.0
