Date,Open
2011-03-15,80.0
2011-03-23,330.0
2011-03-24,324.0
2011-03-27,296.0
2011-03-28,267.0
2011-03-29,254.0
2011-04-28,229.0
2011-05-19,188.0
2011-05-22,185.0
2011-05-25,182.0
2011-06-06,182.0
2011-06-07,176.0
2011-06-08,164.0
2011-07-03,156.0
2011-09-04,149.0
2011-09-19,145.0
2011-09-20,141.0
2011-09-21,139.0
2011-09-22,131.0
2011-10-24,129.0
2011-11-08,125.0
2011-11-09,113.0
2011-11-10,107.0
2011-11-13,110.0
2011-11-14,106.0
2011-11-15,106.0
2011-11-16,104.0
2011-11-21,100.0
2011-11-22,104.0
2011-11-23,107.0
2011-11-24,105.0
2011-11-27,104.0
2011-11-29,104.0
2011-11-30,102.0
2011-12-05,102.0
2011-12-06,102.0
2011-12-07,103.0
2011-12-08,102.0
2011-12-11,102.0
2011-12-12,104.0
2011-12-13,102.0
2011-12-14,100.0
2011-12-15,99.0
2011-12-18,98.0
2011-12-19,97.0
2011-12-20,94.0
2011-12-21,94.0
2011-12-22,93.0
2011-12-26,99.0
2011-12-27,98.0
2011-12-28,95.0
2011-12-29,92.0
2012-01-01,92.0
2012-01-02,93.0
2012-01-03,92.0
2012-01-04,92.0
2012-01-05,88.0
2012-01-08,89.0
2012-01-09,90.0
2012-01-10,97.0
2012-01-11,96.0
2012-01-12,94.0
2012-01-16,88.0
2012-01-17,94.0
2012-01-18,98.0
2012-01-19,99.0
2012-01-22,98.0
2012-01-23,99.0
2012-01-25,95.0
2012-01-26,92.0
2012-01-29,95.0
2012-01-31,94.0
2012-02-01,94.0
2012-02-02,91.0
2012-02-05,90.0
2012-02-06,90.0
2012-02-07,92.0
2012-02-08,91.0
2012-02-09,92.0
2012-02-12,93.0
2012-02-13,93.0
2012-02-14,95.0
2012-02-15,95.0
2012-02-16,95.0
2012-02-21,93.0
2012-02-23,95.0
2012-02-26,94.0
2012-02-27,94.0
2012-02-28,91.0
2012-02-29,90.0
2012-03-01,89.0
2012-03-04,90.0
2012-03-05,90.0
2012-03-06,87.0
2012-03-11,95.0
2012-03-12,92.0
2012-03-13,90.0
2012-03-14,90.0
2012-03-15,92.0
2012-03-18,96.0
2012-03-19,92.0
2012-03-20,92.0
2012-03-25,95.0
2012-03-27,98.0
2012-03-28,93.0
2012-03-29,94.0
2012-04-01,94.0
2012-04-02,98.0
2012-04-03,99.0
2012-04-04,101.0
2012-04-05,103.0
2012-04-08,102.0
2012-04-09,100.0
2012-04-10,104.0
2012-04-11,102.0
2012-04-12,102.0
2012-04-15,106.0
2012-04-16,112.0
2012-04-18,114.0
2012-04-19,111.0
2012-04-22,112.0
2012-04-24,113.0
2012-04-26,113.0
2012-04-30,109.0
2012-05-02,113.0
2012-05-07,112.0
2012-05-09,114.0
2012-05-10,110.0
2012-05-13,110.0
2012-05-20,108.0
2012-05-21,104.0
2012-05-22,101.0
2012-05-23,98.0
2012-05-24,98.0
