Date,Open
2005-03-22,200.0
2005-03-23,210.0
2005-03-24,210.0
2005-03-29,220.0
2005-05-02,225.0
2005-05-19,220.0
2005-06-13,220.0
2005-07-12,220.0
2005-07-14,220.0
2005-08-08,210.0
2005-11-08,220.0
2005-11-20,210.0
2005-11-24,220.0
2006-03-02,220.0
2006-07-02,220.0
2006-08-28,220.0
2006-09-04,220.0
2006-09-20,210.0
2006-10-18,210.0
2006-11-15,222.0
2007-02-07,220.0
2007-03-01,231.0
2007-03-04,230.0
2007-03-11,230.0
2007-03-12,220.0
2007-03-29,220.0
2007-05-17,230.0
2007-07-09,230.0
2007-07-10,230.0
2007-07-11,230.0
2007-07-12,225.0
2007-07-19,225.0
2007-09-18,225.0
2007-12-03,225.0
2007-12-25,229.0
2008-01-28,234.0
2008-02-17,238.0
2008-02-18,240.0
2008-02-20,240.0
2008-03-05,244.0
2008-04-22,240.0
2008-04-27,240.0
2008-04-30,240.0
2008-05-18,236.0
2008-06-08,232.0
2008-06-26,240.0
2008-07-13,244.0
2008-09-23,245.0
2008-11-06,245.0
2008-12-11,268.0
2008-12-22,273.0
2008-12-31,288.0
2009-01-19,293.0
2009-02-15,298.0
2009-03-18,303.0
2009-03-31,315.0
2009-04-01,327.0
2009-04-02,351.0
2009-04-05,365.0
2009-04-16,379.0
2009-04-19,416.0
2009-04-20,424.0
2009-04-21,424.0
2009-04-22,408.0
2009-04-23,394.0
2009-04-26,392.0
2009-04-27,388.0
2009-05-06,380.0
2009-05-07,366.0
2009-05-11,346.0
2009-05-24,359.0
2009-06-10,360.0
2009-06-14,367.0
2009-06-16,374.0
2009-06-17,365.0
2009-06-18,370.0
2009-06-29,370.0
2009-06-30,363.0
2009-07-26,370.0
2009-07-28,377.0
2009-08-11,375.0
2009-08-19,375.0
2009-08-31,382.0
2009-09-07,381.0
2009-09-09,379.0
2009-09-23,380.0
2009-10-12,401.0
2009-10-13,388.0
2009-10-14,390.0
2009-10-15,380.0
2009-10-26,381.0
2009-11-15,381.0
2009-11-17,395.0
2009-11-19,395.0
2009-11-25,400.0
2009-11-30,405.0
2009-12-03,405.0
2010-02-02,410.0
2010-05-26,410.0
2010-06-07,275.0
2010-06-20,276.0
2010-08-31,275.0
2010-09-02,278.0
2010-09-06,278.0
2010-09-19,283.0
2010-10-21,278.0
2010-10-26,278.0
2010-12-01,283.0
2010-12-12,290.0
2010-12-16,300.0
2010-12-23,294.0
2010-12-27,299.0
2011-02-22,301.0
2011-03-15,254.0
2011-04-18,250.0
2011-07-19,255.0
2011-09-07,245.0
2011-09-26,242.0
2011-10-25,242.0
2011-10-30,242.0
2011-11-08,242.0
2011-12-29,242.0
2012-02-23,238.0
2012-03-11,240.0
2012-04-04,240.0
2012-05-08,240.0
2012-06-17,240.0
2012-07-10,236.0
2012-08-13,232.0
2012-08-29,232.0
2012-09-05,225.0
2012-09-13,233.0
2012-09-30,225.0
2012-10-01,217.0
2012-10-03,213.0
2012-10-07,205.0
2012-10-17,201.0
2012-10-31,194.0
2012-11-11,182.0
2012-11-26,176.0
2012-11-27,161.0
2012-11-29,158.0
2012-12-05,143.0
2012-12-06,139.0
2012-12-09,133.0
2012-12-10,127.0
2012-12-11,125.0
2012-12-13,127.0
2012-12-16,125.0
2012-12-18,123.0
2012-12-19,135.0
2012-12-20,143.0
2012-12-23,157.0
2013-01-20,140.0
2013-02-07,140.0
2013-02-20,140.0
2013-02-28,142.0
