Date,Open
2010-11-02,96.0
2010-11-10,389.0
2010-11-11,370.0
2010-11-15,352.0
2010-11-18,335.0
2010-11-21,319.0
2010-11-24,288.0
2010-11-25,260.0
2010-11-28,234.0
2010-11-29,211.0
2010-11-30,210.0
2010-12-01,211.0
2010-12-02,219.0
2010-12-05,220.0
2010-12-06,221.0
2010-12-07,225.0
2010-12-08,230.0
2010-12-09,214.0
2010-12-12,219.0
2010-12-13,230.0
2010-12-14,226.0
2010-12-15,226.0
2010-12-16,225.0
2010-12-19,219.0
2010-12-20,221.0
2010-12-22,220.0
2010-12-23,224.0
2010-12-26,228.0
2010-12-27,224.0
2010-12-28,225.0
2010-12-29,220.0
2011-01-03,231.0
2011-01-04,187.0
2011-01-05,185.0
2011-01-06,182.0
2011-01-09,182.0
2011-01-12,179.0
2011-01-16,179.0
2011-01-17,182.0
2011-01-18,173.0
2011-01-19,174.0
2011-01-31,171.0
2011-02-01,168.0
2011-02-03,170.0
2011-02-14,173.0
2011-02-20,173.0
2011-02-21,175.0
2011-02-22,172.0
2011-02-23,173.0
2011-02-24,168.0
2011-02-27,174.0
2011-02-28,165.0
2011-03-01,168.0
2011-03-07,165.0
2011-03-09,160.0
2011-03-10,157.0
2011-03-13,150.0
2011-03-14,143.0
2011-03-15,138.0
2011-03-16,135.0
2011-03-17,135.0
2011-03-20,137.0
2011-03-21,135.0
2011-03-24,137.0
2011-03-27,140.0
2011-03-28,140.0
2011-03-29,140.0
2011-03-30,135.0
2011-03-31,136.0
2011-04-04,135.0
2011-04-05,137.0
2011-04-06,135.0
2011-04-07,137.0
2011-04-10,135.0
2011-04-11,133.0
2011-04-13,133.0
2011-04-17,127.0
2011-04-18,121.0
2011-04-19,120.0
2011-04-20,127.0
2011-04-21,132.0
2011-04-25,126.0
2011-04-27,126.0
2011-04-28,124.0
2011-05-02,126.0
2011-05-03,126.0
2011-05-04,114.0
2011-05-05,119.0
2011-05-08,111.0
2011-05-09,108.0
2011-05-10,106.0
2011-05-11,108.0
2011-05-12,109.0
2011-05-15,119.0
2011-05-16,118.0
2011-05-18,121.0
2011-05-22,126.0
2011-05-24,128.0
2011-05-25,122.0
2011-05-26,120.0
2011-05-30,120.0
2011-06-02,120.0
2011-06-05,118.0
2011-06-07,114.0
2011-06-19,112.0
2011-06-20,114.0
2011-06-21,110.0
2011-06-23,119.0
2011-06-29,121.0
2011-07-04,118.0
2011-07-05,114.0
2011-07-06,106.0
2011-07-07,108.0
2011-07-10,110.0
2011-07-11,111.0
2011-07-12,110.0
2011-07-13,112.0
2011-07-19,112.0
2011-07-20,109.0
2011-07-21,110.0
2011-07-24,110.0
2011-07-27,110.0
2011-07-28,110.0
2011-07-31,108.0
2011-08-01,106.0
2011-08-02,104.0
2011-08-03,104.0
2011-08-04,106.0
2011-08-07,102.0
2011-08-08,107.0
2011-08-09,105.0
2011-08-11,107.0
2011-08-15,104.0
2011-08-16,106.0
2011-08-17,112.0
2011-08-18,102.0
2011-08-22,104.0
2011-08-23,99.0
2011-08-24,99.0
2011-08-25,101.0
2011-08-28,100.0
2011-08-30,102.0
2011-09-01,108.0
2011-09-04,105.0
2011-09-05,100.0
2011-09-06,100.0
2011-09-07,101.0
2011-09-08,103.0
2011-09-12,101.0
2011-09-13,104.0
2011-09-14,100.0
2011-09-15,98.0
2011-09-18,100.0
2011-09-19,100.0
2011-09-20,102.0
2011-09-21,105.0
2011-09-22,98.0
2011-09-25,99.0
2011-09-26,99.0
2011-09-27,100.0
2011-09-29,100.0
2011-10-09,104.0
2011-10-10,106.0
2011-10-12,108.0
2011-10-13,107.0
2011-10-16,109.0
2011-10-17,108.0
2011-10-18,103.0
2011-10-19,108.0
2011-10-20,106.0
2011-10-23,103.0
2011-10-24,108.0
2011-10-25,107.0
2011-10-30,105.0
2011-11-02,105.0
2011-11-03,107.0
2011-11-06,103.0
2011-11-08,107.0
2011-11-09,105.0
2011-11-10,107.0
2011-11-13,106.0
2011-11-14,105.0
2011-11-15,106.0
2011-11-16,107.0
2011-11-17,106.0
2011-11-20,106.0
2011-11-21,105.0
2011-11-22,104.0
2011-11-23,105.0
2011-11-24,108.0
2011-11-29,115.0
2011-12-08,111.0
2011-12-11,102.0
2011-12-12,100.0
2011-12-13,98.0
2011-12-14,99.0
2011-12-15,98.0
2011-12-18,100.0
2011-12-19,102.0
2011-12-20,102.0
2011-12-21,102.0
2011-12-26,98.0
2011-12-27,99.0
2011-12-28,103.0
2011-12-29,104.0
2012-01-01,106.0
2012-01-02,105.0
2012-01-03,106.0
2012-01-04,104.0
2012-01-05,105.0
2012-01-08,106.0
2012-01-09,105.0
2012-01-10,103.0
2012-01-11,105.0
2012-01-12,104.0
2012-01-16,103.0
2012-01-17,102.0
2012-01-18,101.0
2012-01-19,100.0
2012-01-22,100.0
2012-01-23,100.0
2012-01-25,102.0
2012-01-26,103.0
2012-01-29,103.0
2012-01-31,104.0
2012-02-01,102.0
2012-02-02,102.0
2012-02-05,100.0
2012-02-06,101.0
2012-02-07,99.0
2012-02-08,98.0
2012-02-09,97.0
2012-02-12,99.0
2012-02-13,100.0
2012-02-14,98.0
2012-02-15,99.0
2012-02-16,100.0
2012-02-21,100.0
2012-02-23,99.0
2012-02-26,99.0
2012-02-27,99.0
2012-02-28,99.0
2012-02-29,99.0
2012-03-04,99.0
2012-03-05,96.0
2012-03-06,96.0
2012-03-11,95.0
2012-03-12,96.0
2012-03-13,96.0
2012-03-14,95.0
2012-03-15,98.0
2012-03-18,99.0
2012-03-19,97.0
2012-03-20,98.0
2012-03-21,99.0
2012-03-25,98.0
2012-03-26,97.0
2012-03-27,97.0
2012-03-28,97.0
2012-03-29,99.0
2012-04-02,97.0
2012-04-03,99.0
2012-04-04,97.0
2012-04-09,98.0
2012-04-10,96.0
2012-04-11,97.0
2012-04-19,98.0
2012-04-22,102.0
2012-04-24,110.0
2012-04-26,116.0
2012-04-30,118.0
2012-05-09,118.0
2012-05-10,116.0
2012-05-14,110.0
2012-05-16,110.0
2012-05-20,110.0
2012-05-22,108.0
2012-05-23,106.0
2012-05-24,104.0
2012-05-27,98.0
2012-05-29,96.0
2012-05-30,92.0
2012-05-31,91.0
2012-06-03,91.0
2012-06-04,93.0
2012-06-05,95.0
2012-06-06,91.0
2012-06-07,93.0
2012-06-10,92.0
2012-06-11,98.0
2012-06-12,98.0
2012-06-13,96.0
2012-06-14,98.0
2012-06-17,96.0
2012-06-18,97.0
2012-06-19,95.0
2012-06-20,99.0
2012-06-21,97.0
2012-06-25,100.0
2012-06-26,98.0
2012-06-27,97.0
2012-06-28,96.0
2012-07-01,96.0
2012-07-02,94.0
2012-07-03,94.0
